uso,aliquota_pct,dispositivo,lei
residencial,1.0,Art. 7 (redacao Lei 13.250/2001),lei-municipal-saopaulo-6989-1966
nao_residencial,1.5,Art. 8 (redacao Lei 13.250/2001),lei-municipal-saopaulo-6989-1966
territorial,1.5,Art. 27 (redacao Lei 13.250/2001),lei-municipal-saopaulo-6989-1966
