vigencia_de,limite_isencao_total_brl,limite_residencial_abc_brl,lei,dispositivo,vigencia_inicio,prova
2022,120000.00,230000.00,Lei nº 17.719/2021,Art. 2º (I: isento se VV ≤ limite_total; II: isento se residência padrões A/B/C tipos 1/2 e VV ≤ limite_residencial),2022-01-01,"17.719/2021 Art. 2º I R$ 120.000,00; II R$ 230.000,00 (verbatim portal)"
2026,150000.00,260000.00,Lei nº 18.330/2025,Art. 2º (I: isento se VV ≤ limite_total; II: isento se residência padrões A/B/C tipos 1/2 e VV ≤ limite_residencial),2026-01-01,"18.330/2025 Art. 2º I R$ 150.000,00; II R$ 260.000,00 (verbatim portal; vigência exercício 2026)"
