# Quadro 7 (Parques Municipais existentes e propostos) — Anexo PDE Lei 16.050/2014. Fonte: _entrada/tdc/pde2013-subst2-quadro-7-parques-municipais-existentes-propostos.txt (extração pura via extrair_quadro7.py). Substrato da via de expansão 'parques' (Art. 126 IV).
codigo,situacao,categoria,proposto,revisar,local_bruto,endereco_bruto
PQ-JT-10,EM PLANEJAMENTO,URBANO,sim,,JACANA/TREMEMBE TREMEMBE TREMEMBE- FONTE GIOCONDA,AV. NOVA CANTAREIRA
PQ_LA_01,EXISTENTE,URBANO,nao,,LAPA BARRA FUNDA JARDIM DAS PERDIZES,AV. MARQUÊS DE SÃO VICENTE
PQ_LA_02,EXISTENTE,URBANO,nao,,LAPA JAGUARA VILA DOS REMEDIOS,R.CARLOS ALBERTO VANZOLINI 413
PQ_LA_03,,,,sem situacao na fonte (PDF) — conferir manual,"LAPA JAGUARE AV. GENERAL MAC ARTHUR, AV. CORIFEU DE AZEVEDO MARQUES",
PQ_LA_04,EXISTENTE,URBANO,nao,,LAPA LAPA ECOLOGICO DE CAMPO CERRADO DR. ALFREDO USTERI (CERRADINHO),LEOPOLDINA FASE 1 - ORLANDO VILLAS-BOAS EXISTENTE URBANO AV.EMBAIXADOR MACEDO SOARES 6715
PQ_LA_05,EXISTENTE,URBANO,nao,,LAPA PERDIZES ZILDA NATEL,"AV. DR. ARNALDO, R. CARDOSO DE ALMEIDA"
PQ_LA_06,EXISTENTE,URBANO,nao,,LAPA LEOPOLDINA FASE 1 - ORLANDO VILLAS-BOAS,AV. EMBAIXADOR MACEDO SOARES
PQ_LA_07,EXISTENTE,URBANO,nao,,LAPA VILA LEOPOLDINA VILA LEOPOLDINA LINA E PAULO RAIA,R.VOLKSWAGEN S/N
PQ_MB_01,EXISTENTE,URBANO,nao,,M'BOI MIRIM JD ANGELA ALTOS DA BARONESA,"AV. BERNARDO GOLDFARB, R.BARÃO DE COMOROGI E R. DUQUESA DE TANCOS"
PQ_MB_02,,,,sem situacao na fonte (PDF) — conferir manual,M'BOI MIRIM JD ANGELA EMBU MIRIM FASE 1 ESTRADA MBOI MIRIM; ESTRADA DA CACHOEIRINHA,
PQ_MB_03,EM PLANEJAMENTO,NATURAL,sim,,M'BOI MIRIM JD ANGELA EMBU MIRIM FASE 2,EM PLANEJAMENTO NATURAL ESTRADA DO EMBU GUACU
PQ_MB_04,EXISTENTE,URBANO,nao,,M'BOI MIRIM JD ANGELA JARDIM HERCULANO,ESTRADA DA RIVIERA 2282
PQ_MB_05,EM IMPLANTAÇÃO,LINEAR,sim,,M'BOI MIRIM JD ANGELA LINEAR ITUPU,AV. NOVA ARCADIA
PQ_MB_06,EXISTENTE,URBANO,nao,,M'BOI MIRIM JD ANGELA MBOI MIRIM,ESTRADA DO M BOI MIRIM 7100
PQ_MB_07,EM PLANEJAMENTO,URBANO,sim,,M'BOI MIRIM JD ANGELA NHO CHICO,R. ALEXANDRINA MALISANO DE LIMA 9 EM
PQ_MB_08,EM PLANEJAMENTO,NATURAL,sim,,M'BOI MIRIM JD ANGELA ORLA GUARAPIRANGA MBOI MIRIM,AV. DOS FUNCIONARIOS PUBLICOS
PQ_MB_09,EXISTENTE,URBANO,nao,,M'BOI MIRIM JD SAO LUIS GUARAPIRANGA,ESTRADA GUARAPIRANGA 575
PQ_MB_10,EM PLANEJAMENTO,LINEAR,sim,,M'BOI MIRIM JD SAO LUIS GUAVIRITUBA,AV. GUAVIRUTUBA CEMUCAM MUNICIPIO DE COTIA CEMUCAM EXISTENTE URBANO R.MESOPOTÂMIA S/N
PQ_MO_01,,,,sem situacao na fonte (PDF) — conferir manual,MOOCA AGUA RASA AVENIDA VILA EMA AV. VILA EMA S/N.; R. BATUNS; TRAVESSA SAO FREDERICO; R. MANOEL VIEIRA PINTO,
PQ_MO_02,EXISTENTE,LINEAR,nao,,MOOCA BRAS BENEMERITO JOSE BRAS,R. PIRATININGA 365
PQ_MO_03,EM PLANEJAMENTO,URBANO,sim,,MOOCA MOOCA RUA PADRE BENEDITO MARIA CARDOSO,EM PLANEJAMENTO URBANO RUA PADRE BENEDITO MARIA CARDOSO
PQ_MO_04,EXISTENTE,URBANO,nao,,MOOCA TATUAPE PIQUERI,R.TUIUTI 515
PQ_MO-05,,,,sem situacao na fonte (PDF) — conferir manual,MOOCA MOOCA PARQUE DA MOOCA R.DIANÓPOLIS X RUA BARÃO DE MONTE SANTO,
PQ_PA_01,EM PLANEJAMENTO,URBANO,sim,,PARELHEIROS MARSILAC NATURAL DO GRAMADO,EM PLANEJAMENTO NATURAL ESTR. DO MAMBU
PQ_PA_02,EM PLANEJAMENTO,LINEAR,sim,,PARELHEIROS PARELHEIROS CRATERA DE COLONIA - FASE 2,ESTR. DA COLÔNIA
PQ_PA_03,EXISTENTE,LINEAR,nao,,PARELHEIROS PARELHEIROS LINEAR DO RIBEIRAO CAULIM FASE 1,AV. JACEGUAVA; R. JOSE ROSCHEL RODRIGUES; AV. SADAMU INOUE
PQ_PA_04,,,,sem situacao na fonte (PDF) — conferir manual,PARELHEIROS PARELHEIROS LINEAR DO RIBEIRAO CAULIM FASE 3 AV. JACEGUAVA; R. JOSE ROSCHEL RODRIGUES; AV. SADAMU INOUE,
PQ_PA_05,EXISTENTE,NATURAL,nao,,PARELHEIROS PARELHEIROS LINEAR NOVO PARELHEIROS,R. TEREZINHA DO PRADO OLIVEIRA
PQ_PA_06,EM IMPLANTAÇÃO,LINEAR,sim,,PARELHEIROS PARELHEIROS MANANCIAIS PAULISTANOS ARAGUAVA,EM PLANEJAMENTO NATURAL ESTR. DO JACEGUAVA
PQ_PA_07,EXISTENTE,NATURAL,nao,,PARELHEIROS PARELHEIROS NATURAL ITAIM (RODOANEL),AV. PROF. HERMOGENES DE FREITAS LEITÃO FILHO 3300
PQ_PA_08,EM IMPLANTAÇÃO,NATURAL,sim,,PARELHEIROS PARELHEIROS,ESTRADA DE VARGEM GRANDE
PQ_PA_09,EXISTENTE,NATURAL,nao,,PARELHEIROS PARELHEIROS NATURAL MUNICIPAL CRATERA DE COLONIA NATURAL MUNICIPAL JACEGUAVA (RODOANEL),ESTR. DO JACEGUAVA 10 EM
PQ_PA_10,EM PLANEJAMENTO,URBANO,sim,,PARELHEIROS PARELHEIROS URBANO LINEAR 1 (RODOANEL),RODOANEL MARIO COVAS
PQ_PA_11,EM PLANEJAMENTO,LINEAR,sim,,PARELHEIROS PARELHEIROS LINEAR DA SUBPREFEITURA,AV. SADAMU INOUE 5200
PQ_PE_01,EM PLANEJAMENTO,LINEAR,sim,,PENHA ARTUR ALVIM,R. SONHO GAUCHO; R. PIERRE FERMAT
PQ_PE_02,EXISTENTE,LINEAR,nao,,PENHA CANGAIBA LINEAR NASCENTES DO CORREGO PONTE RASA LINEAR TIQUATIRA - ENGENHEIRO WERNER ZULAUF,AV. GOVERNADOR CARVALHO PINTO S/N
PQ_PE_03,EXISTENTE,URBANO,nao,,PENHA CANGAIBA VILA SILVIA FASE 1,R. CARLOS BARBOSA 365
PQ_PE_04,EM PLANEJAMENTO,LINEAR,sim,,PENHA PENHA RINCAO,R. ALVINOPOLIS; R. CELINA
PQ_PR_01,EXISTENTE,URBANO,nao,,PERUS ANHANGUERA ANHANGUERA,"AV. FORTUNATA TADIELLO NATUCCI KM 24,5 VIA ANHANGUERA"
PQ_PR_02,,,,sem situacao na fonte (PDF) — conferir manual,"PERUS ANHANGUERA ANHANGUERA AMPLIACAO_1 AV. FORTUNATA TADIELLO NATUCCI KM 24,5 VIA ANHANGUERA",
PQ_PR_03,EM IMPLANTAÇÃO,URBANO,sim,,PERUS ANHANGUERA ANHANGUERA AMPLIACAO_2,"AV. FORTUNATA TADIELLO NATUCCI KM 24,5 VIA ANHANGUERA"
PQ_PR_04,EM IMPLANTAÇÃO,URBANO,sim,,PERUS ANHANGUERA CAVAS DE OURO,EM PLANEJAMENTO URBANO ESTRADA CORONEL JOSÉ GLADIADOR S/Nº
PQ_PR_05,EM PLANEJAMENTO,,sim,,PERUS PERUS ANHANGUERA CICLOVIA DE PERUS,"CICLOVIA ESTRADA DE PERUS, S/N"
PQ_PR_06,EM PLANEJAMENTO,URBANO,sim,,PERUS PERUS ATERRO BANDEIRANTES,ROD DOS BANDEIRANTES
PQ_PR_07,,,,sem situacao na fonte (PDF) — conferir manual,PERUS PERUS LINEAR DO RIBEIRAO PERUS FASE 1 RODOANEL MARIO COVAS; RUA ALEIXOS JAFET,
PQ_PR_08,EM IMPLANTAÇÃO,LINEAR,sim,,PERUS PERUS LINEAR DO RIBEIRAO PERUS FASE 2,EM IMPLANTACAO LINEAR R. CLEONICE KAMMER DI SANDRO
PQ_PR_09,EM IMPLANTAÇÃO,LINEAR,sim,,PERUS PERUS LINEAR DO RIBEIRAO PERUS FASE 3,TRAVESSA CAMBARATIBA
PQ_PR_10,EM PLANEJAMENTO,LINEAR,sim,,PERUS PERUS LINEAR LUTA DOS QUEIXADAS,RUA JOAQUIM ANTONIO ARRUDA
PQ_PI_01,EXISTENTE,URBANO,nao,,PINHEIROS ITAIM BIBI MARIO PIMENTA CAMARGO (POVO),AV. HENRIQUE CHAMMA 420
PQ_PI_02,EXISTENTE,URBANO,nao,,PINHEIROS JD PAULISTA PREFEITO MARIO COVAS,AV. PAULISTA 1853 11
PQ_PI_03,EXISTENTE,URBANO,nao,,PINHEIROS JD PAULISTA TENENTE SIQUEIRA CAMPOS,RUA PEIXOTO GOMIDE 949
PQ_PI_04,,,,sem situacao na fonte (PDF) — conferir manual,PINHEIROS PINHEIROS LINEAR CORREGO VERDE R. MEDEIROS DE ALBUQUERQUE; R. ABEGOARIA,
PQ_PI_05,EXISTENTE,URBANO,nao,,PINHEIROS PINHEIROS VICTOR CIVITTA,"AV. NAÇÕES UNIDAS, R. OLIVIA FEDER"
PQ_PJ_01,EM IMPLANTAÇÃO,LINEAR,sim,,PIRITUBA / JARAGUA JARAGUA BORDA CANTAREIRA NUCLEO TAIPAS,EM IMPLANTACAO URBANO ESTRADA JOSE LOPES
PQ_PJ_02,EM IMPLANTAÇÃO,URBANO,sim,,PIRITUBA / JARAGUA JARAGUA BRASILANDIA B,R. ILHA DA JUVENTUDE; R. VALE DO RIO DOCE
PQ_PJ_03,EM PLANEJAMENTO,LINEAR,sim,,PIRITUBA / JARAGUA PIRITUBA ANTONIO INOCENCIO DE SOUZA,R. BARRA BONITA
PQ_PJ_04,,,,sem situacao na fonte (PDF) — conferir manual,PIRITUBA / JARAGUA PIRITUBA JARDIM SANTO ELIAS AV. DO ANASTÁCIO; AV. MUTINGA; R. BANABUIU,
PQ_PJ_05,EXISTENTE,LINEAR,nao,,PIRITUBA/JARAGUA JARAGUA LINEAR FOGO,ESTRADA DE TAIPAS
PQ_PJ_06,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA JARAGUA PINHEIRINHO D'AGUA,ESTRADA DE TAIPAS
PQ_PJ_07,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA JARAGUA SENHOR DO VALE,"R. BLAS PARERA, 487"
PQ_PJ_08,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA PIRITUBA JACINTO ALBERTO,R.LOUREIRO DE APOLO
PQ_PJ_09,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA PIRITUBA JARDIM FELICIDADE,R.LAUDELINO VIEIRA DE CAMPOS 265
PQ_PJ_10,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA PIRITUBA RODRIGO DE GASPERI,AV. MIGUEL DE CASTRO 321
PQ_PJ_11,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA SAO DOMINGO SAO DOMINGOS,"R.PEDRO SERNAGIOTTI, 125"
PQ_PJ_12,EXISTENTE,URBANO,nao,,PIRITUBA/JARAGUA SAO DOMINGOS CIDADE DE TORONTO,AV. CARDEAL MOTTA 84
PQ_ST_01,EXISTENTE,URBANO,nao,,SANTANA/TUCURUVI TUCURUVI LIONS TUCURUVI,R.ALCINO BUENO DE ASSIS 500
PQ_SA_01,EM PLANEJAMENTO,,sim,,SANTO AMARO CAMPO BELO CLUBE DO CHUVISCO,A DEFINIR EM IMPLANTACAO URBANO R. JOÃO DE LERY
PQ_SA_02,EM IMPLANTAÇÃO,URBANO,sim,,SANTO AMARO CAMPO BELO CLUBE DO CHUVISCO FASE 2,R JOAO DE LERY
PQ_SA_03,EXISTENTE,LINEAR,nao,,SANTO AMARO CAMPO BELO LINEAR INVERNADA,"R. SAPOTI, R. CONFITEOR"
PQ_SA_04,EM IMPLANTAÇÃO,URBANO,sim,,SANTO AMARO CAMPO GRANDE DARCY SILVA EM AV. SALIM ANTONIO CURITATI; R. FLORENCI,VIEIRA DE ALMEIDA; R. TAMBATAJA; R. 12 TRINTA E CINCO
PQ_SA_05,,,,sem situacao na fonte (PDF) — conferir manual,SANTO AMARO CAMPO GRANDE TUNEY ARANTES PRACA TUNEY ARANTES; R SGTO MANUEL BARBOSA DA SILVA,
PQ_SA_06,EM PLANEJAMENTO,URBANO,sim,,SANTO AMARO SANTO AMARO ALTO DA BOA VISTA,R. VISCONTE DE PORTO SEGURO; R. VIGARIO JOAO DE PONTES
PQ_SA_07,EXISTENTE,URBANO,nao,,SANTO AMARO SANTO AMARO DO CORDEIRO - MARTIN LUTHER KING,AV. PROF. RUBENS GOMES DE SOUZA
PQ_SA_08,EM PLANEJAMENTO,URBANO,sim,,SANTO AMARO SANTO AMARO LINEAR JUDAS,EM PLANEJAMENTO LINEAR AV. PROF. ALCEU MAYNARD ARAUJO
PQ_SA_09,EXISTENTE,URBANO,nao,,SANTO AMARO SANTO AMARO SEVERO GOMES,R.PIRES DE OLIVEIRA 356
PQ_SM_01,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS IGUATEMI EXPANSAO NASCENTES DO ARICANDUVA,ESTRADA IGUATEMI
PQ_SM_02,EXISTENTE,URBANO,nao,,SAO MATEUS IGUATEMI GUABIROBEIRA,NOVA AVENIDA JACU PÊSSEGO S/N
PQ_SM_03,EM IMPLANTAÇÃO,URBANO,sim,,SAO MATEUS IGUATEMI GUABIROBEIRA,NOVA AVENIDA JACU PÊSSEGO S/N
PQ_SM_04,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS IGUATEMI JARDIM DAS LARANJEIRAS,R FELIX BERNADELLI
PQ_SM_05,EM IMPLANTAÇÃO,LINEAR,sim,,SAO MATEUS IGUATEMI LINEAR LIMOEIRO FASE 1,R TAURO
PQ_SM_06,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS IGUATEMI LINEAR LIMOEIRO FASE 2,ESTRADA TERCEIRA DIVISAO
PQ_SM_07,EM PLANEJAMENTO,NATURAL,sim,,SAO MATEUS IGUATEMI NATURAL CABECEIRAS DO ARICANDUVA FASE 1 (MAR MORTO/CANAL DE SUEZ),ESTRADA DO RIO CLARO
PQ_SM_08,EM PLANEJAMENTO,NATURAL,sim,,SAO MATEUS IGUATEMI NATURAL CABECEIRAS DO ARICANDUVA FASE 2,ESTRADA DO RIO CLARO
PQ_SM_09,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS SAO MATEUS COLONIAL,AV FRANCISCO DE SANTA MARIA
PQ_SM_10,EM IMPLANTAÇÃO,URBANO,sim,,SAO MATEUS SAO MATEUS DAS NEBULOSAS,"R. LIBRA, R. GEMEOS, R JOÃO MENDONÇA"
PQ_SM_11,EXISTENTE,URBANO,nao,,SAO MATEUS SAO MATEUS ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 1,AV. SAPOPEMBA 8820
PQ_SM_12,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS SAO RAFAEL CAGUACU (PARQUE DAS FLORES),AV. DOS JASMINS
PQ_SM_13,EXISTENTE,URBANO,nao,,SAO MATEUS SAO RAFAEL JARDIM DA CONQUISTA,R. PEDRO DE MEDEIROS 13 EM
PQ_SM_14,EM IMPLANTAÇÃO,URBANO,sim,,SAO MATEUS SAO RAFAEL JARDIM DA CONQUISTA,R.PEDRO DE MEDEIROS
PQ_SM_15,EM IMPLANTAÇÃO,LINEAR,sim,,SAO MATEUS SAO RAFAEL LINEAR CIPOABA,R QUARESMA DELGADO
PQ_SM_16,EM PLANEJAMENTO,URBANO,sim,,SAO MATEUS SAO RAFAEL MORRO DO CRUZEIRO FASE 1 A,ESTRADA DO RIO CLARO
PQ_SM_17,EM PLANEJAMENTO,URBANO,sim,,SAO MATEUS SAO RAFAEL MORRO DO CRUZEIRO FASE 1 B,ESTRADA DO RIO CLARO
PQ_SM_18,EM PLANEJAMENTO,URBANO,sim,,SAO MATEUS SAO RAFAEL MORRO DO CRUZEIRO FASE 2 A,ESTRADA DO RIO CLARO
PQ_SM_19,EM PLANEJAMENTO,URBANO,sim,,SAO MATEUS SAO RAFAEL MORRO DO CRUZEIRO FASE 2 B,ESTRADA DO RIO CLARO
PQ_SM_20,EM PLANEJAMENTO,LINEAR,sim,,SAO MATEUS SAO RAFAEL SAO MATEUS,AV SAPOPEMBA
PQ_SM_21,EXISTENTE,URBANO,nao,,SAO MATEUS SAO RAFAEL SAPOPEMBA (ATERRO),AV. JACU PESSEGO
PQ_SM_22,EM IMPLANTAÇÃO,,sim,,SAO MATEUS SAO RAFAEL SAPOPEMBA (ATERRO) FASE II,A DEFINIR AV. JACU PESSEGO
PQ_MP_01,EM PLANEJAMENTO,LINEAR,sim,,SAO MIGUEL JD HELENA,R BERNARDO DE CHAVES CABRAL
PQ_MP_02,EM PLANEJAMENTO,LINEAR,sim,,SAO MIGUEL JD HELENA LINEAR VARZEA DO TIETE - NUCLEO ITAIM BIACICA,R. JOÃO BARBOSA RABELO
PQ_MP_03,EXISTENTE,LINEAR,nao,,SAO MIGUEL SAO MIGUEL LINEAR VARZEA DO TIETE - NUCLEO JARDIM ROMANO LINEAR VARZEA DO TIETE - NUCLEO ANTONIO ARNALDO/VILA JACUI,R. CATLÉIA
PQ_MP_04,,,,sem situacao na fonte (PDF) — conferir manual,SAO MIGUEL VILA JACUI VILA JACUI (JARDIM PRIMAVERA) FASE 2 AV. ANTONIO LOUZADA ANTUNES; AV. MIMO DE VENUS; ENTORNO CORREGO DO LIMOEIRO E CORREGO JACU,
PQ_MP_05,EM IMPLANTAÇÃO,URBANO,sim,,SAO MIGUEL VILA JACUI VILA JACUI (JARDIM PRIMAVERA) FASE 3,EM IMPLANTACAO LINEAR AV. SÃO MIGUEL; AV. JACU PESSEGO
PQ_MP_06,EXISTENTE,LINEAR,nao,,SAO MIGUEL VILA JACUI VILA JACUI (JARDIM PRIMAVERA) FASE 1,R.ARAREUA
PQ_SE_01,EXISTENTE,URBANO,nao,,SE BOM RETIRO LUZ,"R.RIBEIRO DE LIMA, PRAÇA DA LUZ"
PQ_SE_02,EM PLANEJAMENTO,URBANO,sim,,SE CONSOLACAO AUGUSTA,R MARQUES DE PARANAGUA
PQ_SE_03,EXISTENTE,URBANO,nao,,SE CONSOLACAO BUENOS AIRES,AV. ANGÉLICA S/N
PQ_SE_04,EXISTENTE,URBANO,nao,,SE LIBERDADE ACLIMACAO,R. MUNIZ DE SOUZA 1119 14 VILA MARIA / VILA
PQ_MG_01,EM PLANEJAMENTO,URBANO,sim,,GUILHERME VILA MARIA OYENO,PC PRES JANIO DA SILVA QUADROS
PQ_MG_02,EXISTENTE,URBANO,nao,,VILA GUILHERME TROTE,R.NADIR DIAS DE FIGUEIREDO
PQ_MG_03,EXISTENTE,URBANO,nao,,VILA MARIA/VILA GUILHERME VILA MARIA/VILA TENENTE GUILHERME VILA MARIA LIMA BRIGADEIRO ROBERTO FARIA,R. HERÓIS DA FEB
PQ_VM_01,EXISTENTE,URBANO,nao,,VILA MARIANA MOEMA IBIRAPUERA,R. PEDRO ÁLVARES CABRAL SQN
PQ_VM_02,EXISTENTE,URBANO,nao,,VILA MARIANA VILA MARIANA CASA MODERNISTA,R.SANTA CRUZ 325
PQ_VB_01,EM PLANEJAMENTO,URBANO,sim,,SAPOPEMBA SAPOPEMBA CAMPO DA PRIMAVERA,"R. CAPITÃO MOR PERO DE GÓIS, S/Nº"
PQ_VB_02,EM PLANEJAMENTO,URBANO,sim,,SAPOPEMBA SAPOPEMBA FAZENDA DA JUTA,R. PDE ANTONIO
PQ_VB_03,EM PLANEJAMENTO,LINEAR,sim,,SAPOPEMBA SAPOPEMBA LINEAR RIBEIRAO ORATORIO FASE 2,AV MARGINAL DO ORATORIO
PQ_VB_04,EXISTENTE,LINEAR,nao,,SAPOPEMBA SAPOPEMBA LINEAR TABOAO,AV. ESTEVÃO DE LORETO
PQ_VB_05,EM PLANEJAMENTO,URBANO,sim,,SAPOPEMBA SAPOPEMBA MASCARENHAS DE MORAES,R. SARGENTO JORGE MONÇORES
PQ_VB_06,EM IMPLANTAÇÃO,URBANO,sim,,SAPOPEMBA SAPOPEMBA ROSA DA CHINA,R. TULIPA DA AFRICA; R. ROSA DA CHINA
PQ_VB_07,EXISTENTE,LINEAR,nao,,SAPOPEMBA SAPOPEMBA ZILDA ARNS (NILO COELHO/JARDIM SAPOPEMBA) FASE 2,AV. SAPOPEMBA
PQ_VB_08,EM IMPLANTAÇÃO,LINEAR,sim,,SAPOPEMBA SAPOPEMBA LINEAR RIBEIRAO ORATORIO FASE 1,R.PLINIO DIONÍSIO DE FREITAS 280
PQ_VP_01,EM PLANEJAMENTO,URBANO,sim,,VILA PRUDENTE SAO LUCAS SAO LUCAS / LINHAS CORRENTE,AV DO ORATORIO; R CARLOS SENSI
PQ_VP_02,EXISTENTE,URBANO,nao,,VILA PRUDENTE VILA PRUDENTE ECOLOGICO PROFESSORA LYDIA NATALIZIO DIOGO,R.JOÃO PEDRO LECOR
PQ_VP_03,EM PLANEJAMENTO,URBANO,sim,,VILA PRUDENTE VILA PRUDENTE VILA CALIFORNIA,R. ANTENAS; R. TOKUCHIKA MIKI
