# Quadro 7 (Parques Municipais existentes e propostos) — Anexo PDE Lei 16.050/2014. Fonte: _entrada/tdc/pde2013-subst2-quadro-7-parques-municipais-existentes-propostos.txt (extração pura via extrair_quadro7.py). Substrato da via de expansão 'parques' (Art. 126 IV).
codigo,situacao,categoria,proposto,revisar,local_bruto,endereco_bruto
PQ_CL_02,EM IMPLANTAÇÃO,LINEAR,sim,,CAMPO LIMPO CAMPO LIMPO LINEAR IVAR BECKMAN (DINIZ),R TIMBORANA
PQ_CL_03,,,,sem situacao na fonte (PDF) — conferir manual,CAMPO LIMPO CAMPO LIMPO MORUMBI SUL R. LIRA CEARENSE X R NSRA. DO BOM CONSELHO,
PQ_CL_04,EM IMPLANTAÇÃO,URBANO,sim,,CAMPO LIMPO CAMPO LIMPO VILA ANDRADE AREAS VERDES,EM PLANEJAMENTO URBANO R. CLEMENTE ROCHA
PQ_CL_05,EM PLANEJAMENTO,URBANO,sim,,CAMPO LIMPO,R. DIÓGENES TABORDA; R. EMILIO CONESA
PQ_CL_06,EM IMPLANTAÇÃO,LINEAR,sim,,CAMPO LIMPO CAPAO REDONDO JARDIM MACEDONIA,ESTRADA DE ITAPECERICA
PQ_CL_07,EM PLANEJAMENTO,LINEAR,sim,,CAMPO LIMPO CAPAO REDONDO LINEAR FEITICO DA VILA FASE 1,ESTRADA DE ITAPECERICA
PQ_CL_08,EXISTENTE,URBANO,nao,,CAMPO LIMPO CAPAO REDONDO LINEAR FEITICO DA VILA FASE 2 CAPAO REDONDO SANTO DIAS,R. JASMIM DA BEIRADA 71
PQ_CL_09,EXISTENTE,URBANO,nao,,CAMPO LIMPO VILA ANDRADE BURLE MARX,AV. DONA HELENA PEREIRA DE MORAES 200
PQ_CL_10,EM IMPLANTAÇÃO,LINEAR,sim,,CAMPO LIMPO VILA ANDRADE LINEAR ITAPAIUNA,R ANTONIO AGGIO
PQ_CL_11,EM IMPLANTAÇÃO,URBANO,sim,,CAMPO LIMPO VILA ANDRADE PARAISOPOLIS FASE 2,R. ITALEGRE
PQ_CL_12,EM PLANEJAMENTO,URBANO,sim,,CAMPO LIMPO VILA ANDRADE RUA CLIPPERTON,"R. CLIPPERTON, S/N."
PQ_CS_01,EXISTENTE,LINEAR,nao,,CAPELA DO SOCORRO CIDADE DUTRA CASTELO (ORLA DO GUARAPIRANGA),AV. ATLÂNTICA
PQ_CS_02,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO CIDADE DUTRA CASTELO (ORLA DO GUARAPIRANGA),AV. ATLÂNTICA
PQ_CS_03,EXISTENTE,URBANO,nao,,CAPELA DO SOCORRO CIDADE DUTRA GUANHEMBU,R. DANIEL RIBEIRO CALADO 40
PQ_CS_04,,,,sem situacao na fonte (PDF) — conferir manual,CAPELA DO SOCORRO CIDADE DUTRA LINEAR DO RIBEIRAO CAULIM FASE 2 AV. JACEGUAVA; R. JOSE ROSCHEL RODRIGUES; AV. SADAMU INOUE,
PQ_CS_05,EXISTENTE,LINEAR,nao,,CAPELA DO SOCORRO CIDADE DUTRA LINEAR SAO JOSE FASE 1,AV. FREDERICO RENE DE JAEGUER
PQ_CS_06,EM PLANEJAMENTO,LINEAR,sim,,CAPELA DO SOCORRO CIDADE DUTRA,NOVE DE JULHO (ORLA DO GUARAPIRANGA) EXISTENTE URBANO AV. ATLÂNTICA
PQ_CS_07,EXISTENTE,LINEAR,nao,,CAPELA DO SOCORRO GRAJAU AMERICA,R. ROSALIA IANINNI CONDE 272
PQ_CS_08,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU ARISTOCRATAS,R. ADELINA PLUNKET 3 EM
PQ_CS_09,EM PLANEJAMENTO,URBANO,sim,,CAPELA DO SOCORRO GRAJAU ARISTOCRATAS_EXPANSAO,R. ADELINA PLUNKET
PQ_CS_10,EXISTENTE,URBANO,nao,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 1,R. DAS ANDORINHAS BRASILEIRAS
PQ_CS_11,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 2,R. BEM-TE-VI
PQ_CS_12,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 3,R. SALMO
PQ_CS_13,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 4,R.NS. FATIMA
PQ_CS_14,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 5,R. SÃO JUDAS
PQ_CS_15,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU CANTINHO DO CEU FASE 6,AV. SÃO PAULO
PQ_CS_16,EM IMPLANTAÇÃO,URBANO,sim,,CAPELA DO SOCORRO GRAJAU CEU TRES LAGOS FASE 2,R. TRES CORACOES
PQ_CS_17,EM IMPLANTAÇÃO,URBANO,sim,,CAPELA DO SOCORRO GRAJAU JARDIM PRAINHA,ESTRADA DA LIGAÇÃO S/N
PQ_CS_18,,,,sem situacao na fonte (PDF) — conferir manual,CAPELA DO SOCORRO GRAJAU LINEAR RIBEIRAO COCAIA AO LONGO DA VARZEA RIBEIRÃO. COCAIA; AV. PAULO GUILGUER REIMBERG,
PQ_CS_19,EM PLANEJAMENTO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU,EM IMPLANTACAO LINEAR AO LONGO DA VARZEA RIBEIRÃO. COCAIA
PQ_CS_20,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU LINEAR RIBEIRAO COCAIA - CHACARA TANAY,AO LONGO DA VARZEA RIBEIRÃO. COCAIA
PQ_CS_21,EM IMPLANTAÇÃO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU LINEAR RIBEIRAO COCAIA - NUCLEO CHACARA DO CONDE LINEAR RIBEIRAO COCAIA - OPCAO BRASIL,AO LONGO DA VARZEA RIBEIRÃO. COCAIA
PQ_CS_22,EM PLANEJAMENTO,NATURAL,sim,,CAPELA DO SOCORRO GRAJAU MANANCIAIS PAULISTANOS BILLINGS,ESTRADA DE ITAQUECETUBA - BORORÉ
PQ_CS_23,EM PLANEJAMENTO,NATURAL,sim,,CAPELA DO SOCORRO GRAJAU,AV. PAULO GUILGUER REIMBERG 12000
PQ_CS_24,EXISTENTE,NATURAL,nao,,CAPELA DO SOCORRO GRAJAU MANANCIAIS PAULISTANOS CASTANHEIRAS NATURAL MUNICIPAL BORORE (RODOANEL),ESTRADA DAS VIEIRAS S/N
PQ_CS_25,EXISTENTE,NATURAL,nao,,CAPELA DO SOCORRO GRAJAU NATURAL MUNICIPAL VARGINHA (RODOANEL),AV. PAULO GUILGUER REIMBERG 6200
PQ_CS_26,EXISTENTE,URBANO,nao,,CAPELA DO SOCORRO GRAJAU SHANGRILA,R. IRMÃ MARIA LOURENÇA
PQ_CS_27,EM PLANEJAMENTO,LINEAR,sim,,CAPELA DO SOCORRO GRAJAU VARZEA DO COCAIA 1 FASE,R. ALZIRO PINHEIRO MAGALHÃES 4
PQ_CS_28,EXISTENTE,URBANO,nao,,CAPELA DO SOCORRO SOCORRO BARRAGEM DE GUARAPIRANGA,R. DR. CAETANO PETRAGLIA SOBRINHO
PQ_CS_29,EXISTENTE,URBANO,nao,,CAPELA DO SOCORRO SOCORRO JACQUES COUSTEAU,R. CATANUMI
PQ_CS_30,,,,sem situacao na fonte (PDF) — conferir manual,"CAPELA DO SOCORRO SOCORRO AV. JOSE MARQUES DO NASCIMENTO, ALTURA 5300 DA AV. ATLÂNTICA",
PQ_CS_31,EM PLANEJAMENTO,URBANO,sim,,CAPELA DO SOCORRO SOCORRO PRAIA DE SAO PAULO (ORLA GUARAPIRANGA),PRAIA DE SAO PAULO (PRAIA DO SOL FASE 1) (ORLA GUARAPIRANGA) EXISTENTE URBANO AV. ATLÂNTICA
PQ_CV_01,,,,sem situacao na fonte (PDF) — conferir manual,LONGO DA ESTRADA DA SEDE; AV. FRANCISCO MACHADO DA SILVA; R. TAQUARACU DE MINAS,
PQ_CV_02,EM IMPLANTAÇÃO,LINEAR,sim,,CASA VERDE / CACHOEIRINHA CACHOEIRINHA LINEAR DO CORREGO DO BISPO,CASA VERDE / CACHOEIRINHA CASA VERDE SITIO MORRINHOS EM IMPLANTACAO URBANO AV BRAZ LEME
PQ_CV_03,EM PLANEJAMENTO,URBANO,sim,,CASA VERDE / CACHOEIRINHA CASA VERDE VILA ESTER (SITIO NIASI CHOFI),R JOSE INACIO DE OLIVEIRA
