origem,sq_ou_setor_quadra_lote_bruto,lote_bruto,endereco,distrito,n_processo,nome_bem
TOMBADO_CADASTRO,187/007/,,VL TRIÂNGULO,PERUS,1989- 0.002.597-0; 2004-0.094.059-7,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0; 2004-0.094.059-7,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0; 2004-0.094.059-7,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / CASA DE TRÁFEGO (ITEM 14)
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0; 2004-0.094.059-7,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / BRITADOR (ITEM 5)
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0; 2004-0.094.059-7,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / DEPÓSITO DE CLINQUER (ITEM 21)
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / REFEITÓRIO (ITEM 8)
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / ESCRITÓRIO (ITEM 6)
TOMBADO_CADASTRO,187/007/,,"R JOAQUIM ANTÔNIO ARRUDA, 218",PERUS,1989- 0.002.597-0,VILA TRIÂNGULO E FÁBRICA DE CIMENTO PERUS / PORTARIA (ITEM 7)
TOMBADO_CADASTRO,011/108/,,"PC CHARLES MILLER, S/N C/ R DESEMBARGADOR PAULO PASSALÁQUA, S/N C/ R ITÁPOLIS, S/N C/ PC FAGUNDES VARELA, S/N C/ R CAPIVARI, S/N",CONSOLAÇÃO,1992-0.009.301-9; 1988-0.002.610-9,ESTÁDIO DO PACAEMBU / PRAÇA CHARLES MILLER
TOMBADO_CADASTRO,013//,,R ALVES GUIMARÃES C/ R CARDEAL ARCOVERDE,JARDIM PAULISTA,"6025.2022/0002288-3; 6025.2022/0002292-1;
6025.2022/0002647-1; 6025.2021/0027156-3 e 6025.2023/0000155-1","CONJUNTO DA ESCADARIA DA RUA ALVES GUIMARÃES (""ESCADARIA DAS BAILARINAS"")"
