
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/RESID/DRGP     ,FREGUESIA/ BRASILANDIA         ,,2024.80.056-01,,,,1010-2024-0.000.960-5,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,07/02/2024,,,107.435.0292-1,,,,R2V,ZONEAMENTO ANTERIOR: ZONA MISTA DE MEDIA DEN,,,FREGUESIA DO O,,TARJAB - FREGUESIA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,,R   JOSE ELOI OTONI 43 ,26/02/2024,,,,,,,
SMUL/RESID/DRGP     ,ITAQUERA                      ,,2022.04.398-01,,,,6068-2024-0.000.320-8,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,11/01/2024,,,114.116.0015-1,,,,R2V; HIS 2, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,ITAQUERA,"2.122,93",MJJ INCORPORADORA E CONSTRUTORA LTDA,"500,00",R   SEN GEORGINO AVELINO 00607 ,08/02/2024,MAGNO EMILIO MOREIRA LEITE,,MAGNO EMILIO MOREIRA LEITE,,B: 1 P: 7 U: 42,,
SMUL/RESID/DRGP     ,SANTO AMARO                   ,,2019.14.829-01,,,,6068-2024-0.001.297-5,,,,,,,APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA,,,,,06/02/2024,,,088.013.0117-0,,,,R2V, ZM-1/006,,Z6-044.,SANTO AMARO,,MAC VENEZA EMPREENDIMENTOS IMOBILIARIOS LTDA,,R   PEREIRA BARRETO 159 ,26/02/2024,MAURICIO LUIS OLIVA VILLARNOBO,,MCAA ARQUITETOS LTDA,CARLOS ALBERTO DE AZEVEDO ANTUNES,,,
SMUL/RESID/DRGP     ,SANTO AMARO                   ,,2024.01.087-00,,,,0000-2020-0.008.669-8,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,13/08/2020,,,086.022.0021-8,,,,R2V-02, ZC,,ZONA DE CENTRALIDADE POLAR - A.,CAMPO BELO,"8.252,69",POLINCORP INCORPORACOES E PARTICIPACOES IMOBILIARIAS LTDA.,"1.010,81",R   GIL EANES 00048 ,23/02/2024,Z K F-ENGENHARIA LTDA,ERNESTO KALACHE,UNIARQ ARQUITETURA LTDA; PAULO DE ABREU SAMPAIO,LUIZ FREDERICO RANGEL DE FREITAS,B: 1 P: 22 U: 40,,
SMUL/RESID/DRGP     ,SE                            ,,2014.21.953-03,,,,6068-2023-0.009.897-5,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,16/10/2023,,,006.011.0036-0,,,,R2V-01, ZCP-B/005,,Z3-118.,CONSOLACAO,"10.466,63",ASSOC. DE ADQ. DE UNID. DO RESID. V.I.P A. EXC. H. - AAVIP,"975,69",R   AUGUSTA 100 100A E 100 FDS,07/02/2024,DANILO VENTOJA PERES,,GIL CARVALHO ARQUITETOS ASSOCIADOS LTDA-EPP,,B: 1 P: 21 U: 170,,
SMUL/RESID/DRGP     ,SE                            ,,2020.02.124-04,,,,6068-2022-0.006.279-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,06/07/2022,,,011.121.0031-8,,,,R2V-02; NR1.15; NR1.03, ZEU,,Z2.,HIGIENOPOLIS,,VISTA EMPREENDIMENTOS SPE LTDA,"944,80",R   PARA 000427 ,06/02/2024,MARCELO NUDELMAN,,ITAMAR BERESIN-ARQUITETURA E URBANISMO LTDA,,,,
SMUL/RESID/DRVE     ,MOOCA                         ,,2022.08.557-02,,,,6068-2023-0.010.984-5,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,22/11/2023,,,062.080.0393-8,,,,NR1.03; NR1.06; R2V; NR2-02, ZEU,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,TATUAPE,"30.189,82",TGSP 34 EMPREENDIMENTOS IMOBILIARIOS LTDA,"3.552,81",AV  CELSO GARCIA 5000 ,09/02/2024,,,,,B: 1 P: 27 U: 294,,
SMUL/SERVIN         ,PINHEIROS                     ,,2024.00.836-00,,,,0000-2018-0.103.648-5,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,10/10/2018,,,010.065.0023-5,,,,NR1.06, ZEU,,ZONA DE CENTRALIDADE LINEAR - B.,CERQUEIRA CESAR,"877,29",KINEA RENDA IMOB FUNDO DE INVESTIMENT IMOB FII,"881,60",AV  PAULISTA 2421 ,09/02/2024,MARCOS GUSMAO MATHEUS,,MARCOS GUSMAO MATHEUS,,B: 1 P: 16 U: 1,,
SMUL/SERVIN/DSIGP   ,SE                            ,,2024.01.248-00,,,,0000-2020-0.003.701-8,,,,,,,ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,13/03/2020,,,008.013.0118-1,,,,NR1.06,,,ZONA MISTA DE ALTA DENSIDADE - B.,CAMPOS ELISEOS,"68,98",BZ PROPRIEDADES CULTURAIS LTDA,"1.028,88",AL  NOTHMANN 806 ,29/02/2024,ILSE REGINA HEYDT,,NOSSA CIDADE - ARQUITETURA E URBANISMO LTDA; CARINE BARCELLOS DUARTE; LETICIA GOMES DE SOUSA; CAIO BOUCINHAS,,B: 1 P: 4 U: 0,,
SMUL/SERVIN/DSIMP   ,MOOCA                         ,,2019.07.573-01,,,,6068-2023-0.011.886-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,21/12/2023,,,029.082.0148-8,,,,NR1, ZM-3A / EETU,,Z2.,BELENZINHO,"3.305,74",SERVICO SOCIAL DO COMERCIO  SESC,"2.005,64",R   SERRA DA BOCAINA 00164 ,20/02/2024,ELIAS ALBANO DA SILVA,,KEILA JANE COSTA,,B: 1 P: 2 U: 0,,
SMUL/COMIN/DCIGP    ,PIRITUBA                      ,,2024.01.066-01,,,,0000-2018-0.053.836-3,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO DE REFORMA,,,,,24/05/2018,,,106.254.0076-2,,,,NR3.06, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,PIRITUBA,"3.350,20",LRG ADM DE BENS E PARTICIPACOES LTDA,"24.485,00",AV  MIGUEL DE CASTRO 944 ,20/03/2024,CAIO TAVARES,,CAIO TAVARES,,B: 1 P: 3 U: 1,,
SMUL/COMIN/DCIGP    ,SE                            ,,2023.00.425-01,,,,6068-2024-0.000.811-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,23/01/2024,,,020.052.0004-2,,,,NR3.06; NR1.03, ZEM,,ZONA MISTA DE ALTA DENSIDADE - B.,BARRA FUNDA,"6.070,55",REC SS HIGIENOPOLIS EMPREENDIMENTOS SA,"1.299,89",PC  MARECHAL DEODORO 00174 176 E 182,01/03/2024,LUIS CLAUDIO ALVES CESAR,,LUIS CLAUDIO ALVES CESAR,,B: 1 P: 7 U: 1,,
SMUL/COMIN/DCIGP    ,,,2023.01.259-02,,,,6068-2024-0.002.199-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,28/02/2024,,,6383580224383,,,,NR3.06, ZONA NÃO DEFINIDA,,ZONA NAO DEFINIDA.,SAO MATEUS,"10.727,10",PARENTES INCORPORACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA,"23.103,39",R   PASTOR ADARCY DE OLIVEIRA 450 500,11/03/2024,EDSON MASSANOBU MINODA,,EDSON MASSANOBU MINODA,,B: 1 P: 4 U: 0,,
SMUL/COMIN/DCIMP    ,BUTANTA                       ,,2020.10.059-01,,,,6068-2023-0.007.980-6,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,21/08/2023,,,200.011.0012-0,,,,NR2.04; NR1.03, ZCOR-3,,Z8-CR1-I LIND. Z1.,BUTANTA,"382,36",AUTO POSTO ESTORIL LTDA,"1.312,00",R   ALVARENGA 02045 ,22/03/2024,ADALBERTO BAGGIO,,ADALBERTO BAGGIO,,B: 1 P: 2 U: 0,,
SMUL/CONTRU         ,LAPA                          ,,2024.01.335-00,,,,6068-2023-0.006.862-6,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,26/07/2023,,,022.086.0269-2,,,,NR2.11, ZOE,,CLUBE ESPORTIVO SOCIAL.,AGUA BRANCA,,SOCIEDADE ESPORTIVA PALMEIRAS,,AV  FRANCISCO MATARAZZO 1705 ALLIANZ PARQUE/,05/03/2024,RODOLFO WILLIAN KENNEDY FERREIRA DE AQUINO,,,,,,
SMUL/CONTRU         ,PENHA                         ,,2024.01.353-00,,,,6068-2023-0.004.147-7,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,09/05/2023,,,142.067.0001-9,,,,NR2.10; NR3.04, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,ERMELINO MATARAZZO,,SERVICO SOCIAL DA INDUSTRIA - SESI,,AV  ESPERANTINA 01028 ,06/03/2024,LUIZ CARLOS MARCATO; ANDRE EIRA IAGUE,,,,,,
SMUL/CONTRU         ,PINHEIROS                     ,,2024.01.576-00,,,,0000-2018-0.117.149-8,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE SEGURANCA,,,,,23/11/2018,,,015.098.0095-6,,,,NR1-04; NR1.06, ZCOR-2/001,,Z8-CR3 LIND. Z1.,JARDIM PAULISTANO,,CONDOMINIO EDIFICIO FARIA LIMA,,AV  BRIGADEIRO FARIA LIMA 02013 1A ESC F,18/03/2024,ANA KAROLINE OLIVEIRA ROMAO; RONALDO PEREIRA DE FARIAS,,,,,,
SMUL/CONTRU         ,PIRITUBA                      ,,2024.01.592-00,,,,6068-2023-0.008.125-8,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,23/08/2023,,,078.371.0400-5,,,,NR2.01, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,/ PIRITUBA,,OUTBACK STEAKHOUSE RESTAURANTES BRASIL S.A.,,AV  RAIMUNDO P.DE MAGALHAES 1465 TIETE PLAZA SHOPPING,18/03/2024,MICHELLE CRISTIANE ALMEIDA FABRICIO DA SILVA; MAURICIO SAMPAIO AMADEU,,,,,,
SMUL/CONTRU         ,SANTO AMARO                   ,,2024.01.456-00,,,,0000-2018-0.016.503-6,,,,,,,"RECONSIDERACAO DO CADASTRO/MANUTENCAO DE TANQUES,  BOMBAS  E EQUIPAMENTOS AFINS",,,,,19/02/2018,,,090.094.0106-5,,,,NR2, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,SANTO AMARO,,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,,R   MOACIR SIMOES DA ROCHA 00105 ,12/03/2024,SERGIO ANTONIO MARRA,,,,,,
SMUL/CONTRU         ,SAO MIGUEL                    ,,2024.01.799-00,,,,1010-2020-0.004.441-1,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE,,,,,23/07/2020,,,131.007.0073-1,,,,NR2.15, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,CID PEDRO JOSE NUNES,,CONGREGACAO CRISTA NO BRASIL,,AV  MARIO ALVES 00588 45 E 46,26/03/2024,CESAR IGLESIAS BALSEIRO JUNIOR,,,,,,
SMUL/CONTRU         ,SE                            ,,2024.01.790-00,,,,0000-2015-0.206.582-3,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE,,,,,07/08/2015,,,009.009.0103-9,,,,NR2.14, ZEIS-3,,ZONA ESPECIAL DE INTERESSE SOCIAL - 3.,BELA VISTA,,SIND DOS PROF E  FUNC  MUNICIPAIS DE SAO PAUL,,R   HUMAITA 00483 ,26/03/2024,VIVIANE ZANETTI DE OLIVEIRA LIMA,,,,,,
SMUL/CONTRU/DACESS  ,LAPA                          ,,2022.04.455-01,,,,6068-2022-0.005.971-4,,,,,,,APOSTILAMENTO DE CERTIFICADO DE ACESSIBILIDADE,,,,,29/06/2022,,,024.050.0011-3,,,,NR3.02, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,VL ROMANA,,CONPANHIA BRASILEIRA DE DISTRIBUICAO,,R   CERRO CORA 01850 ,19/03/2024,,,,,,,
SMUL/CONTRU/DACESS  ,PINHEIROS                     ,,2024.01.452-00,,,,0000-2018-0.059.991-5,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,13/06/2018,,,299.049.0127-7,,,,NR1.06, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,JD PAULISTA,,COND.EDIF.WYSLING,,R   GOMES DE CARVALHO 01765 ,12/03/2024,GUILHERME PELLOZO LEPORE,,ROSANGELA GAIBINA,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2022.01.646-01,,,,6068-2022-0.002.445-7,,,,,,,APOSTILAMENTO DE CERTIFICADO DE ACESSIBILIDADE,,,,,15/03/2022,,,010.034.0032-9,,,,NR2.03, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,CERQUEIRA CESAR,,COMPANHIA BRASILEIRA DE DISTRIBUICAO,,R   FREI CANECA 00763 ,19/03/2024,,,,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.01.370-00,,,,0000-2019-0.011.895-1,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,15/02/2019,,,006.015.0253-1,,,,NR1.06, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,EDIFICIO CONDOMINIO GUARATINGUETA,,R   SETE DE ABRIL 00230 ,07/03/2024,MARISTELA DAVANCO GIANNINI,,MARISTELA DAVANCO GIANNINI,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.01.552-00,,,,1010-2019-0.000.694-1,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,25/09/2019,,,008.045.0014-2,,,,NR1.06, ZC,,ZONA MISTA DE ALTA DENSIDADE - B.,CAMPOS ELISIOS,,UNIVERSO ONLINE S.A,,AL  BARAO DE LIMEIRA 000458 ,15/03/2024,PALOMA FERNANDA NANI SANTOS,,,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.01.688-00,,,,1010-2020-0.006.049-2,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,04/09/2020,,,008.076.0036-9,,,,NR1.12, ZEIS-3,,Z2.,STA EFIGNIA,,FERNANDO MAGALHAES,,R   DOS GUSMOES 83 ,21/03/2024,LUIZ ANTONIO NOVAREZI GALVES,,,,,,
SMUL/CONTRU/DACESS  ,VILA MARIANA                  ,,2022.00.376-01,,,,6068-2022-0.001.023-5,,,,,,,APOSTILAMENTO DE CERTIFICADO DE ACESSIBILIDADE,,,,,03/02/2022,,,041.084.0153-0,,,,NR3.02, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,MOEMA,,COMPANHIA BRASILEIRA DE DISTRIBUICAO,,AV  LAVANDISCA 00249 263,19/03/2024,,,,,,,
SMUL/CONTRU/DINS    ,BUTANTA                       ,,2024.01.412-00,,,,0000-2019-0.035.767-0,,,,,,,"CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,25/06/2019,,,160.256.0051-0,,,,NR2, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,JD. ESTHER YOLANDA,,AUTO POSTO BUGALU LTDA,,R   DOUTOR PAULO RIBEIRO COELHO 000685 ,08/03/2024,RICARDO FRATIC BACIC JUNIOR,,,,,,
SMUL/CONTRU/DINS    ,BUTANTA                       ,,2024.01.413-00,,,,0000-2019-0.035.767-0,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,25/06/2019,,,160.256.0051-0,,,,NR2, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,JD. ESTHER YOLANDA,,AUTO POSTO BUGALU LTDA,,R   DOUTOR PAULO RIBEIRO COELHO 000685 ,08/03/2024,RICARDO FRATIC BACIC JUNIOR,,,,,,
SMUL/CONTRU/DINS    ,SANTO AMARO                   ,,2024.01.455-00,,,,0000-2018-0.016.503-6,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,19/02/2018,,,090.094.0106-5,,,,NR2, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,SANTO AMARO,,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,,R   MOACIR SIMOES DA ROCHA 00105 ,12/03/2024,SERGIO ANTONIO MARRA,,,,,,
SMUL/CONTRU/DINS    ,SE                            ,,2024.01.545-00,,,,0000-2019-0.035.916-9,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,27/06/2019,,,010.014.0510-2,,,,NR2, ZEU,,ZONA DE CENTRALIDADE POLAR - B.,CONSOLACAO,,GDO PARTICIPACOES S/A,,R   MARQUES DE PARANAGUA 21 ,15/03/2024,CINTIA EIMY TAO,,,,,,
SMUL/CONTRU/DLR     ,BUTANTA                       ,,2024.01.704-00,,,,6068-2024-0.001.856-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/02/2024,,,123.128.0001-1,,,,NR3.04, ZOE,,CLUBE ESPORTIVO SOCIAL.,JARDIM LEONOR,,OPUS GESTAO ARTISTICA LTDA,,PC  ROBERTO GOMES PEDROSA 00001 ESTADIO DO MORUMBI/,22/03/2024,VICENZO ZARATIN,,,,,,
SMUL/CONTRU/DLR     ,CAMPO LIMPO                   ,,2024.01.423-00,,,,6068-2024-0.001.512-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/02/2024,,,166.004.0415-8,,,,NR3.04, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,VILA PREL,,ASSOCIACAO ATLETICA BANCODO BRASIL,,ES  DE ITAPECERICA 1935 ,11/03/2024,DANIEL MINICHILLO MEYLAN,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.01.269-00,,,,6068-2024-0.001.108-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,01/02/2024,,,093.103.0018-3,,,,NR2.10, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,VILA SOCORRO,,MORENO'S PARK LTDA-ME,,AV  GUARAPIRANGA 00752 ESTAC. SHOP FIESTA /,01/03/2024,MARCIO PEREIRA RIBEIRO; ELY GOMES DOS SANTOS; LUCAS GOMES MORIMOTO,,,,,,
SMUL/CONTRU/DLR     ,CASA VERDE/ CACHOEIRINHA       ,,2024.01.689-00,,,,6068-2023-0.011.492-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,08/12/2023,,,305.014.0115-3,,,,NR2-08,,,ZONA MISTA DE MEDIA DENSIDADE.,VL AMALIA,,IGREJA PRESBITERIANA BETEL,,R   ANTONIO DIAS DA SILVA 504 ,21/03/2024,,,,,,,
SMUL/CONTRU/DLR     ,CASA VERDE/ CACHOEIRINHA       ,,2024.01.746-00,,,,6068-2024-0.001.794-2,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,20/02/2024,,,306.079.0187-7,,,,NR3.04, ZEMP,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,CASA VERDE,,PRO MAGNO EMPREENDIMENTOS E PARTICIPAÇÕES S/A.,,AV  PROFESSORA IDA KOLB 513 PRO MAGNO,25/03/2024,FLAVIO AMERICO CURTO JACOME DA PAZ; CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,GUAIANASES                    ,,2024.01.305-00,,,,6068-2023-0.004.999-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,01/06/2023,,,193.033.0046-6,,,,NR2.15, ZEIS-1,,Z2.,JARDIM LOURDES,,CONGREGACAO CRISTA NO BRASIL,,R   FREI GREGORIO DE MAGALHAES 251 ,04/03/2024,ROGERIO PEREIRA DA SILVA; SERGIO VIEIRA DE FREITAS,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.273-00,,,,6068-2023-0.010.175-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/10/2023,,,022.086.0192-0,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,PERDIZES,,CINEMA ARTEPLEX LTDA,,R   PALESTRA ITALIA 000500 3 PISO,01/03/2024,CLEBER MARCOS COSTA; DJALMA CESAR DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.300-00,,,,6068-2024-0.001.025-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,30/01/2024,,,021.115.0001-1,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,/ BARRA FUNDA,,ASSOCIACAO LATINO AMERICANA DE ARTE E CULTURA - ALAC,,AV    MARIO DE  ANDRADE 664 MEM. AMERICA LATINA,04/03/2024,THIAGO BATISTA SILVA; CAUE CREMASCO GARCIA,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.301-00,,,,6068-2024-0.001.189-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,02/02/2024,,,079.094.0013-6,,,,NR3.04, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,JAGUARE,,DEU SAMBA EVENTOS LTDA,,AV  ENGENHEIRO BILLINGS 2100 2300 /,04/03/2024,NAIARA ROBERTA ROSIN,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.318-00,,,,6068-2024-0.000.987-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,30/01/2024,,,022.086.0269-2,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,BPC PARTICIPAÇÕES E PRODUÇÕES ARTÍSTICAS S.A.,,AV  FRANCISCO MATARAZZO 1705 ALLIANZ PARQUE/,05/03/2024,MESAQUE MOTA BISPO,,MESAQUE MOTA BISPO,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.424-00,,,,6068-2024-0.001.493-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,08/02/2024,,,079.094.0013-6,,,,NR3.04, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,JAGUARE,,AGENCIA PLAY PRODUCOES E PARTICIPACOES LTDA,,AV  ENGENHEIRO BILLINGS 2100 2300 /,11/03/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.541-00,,,,6068-2024-0.001.583-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/02/2024,,,021.115.0001-1,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,/ BARRA FUNDA,,ART SHINE PROMOCOES E EVENTOS LTDA,,AV    MARIO DE  ANDRADE 664 MEM. AMERICA LATINA,15/03/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.565-00,,,,6068-2024-0.001.667-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,15/02/2024,,,099.003.0234-6,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,LAPA,,SUPER GESTÃO CULTURAL EVENTOS LTDA,,R   HUGO D'ANTOLA 00046 ,18/03/2024,SARA SOUSA GUERRA; ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.571-00,,,,6068-2024-0.001.566-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,09/02/2024,,,079.094.0013-6,,,,NR3.04, ZPI-1,,Z6-014.,JAGUARE,,TEMPORAL PRODUCOES LTDA,,AV  ENGENHEIRO BILLINGS 2100 2300 /,18/03/2024,NAIARA ROBERTA ROSIN,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.01.573-00,,,,6068-2024-0.001.628-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,15/02/2024,,,079.094.0013-6,,,,NR3.04, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,JAGUARE,,MK EVENTOS LTDA,,AV  ENGENHEIRO BILLINGS 2100 2300 /,18/03/2024,NAIARA ROBERTA ROSIN,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.01.303-00,,,,6068-2024-0.001.193-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,02/02/2024,,,002.040.0001-7,,,,NR3.04, ZC,,Z2.,BRAS,,MAMBA NEGRA PRODUÇÕES E EVENTOS LTDA,,R   DO BUCOLISMO 81 ,04/03/2024,NAIARA ROBERTA ROSIN,,,,,,
SMUL/CONTRU/DLR     ,MOOCA                         ,,2024.01.420-00,,,,6068-2024-0.001.865-5,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/02/2024,,,017.103.0046-9,,,,NR3.04, ZOE,,CLUBE ESPORTIVO SOCIAL.,- GRUTA / CANINDE,,AGÊNCIA OVERCOMING LTDA,,R   PASCOAL RANIERI 33 ASS.PORTUG.DESPORTOS,11/03/2024,LUIZ CARLOS MARCATO; ANDRE EIRA IAGUE,,,,,,
SMUL/CONTRU/DLR     ,PENHA                         ,,2024.01.328-00,,,,6068-2023-0.003.408-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,19/04/2023,,,062.245.0007-1,,,,NR3-04, ZC,,Z6-048.,PENHA,,FEDERAÇÃO PAULISTA DE FUTEBOL DE SALÃO,,AV  CONDESSA E.DE ROBIANO 05120 ,05/03/2024,DANILO PEREIRA MIRANDA,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.01.290-00,,,,6068-2023-0.005.127-8,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,06/06/2023,,,015.089.0022-1,,,,NR2.11, ZCOR-1/001,,ZONA EXCLUSIVAMENTE RESIDENCIAL BAIXA D,JD EUROPA,,MUSEU BRASILEIRO DA ESC.E ECOLOGIA- MUBE,,AV  EUROPA 00218 ,04/03/2024,WANDA MARIA DE LOURDES E SILVA,,,,,,
SMUL/CONTRU/DLR     ,PINHEIROS                     ,,2024.01.308-00,,,,6068-2023-0.008.981-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,18/09/2023,,,016.107.0046-5,,,,NR2.15, ZEU,,Z18-025.,JD. PAULISTA,,MITRA ARQUIDIOCESANA DE SAO PAULO,,AV  SAO GABRIEL 108 ,04/03/2024,MARCO LUIGI TARALLI,,,,,,
