
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/COMIN/DCIGP    ,SANTANA/ TUCURUVI              ,,2023.80.787-02,,,,6068-2023-0.011.026-6,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,23/11/2023,,,073.292.0033-6,,,,R2V-02; NR1.15; NR1.03; NR1.02,ZONEAMENTO ANTERIOR: ZONA DE CENTRALIDADE PO,,,SANTANA,"17.974,99",SB SPE-VILLAGE DE FRANCE INCORPORACOES E PARTICIPACOES LTDA,"4.050,14",R   SOROR ANGELICA 21 A 77,03/01/2024,N & V ENGENHARIA LTDA; N & V ENGENHARIA LTDA; ROBERTO DOS SANTOS; ROBERTO DOS SANTOS; ORNAN BARROS DO CARMO; LABAT CONSTRUTORA E INCORPORADORA LTDA,GETULIO MASSATIKA NAGATOMO; GETULIO MASSATIKA NAGATOMO; VICENTE FORTUNATO BRUNO NETO,,,,,
SMUL/COMIN/DCIGP    ,SE                            ,,2024.00.312-00,,,,6068-2023-0.010.024-4,,,,,,,CERTIFICADO DE CONCLUSAO,,,,,18/10/2023,,,004.034.0350-2,,,,NR1.11, ZEIS-3,,ZONA MISTA DE ALTA DENSIDADE - B.,CAMBUCI,"3.659,99",SECRETARIA MUNICIPAL DE DIREITOS HUMANOS E CIDADANIA,"7.914,00",R   VIEIRA RAVASCO 0000 VARZEA DO GLICERIO,19/01/2024,MAURICIO FURTADO FORTES,,,,,,
SMUL/COMIN/DCIGP    ,VILA MARIA/ VILA GUILHERME     ,,2023.07.697-01,,,,0000-2018-0.007.732-3,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,24/01/2018,,,304.095.0026-4,,,,NR2.12, ZEMP,,ZONA DE CENTRALIDADE POLAR - A.,VILA GUILHERME,"5.328,25",GALI PARTICIPACOES E EMPREENDIMENTOS LTDA EPP,"2.340,50",R   SAO QUIRINO 00260 CONJUNTO 2,29/01/2024,,,,,B: 1 P: 4 U: 1,,
SMUL/COMIN/DCIMP    ,M BOI MIRIM                   ,,2024.00.063-00,,,,6068-2023-0.005.809-4,,,,,,,CERTIFICADO DE REGULARIZACAO,,,,,27/06/2023,,,168.256.0204-6,,,,NR1.03; NR2.04, ZM / QA/009 / MA/003,,ZONA MISTA DE ALTA DENSIDADE - A.,CAMPO LIMPO,,ANTONIO IZQUIERDO,"2.216,55",ES  DE ITAPECERICA 1422 ,05/01/2024,,,,,,,
SMUL/COMIN/DCIMP    ,VILA MARIA/ VILA GUILHERME     ,,2018.81.127-01,,,,6068-2023-0.011.741-4,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,18/12/2023,,,065.051.0034-2,,,,R2V-02; NR2-02,ZONEAMENTO ANTERIOR: Z2.,,,VILA MARIA,"2.213,18",JULIO JOSE CACOMO,"1.259,00",AV  ALBERTO BYINGTON 1497 LJ A ESQ 1501 1509,16/01/2024,MARCOS GUSMAO MATHEUS; MARCOS GUSMAO MATHEUS,,,,,,
SMUL/COMIN/DCIMP    ,,,2023.81.017-01,,,,6068-2023-0.010.821-0,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,14/11/2023,,,6383581039776,,,,NR2-02,ZONEAMENTO ANTERIOR: ZONA NAO DEFINIDA.,,,JARDIM CASA GRANDE,"3.735,22",JL EMPREEND.PARTIC.E ADM.DE BENS LTDA,"3.978,00",AV  SENADOR TEOTONIO VILELA 7861 ,24/01/2024,ANTONIO PEREIRA VIVA NETO; ANTONIO PEREIRA VIVA NETO,,,,,,
SMUL/CONTRU         ,LAPA                          ,,2023.04.545-01,,,,6068-2023-0.011.938-7,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE AUTORIZACAO,,,,,22/12/2023,,,022.086.0269-2,,,,NR3-04,,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,TFT EVENTOS LTDA,,AV  FRANCISCO MATARAZZO 1705 ALLIANZ PARQUE /,22/01/2024,MESAQUE MOTA BISPO; GABRIEL ALBERT SILVA BISPO,,,,,,
SMUL/CONTRU         ,PINHEIROS                     ,,2024.00.180-00,,,,1010-2019-0.002.398-6,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE SEGURANCA,,,,,16/12/2019,,,009.084.0450-6,,,,NR1-04; NR1.06, ZEU,,Z3-151.,JARDIM PAULISTA,,EDIFICIO PAMPULHA,,R   PAMPLONA 1115 ,12/01/2024,WANDA MARIA DE LOURDES E SILVA; ANDRE LUIZ CARDOSO DE SANTANA,,,,,,
SMUL/CONTRU/DACESS  ,PINHEIROS                     ,,2024.00.053-00,,,,0000-2018-0.068.759-8,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,12/07/2018,,,299.050.0791-1,,,,NR1.06, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA OLIMPIA,,CONDOMINIO EDIFICIO ATRIUM V,,R   FIDENCIO RAMOS 195 CJ 126,05/01/2024,DIANA KOGA OLIVEIRA,,DIANA KOGA OLIVEIRA,,,,
SMUL/CONTRU/DACESS  ,SANTANA/ TUCURUVI              ,,2024.00.287-00,,,,1010-2019-0.001.254-2,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,22/10/2019,,,070.254.0017-3,,,,NR1.16, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,AGUA FRIA,,IGREJA BATISTA DE AGUA FRIA,,R   CAITEZAL 219 ,18/01/2024,JOAO FLORINDO DA SILVA,,ROSANGELA GAIBINA,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.00.420-00,,,,0000-2019-0.029.545-4,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,02/05/2019,,,028.077.0001-2,,,,NR2.02, ZM-3A/004,,ZONA MISTA DE ALTA DENSIDADE - A.,MOOCA,,SAVEN COMERCIAL E IMÓVEIS LTDA,,AV  ARNO 00180 ,29/01/2024,ROQUE MARIANO GUILHERME,,ROQUE MARIANO GUILHERME,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2024.00.486-00,,,,0000-2018-0.074.191-6,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,26/07/2018,,,006.017.0823-7,,,,NR2-02; NR3.01, ZC,,ZONA DE CENTRALIDADE POLAR - B.,CENTRO,,FUNDO DE INVESTIMENTO IMOBILIARIO FII COMERCIA,,R   VINTE E QUATRO DE MAIO 00070 E 90,31/01/2024,THIAGO BOMFIM DOS SANTOS,,MIGUEL SERRA VIRGINIO DOS SANTOS,,,,
SMUL/CONTRU/DINS    ,BUTANTA                       ,,2024.00.020-00,,,,6068-2023-0.008.535-0,,,,,,,AUTO DE LICENCA DE FUNCIONAMENTO,,,,,01/09/2023,,,300.101.0003-1,,,,NR5.02, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,MORUMBI,,COMERCIAL E EMPREENDIMENTOS BRASIL S A,,R   FRANCISCO TRAMONTANO 100 ,04/01/2024,,,,,,,
SMUL/CONTRU/DINS    ,CAMPO LIMPO                   ,,2020.08.472-01,,,,6068-2023-0.008.401-0,,,,,,,"APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,30/08/2023,,,170.011.0116-7,,,,NR2, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA ANDRADE,,GDO PARTICIPACOES S/A,,R   JOSE RAMON URTIZA 000995 ,15/01/2024,CINTIA EIMY TAO,,,,,,
SMUL/CONTRU/DINS    ,LAPA                          ,,2021.06.321-01,,,,6068-2023-0.008.419-2,,,,,,,"APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,30/08/2023,,,099.042.0111-0,,,,NR2, ZEM,,ZONA MISTA DE ALTA DENSIDADE - B.,LAPA,,GDO PARTICIPAÇÕES S/A,,PC  JACOMO ZANELA 154 ,15/01/2024,CINTIA EIMY TAO,,,,,,
SMUL/CONTRU/DINS    ,LAPA                          ,,2021.06.322-01,,,,6068-2023-0.008.419-2,,,,,,,APOSTILAMENTO DE CERTIFICADO DE ESTANQUEIDADE,,,,,30/08/2023,,,099.042.0111-0,,,,NR2, ZEM,,Z2.,LAPA,,GDO PARTICIPAÇÕES S/A,,PC  JACOMO ZANELA 154 ,15/01/2024,,,,,,,
SMUL/CONTRU/DINS    ,LAPA                          ,,2024.00.537-00,,,,6068-2023-0.005.125-1,,,,,,,AUTO DE LICENCA DE FUNCIONAMENTO,,,,,06/06/2023,,,097.128.0024-5,,,,NR5.02,,,ZONA MISTA DE ALTA DENSIDADE - A.,VILA LEOPOLDINA,,CONDOMINIO CENTRO TEXTIL INTERNACIONAL,,AV  ENGENHEIRO ROBERTO ZUCCOLO 555 SUC 1201,31/01/2024,,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2020.06.217-01,,,,6068-2023-0.008.408-7,,,,,,,"APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,30/08/2023,,,085.627.0023-1,,,,NR2, ZEUP,,ZONA MISTA DE BAIXA DENSIDADE.,BROOKLIN PAULISTA,,GDO PARTICIPAÇÕES S/A,,AV  DOS BANDEIRANTES 01250 ,15/01/2024,,,,,,,
SMUL/CONTRU/DINS    ,SANTO AMARO                   ,,2018.17.048-01,,,,6068-2023-0.009.661-1,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,05/10/2023,,,085.667.0008-2,,,,NR3-01,,,Z6-037.,VILA SAO FRANCISCO,,MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS SA,,AV  DOUTOR CHUCRI ZAIDAN 1240 LJ 8,12/01/2024,ANTONIO SERGIO BIANCO,,,,,,
SMUL/CONTRU/DLR     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2024.00.298-00,,,,6068-2023-0.006.099-4,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,05/07/2023,,,054.292.0005-0,,,,NR3.04, ZEUP,,Z2.,SHOP.ANALIA FRANCO,,UNITED CINEMAS INTERNATIONAL BRASIL LTDA,,AV  REGENTE FEIJO 1739 LOJA OQ 129 PISO,18/01/2024,ALBERTO MASSANOBU KUNIYOSHI; MAYRON AKAUAN TEIXEIRA ALMEIDA RAMOS,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.00.069-00,,,,6068-2023-0.010.282-4,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,26/10/2023,,,178.152.0004-3,,,,NR2.10, AC-2,,ZONA DE LAZER E TURISMO.,VILA REPRESA,,CLUBE DE CAMPO DE SAO PAULO,,PC  ROCKFORD 28 - STO AMARO,05/01/2024,RODRIGO BATISTA CASTOR MARQUES,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.00.366-00,,,,6068-2023-0.011.876-3,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/12/2023,,,095.437.0017-6,,,,NR4.06, ZEPAM,,ZONA ESPECIAL DE PROTECAO AMBIENTAL.,/ JD. GUARAPIRANGA,,ASSOCIAÇÃO CAMINHO DO ESPORTE - ACE,,R   PORTO ALEXANDRE 0 PQ. PRAIA DO SOL,23/01/2024,JOSE EDUARDO DO NASCIMENTO,,JOSE EDUARDO DO NASCIMENTO,,,,
SMUL/CONTRU/DLR     ,IPIRANGA                      ,,2024.00.068-00,,,,6068-2023-0.008.188-6,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,24/08/2023,,,049.145.0023-1,,,,NR3.07,,,Z3-198.,VILA VERA,,IGREJA EVANGELICA CRISTA PRESBITERIANA,,R   MARQUES DE LAGES 1811 ,05/01/2024,LLOID ESTEBAO HENRIQUEZ; RAPHAEL RODRIGUEZ POPOVIC,,,,,,
SMUL/CONTRU/DLR     ,ITAQUERA                      ,,2024.00.191-00,,,,6068-2023-0.011.934-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,22/12/2023,,,143.083.0007-9,,,,NR3.04, ZEU,,ZONA NAO DEFINIDA.,ITAQUERA,,ASSOCIAÇÃO MANAKA CULTURAL,,AV  JOSE PINHEIRO BORGES 99999 ESTAC. SHOPPING,15/01/2024,MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2023.08.052-01,,,,6068-2023-0.011.679-5,,,,,,,RENOVACAO DE ALVARA DE AUTORIZACAO,,,,,14/12/2023,,,197.022.0042-2,,,,NR3.04, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,BARRA FUNDA,,SKY ARTS EVENTOS CULTURAIS LTDA,,R   QUIRINO DOS SANTOS 430 ,12/01/2024,ELY GOMES DOS SANTOS,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.00.085-00,,,,6068-2023-0.011.127-0,,,,,,,ALVARA DE AUTORIZACAO,,,,,29/11/2023,,,099.017.0002-7,,,,NR2.11, ZM,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,ASSOC. DO PACO DAS ARTES FRANCISCO MATAR. SOBRINHO,,R   CENNO SBRIGHI 00378 / MIS EXPERIENCE,08/01/2024,SANDRA CARDOSO DA SILVA BISPO; MESAQUE MOTA BISPO,,,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.00.115-00,,,,6068-2023-0.010.542-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,06/11/2023,,,022.086.0269-2,,,,NR3.04, ZOE,,ZONA MISTA DE ALTA DENSIDADE - A.,AGUA BRANCA,,AMGS ENTRETENIMENTO SPE LTDA,,AV  FRANCISCO MATARAZZO 1705 ALLIANZ PARQUE /,09/01/2024,DORIVAL CERQUEIRA LIMA; ELTON DE ARAUJO AUGUSTO; ALEX JOSE DE REZENDE; CLEITON PAULO DE MOURA                                      ; VICENZO ZARATIN,,VICENZO ZARATIN,,,,
SMUL/CONTRU/DLR     ,LAPA                          ,,2024.00.181-00,,,,6068-2023-0.011.673-6,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/12/2023,,,021.115.0001-1,,,,NR3-04, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,/ BARRA FUNDA,,HYPE PRODUCOES CULTURAIS LTDA,,AV    MARIO DE  ANDRADE 664 MEM. AMERICA LATINA,12/01/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
