ID                                   ** (proposta/lei/ano emissão alvará aprovação) **,PROPOSTA,PROCESSO Nº,PROCESSO MODIFICATIVO,COORDENADA E,COORDENADA N,SETOR,QUADRA,LOTE (CADASTRADO NO ALVARÁ DE APROVAÇÃO),LOTE ATUALIZADO / CONDOMÍNIO,COD LOG,"ENDEREÇO - TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,"ENDEREÇO 2- TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO 2 - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,PROPRIETÁRIO OU INTERESSADO,DISTRITO,SUBPREFEITURA,MACROZONA,MACROÁREA,SUBSETOR,ZONA DE USO 1 - 18.081/24,ZONA DE USO 2 - 17.975/23,ZONA DE USO 3 - 16.402/16,ZONA DE USO 4 - 16.050/14,ZONA DE USO 5 - 13.885/04,Tipologia de Uso Incidente de OODC,R,,,nR,,,,,Fp - USO R,Fp - USO nR,Fs - USO R,Fs - USO nR,USO R - ÁREA OBJETO DE OUTORGA (m²),USO NR - ÁREA OBJETO DE OUTORGA (m²),ÁREA TOTAL OBJETO DE OUTORGA (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - INCENTIVO nR  (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - FACHADA ATIVA (m²),% FACHADA ATIVA EM RELAÇÃO ÁREA NÃO COMPUTÁVEL,ÁREA COMPUTÁVEL TOTAL (m²),ÁREA CONSTRUÍDA TOTAL (m²),USO R - VALOR DA CONTRAPARTIDA (R$),USO nR - VALOR DA CONTRAPARTIDA (R$),VALOR TOTAL DA CONTRAPARTIDA (R$),REAPROVEITAMENTO DE OODC,C. A.       BÁSICO,C. A. UTILIZADO,ÁREA TERRENO (menor área),VALOR M² (Q 14),ÁREA AVERBADA PARA FRUIÇÃO PÚBLICA (m²),ÁREA DE DOAÇÃO PARA MELHORAMENTO PÚBLICO (m²),ÁREA DE DOAÇÃO DE CALÇADA (m²),"COTA PARTE MÁXIMA DE TERRENO POR UNIDADE
Art. 79 §§ 9º 10º (m²)",ÁREA DE TRANSFERÊNCIA (m²),ÁREA À DESTINAR PARA HABITAÇÃO SOCIAL (m²),INCIDÊNCIA DE COTA DE SOLIDARIEDADE,COTA DE SOLIDARIEDADE OPCIONAL OU OBRIGATÓRIA,SITUAÇÃO DO PGTO OODC,ORIGEM,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,DATA INFORMAÇÃO DMUS,DATA
,,,,Coordenada plana x ,Coordenada plana y,,,,,,ENDEREÇO 1,,,,ENDEREÇO 2,,,,,,,,,,,,,,,,SUBCATEGORIA DE USO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALVARÁ DE APROVAÇÃO / APROVAÇÃO E EXECUÇÃO                                                         (APOSTILAMENTOS E/OU MODIFICATIVOS),,,ALVARÁ DE EXECUÇÃO                                                                                                     (APOSTILAMENTOS E/OU MODIFICATIVOS),,,CERTIFICADO DE CONCLUSÃO,,,,
2193/16050/2024,2193,1010.2023/0009779-0,,332563.11572584,7388151.5325439,045,098,0001-0/0002-9/0003-7/0005-3/0020-7/0021-5/0028-2/0035-5/0042-8/0043-6/0044-4/0045-2/0047-9/0048-7/0050-9/0051-7/0052-5/0053-3/0064-9/0065-7/0066-5,-,042056,AVENIDA,SENADOR,CASIMIRO DA ROCHA,683,RUA,-,CAPUTIRA | DAS ORQUIDEAS ,66 | 62,TARJAB CASIMIRO EMPREENDIMENTO IMOBILIÁRIOS SP,SAÚDE,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,-,-,-,-,-,"0,7",-,"1,0",-,-,-,8169.36,10800.28,-,-,-%,11815.52,22615.8,-,-,3957927.39,NÃO,1,"4,0000",2953.88,3061.02,-,-,230.76,-,-,-,NÃO,-,QUITADO,SEI,2024/03490-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45467,,,,,,,45516,2024
2194/16050/2023,2194,1020.2023/0018922-3,,327473.01211504,7392537.8812216,015,076,0002-1/0003-8/0004-6/0005-4/0006-2/0075-5/0126-3/0127-1/0128-1/0130-1,-,162639,RUA,-,DOS PINHEIROS,"1309,1311,1319,1321,1325,1331,1335,1343,1345,1351,1353",RUA,DOUTOR,FERNANDES COELHO,"113,117,125",SK PINHEIROS EMPREENDIMENTOS IMOBILIÁRIOS LTDA,PINHEIROS,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"1,0/0,8",-,-,-,5929.66,9371.7099999999991,1511.41,761.12,8.1214634255648122E-2,8063.52,17435.259999999998,-,-,5100409.4400000004,NÃO,1,"4,8000",1679.9,6868.32,-,-,151.32,-,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,32917-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45271,41565-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45530,,,,45520,2024
2195/16050/2024,2195,1020.2022/0023175-9,,330105.28098915,7386311.1081295,086,245,0053-2/0054-0/0055-9/0056-7/0057-5/0058-3/0085-0/0086-9/0087-7/0088-5/0089-3/0090-7/0092-3/0093-1,-,100765,RUA,DOUTOR,JESUINO MACIEL,"1764,1766,1774,1782",RUA,-,PASCAL | SEBASTIÃO PAES,"1793,1799,1819,1829 | 541,551,555,561,565,571,577",BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO FII / BRIO REAL ESTATE IV FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,CAMPO BELO,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEUP,ZEUP,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"1,0/0,8",-,-,-,5813.4,10184.06,1814.38,160.85,1.5794290292869446E-2,9161.8799999999992,19345.939999999999,-,-,3221960.33,NÃO,1,"4,0000",2290.48,3337.24,-,-,352.67,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,23379-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45301,,,,,,,45526,2024
2196/16050/2024,2196,1020.2024/0009717-7,1020.2024/0009717-7,333453.11275064,7390523.7299662,039,077,0010-4/0008-2/0009-0/0099-6/0100-3/0101-1/0102-1/0103-8/0104-6/0105-4/0106-2/0107-0/0121-6,-,145173,RUA,DOUTOR,NETO DE ARAUJO,"271265,257,263,277",-,-,-,-,GRAND SLAM EMPREENDIMENTO IMOBILIÁRIO LTDA,VILA MARIANA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/0,9/1,0",-,-,-,0,8136.36,1183.8599999999999,532.87,6.5492431504997325E-2,5951.97,14088.33,-,-,291786.07,NÃO,1,"3,9973",1489,4053.48,-,-,30.32,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,40691-24-SP-MOD,PROJ. MODIFICATIVO - APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45448,,,,,,,45525,2024
2197/16050/2024,2197,1010.2023/0002625-7,,333374.62584278,7387910.4150733,309,052,0031-1/0049-4/0050-8/0052-4/0053-2/0054-0/0055-9/0056-7/0057-5/0058-3/0059-1,-,084450,RUA,-,GUIRATINGA,1147,-,-,-,-,TARJAB GUIRATINGA EMP IMOBILIÁRIOS SPE LTDA ,SAÚDE,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"0,9/1,0",-,-,-,4881.38,5862.94,-,-,-%,6989.35,12852.29,-,-,1780003.16,NÃO,1,"4,0000",1747.34,2226.61,-,-,120.21,-,-,-,NÃO,-,QUITADO,SEI,2024/00196-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45301,,,,,,,45530,2024
2198/16050/2023,2198,2020-0.0008-938-7,,328060.96960548,7381136.0378645,090,106,0004-1,-,158585,RUA,-,PIERRE,259,-,-,-,-,ECO STUDIOS E FLATS ADMINISTRADORA DE BENS PRO,CAMPO GRANDE,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,"0,6",-,"0,6",-,-,-,118.48,560.48,-,-,-%,1118.48,1678.96,-,-,70207.73,NÃO,1,"1,1184",1000,1841.05,-,-,-,-,-,-,NÃO,-,QUITADO,SISACOE,2023/06820-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45217,,,,,,,45530,2024
2199/16050/2024,2199,6068.2023/0008506-7,,328917.6778946,7379274.0806051,121,100,0008-1,-,150452,RUA,-,ORESTES BARBOSA,199,-,-,-,-,CARVALHO FORTE INCORPORADORA LTDA,CAMPO GRANDE,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,"0,6",-,"0,6",-,-,-,330.6,108.87,-,-,-%,603.84,712.71,-,-,32338.62,NÃO,1,"2,2099",273.24,900.71,-,-,-,-,-,-,NÃO,-,QUITADO,SEI,2024/04321-00,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45509,,,,,,,45537,2024
2200/16050/2023,2200,1020.2023/0010713-8,,327353.25400937,7394703.5265704,081,236,0007-0/0010-0/0021-6/0022-4/0023-2/0024-0/0031-3/0033-1/0034-8/0035-6/0036-4/0047-1/0048-8/0058-5/0059-3,-,085782,RUA,-,HARMONIA,"1092,1102,1114,1126,1136,1140,1150,1158",RUA,-,PEDRO ORTIZ,"70,78,82,94,102,108,118",HARMONIA EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA,PINHEIROS,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/1,0",-,-,-,7459.52,14926.22,2207.86,278.64,1.8667820787848496E-2,11040.47,25966.69,-,-,3961292.52,NÃO,1,"4,0000",2760.12,3170.16,-,-,273.61,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,29081-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45215,,,,,,,45537,2024
2201/16050/2023,2201,1020.2023/0003539-0,,323124.78285046,7389705.2878923,101,334,0002-5/0003-3/0004-1/0023-8/0001-7/0029-7,-,075000,RUA,-,ANDRE SARAIVA,"440,452,474,458",RUA,-,JOAQUIM GALVÃO | AV PROFESSOR FRANCISCO MORATO,"52 | 3897,3905",INTEGRA DESENVOLVIMENTO URBANO LTDA,VILA SÔNIA,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-1,E-HMP,HIS - 2,nR1-3,-,-,-,-,"0,6",-,"0,0/0,4/0,9",-,-,-,6745.45,4361.7700000000004,1411.93,830.48,0.19039976890115709,8435.57,15039.75,-,-,640317.6,NÃO,1,"4,9911",1690.12,1927.8,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,25951-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45274,,,,,,,45537,2024
2202/16050/2024,2202,2018-0.118.755-6,,323259.31484329,7383821.5513178,103,50,0001-1,-,675733,RUA,-,LUIZ GRASSMANN,S/N,-,-,-,-,RAFAEL DELLA VOLPE FILHO/JOSE DELLA VOLPE,JARDIM SÃO LUÍS,MBOI MIRIM,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,REDUÇÃO DA VULNERABILIDADE URBANA,NA,-,-,ZEU,EETU,-,R,-,E-HMP,HIS - 2,-,-,-,-,-,"0,3",-,"0,4",-,-,-,10307.51,6312.33,-,-,-%,13132.89,19445.22,-,-,233105.15,NÃO,1,"5,4777",2397.5,1032.33,-,-,-,-,-,-,SIM,OBRIGATÓRIO,QUITADO,SISACOE,2024/04893-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45527,,,,,,,45539,2024
2203/17975/2023,2203,1020.2023/0017157-0,,328743.08760023,7393201.9405546,013,048,0014-8/0015-6/0016-4/0017-2/0700-2,-,119350,RUA,-,LISBOA,"173,177,183,191,195,199,201,203",-,-,-,-,SK LISBOA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,JARDIM PAULISTA,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"0,8/1,0",-,-,-,6317.99,7998.62,-,-,-%,8391.67,16390.29,-,-,5876159.79,NÃO,1,"4,7999",1748.27,6426,-,-,-,-,-,-,SIM,OPCIONAL,ARRECADADO AD,APROVA DIGITAL,32148-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45231,41292-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45499,,,,45540,2024
2204/16050/2024,2204,1020.2023/0007923-1,,340252.03861172,7401499.72541,066,647,0001-8/0002-6/0003-4/0004-2/0005-0/0006-9/0007-7/0008-5/0009-3/0010-7/0011-5/0012-3/0013-1/0014-1/0015-8,-,390232,RUA,-,CLAUDIO SANTOS,S/N,-,-,-,-,PPP MUNICIPAL HABITACIONAL SP LOTE 7 SPE - SA,VILA MEDEIROS,VILA MARIA/VILA GUILHERME,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,FERNÃO DIAS,-,-,ZDE,ZDE,-,R,-,E-HMP,HIS-1 / HIS-2,-,-,-,-,-,"0,3",-,"0,4/0,6",-,-,-,2408.4299999999998,4406.2,-,-,-%,21786.34,26192.54,-,-,94001.8,NÃO,1,"1,6928",12870,511.67,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,28082-23-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45392,,,,,,,45540,2024
2205/16050/2023,2205,1020.2023/0008512-6,,331287.30800053,7394014.1743598,010,048,0032-0/0033-9/0034-7/0035-5/0038-1/0039-8/0040-1/0041-1/0042-8/0043-6/0044-4/0045-2/0046-0/1520-4/3177-3,-,087300,RUA,-,HERCULANO DE FREITAS,"155,159,167,169,179 (CS 1, CS 2, CS 3, CS 4, CS 5, CS 6) 181,185,191,195,173,177",-,-,-,-,PARTIFIB PROJETOS IMOBILIÁRIOS HERCULANO DE FREITAS LTDA,BELA VISTA,SÉ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/0,9/1,0",-,-,-,6655.44,11081.97,1822.18,443.72,4.0039812416023508E-2,9169.73,20251.7,-,-,5914287.1699999999,NÃO,1,"3,9999",2292.5,5507.08,-,-,73.73,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,27712-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45195,,,,,,,45541,2024
2206/17975/2023,2206,1020.2023/0018515-5,,328832.57855535,7396720.5013153,021,104,0029-3,-,192597,AVENIDA,-,SUMARÉ,85,RUA,-,TURIASSU,S/N,ONE DI 45 EMPREENDIMENTO IMOBILIÁRIO SPE LTDA,PERDIZES,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-3,HMP,HIS - 2,nR1-3,nR1-12,nR2-2,-,-,"0,7",-,"0,0/0,4/1,0",-,-,-,11286.68,9916.26,2656.49,1081.0999999999999,0.10902295825240563,13590.61,23506.87,-,-,5381703.2999999998,NÃO,1,"5,9803",2272.5500000000002,4725.25,-,-,6.3,-,-,-,SIM,OBRIGATÓRIO,ARRECADADO AD,APROVA DIGITAL,34468-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45280,39108-24-SP-ALV,EXECUÇÃO DE EDIFICAÇÃO NOVA,45510,,,,45546,2024
2207/16050/2023,2207,1020.2023/0007565-1,,329669.64118195,7396089.4518117,021,044,0026-0/0027-9/0028-7/0029-5/0030-9/0038-4/0039-2/0414-2/0622-6/0623-4,-,088110,RUA,DOUTOR,HOMEM DE MELLO,"400, 406, 412, 414, 420, 436",RUA,-,MONTE ALEGRE,"681, 693, 695, 699, 711",FUTURA 28 SPE EMPREENDIMENTO LTDA / HESA 216 - INVESTIMENTOS IMOBILIÁRIOS LTDA,PERDIZES,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/1,0",-,-,-,7300.12,13943.89,2050.9899999999998,1217.78,8.7334309149025124E-2,10338.540000000001,24282.43,-,-,8273054.1299999999,NÃO,1,"3,9973",2586.41,6790.14,-,-,150.66999999999999,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,27604-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45203,,,,,,,45549,2024
2208/17975/2024,2208,1010.2023/0012649-9,,332292.05623801,7386185.5826729,047,151,0010-1/0096-7,-,193003,ALAMEDA,-,DOS UBIATANS,207,-,-,-,-,AGINC 001 INCORPORADORA SPE LTDA,SAÚDE,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,ZEU,ZEU,-,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"0,8/1,0",-,-,-,4265.82,4337.99,-,-,-%,6000,10337.99,-,-,1807587.98,NÃO,1,"4,0000",1500,2578.59,-,-,78.06,-,-,-,NÃO,-,QUITADO,SEI,2024/04731-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45517,,,,,,,45546,2024
2209/16050/2023,2209,1020.2022/0008602-3,,327881.76391685,7397300.9819201,022,019,0003-5/0004-3/0005-1/0006-1/0021-3/0022-1/0023-1/0024-8/0025-6/0026-4,-,025275,RUA,DOUTOR,DE MIRANDA,"175,183,185,191",RUA,-,VENANCIO AIRES,"921,925,931,937,941,943,945,951",SHPAISMAN 118 EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA,LAPA,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,ARCO TIETÊ,-,-,ZEM,ZEM,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"2,0",-,"0,8/0,9",-,-,-,5348.93,8723.4,-,-,-%,7894.64,16618.04,-,-,5510558.0999999996,NÃO,1,"3,9999",1973.7,2410.8200000000002,-,-,190.67,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,13257-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45096,,,,,,,45547,2024
2210/16050/2023,2210,1020.2023/0002142-0,,330168.17862727,7393292.5788883,014,006,0003-0/0004-9/0045-6/0046-4/0047-2/0048-0/0053-7/0182-7/0183-5/0184-3/0185-1/0186-1/0187-8/0188-6/0189-4/0190-8/0194-0/0229-7,-,024970,ALAMEDA,-,FRANCA,"1037, 1045, 1047, 1055, 1061",RUA,-,AUGUSTA,"2283, 2295, 2299, 2309, 2321, 2325",EVEN-SP 126 EMPREENDIMENTOS IMOBILIÁRIOS LTDA,JARDIM PAULISTA,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZC,ZC,-,R,R2v-2,-,-,nR1-3,nR1-6,nR2-10,-,-,"0,7",-,"1,0",-,-,-,3294.46,11820.39,1199.26,675.97,5.7186776409238617E-2,7052.04,18872.43,-,-,13733948.42,NÃO,1,"1,9999",3526.1,11910.59,-,-,231.48,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,25071-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45182,,,,,,,45551,2024
2211/17975/2024,2211,1020.2023/0022220-4,,340236.8567216,7396364.6645179,062,080,0081-5,-,085529,RUA,CORONEL,GUSTAVO SANTIAGO,175,-,-,-,-,EDENILSON EDUARDO CALORE,TATUAPÉ,MOOCA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,ARCO LESTE,-,ZEU,ZEU,-,-,R,R2v-1,-,-,-,-,-,-,-,"0,3",-,"1,0",-,-,-,226.31,20.36,-,-,-%,405.69,426.05,-,-,71432.81,NÃO,1,"2,2600",179.38,2379.54,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,34402-23-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45497,,,,,,,45553,2024
2212/16050/2024,2212,1020.2022/0001610-6,,337693.257119,7403025.1357356,067,260,0059-6,-,137456,RUA,-,SILVESTRE LACROIX,54,-,-,-,-,SILVESTRE LACROIX RESIDENCE SPE LTDA,TUCURUVI,SANTANA/TUCURUVI,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,"0,6",-,"0,4",-,-,-,434.93,494.94,-,-,-%,767.23,1242.17,-,-,55924.89,NÃO,1,"2,3088",332.3,1237,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,10715-22-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45414,,,,,,,45551,2024
2213/16050/2023,2213,1020.2023/0007466-3,,336080.83910966,7390395.802291,040,098,0001-1/0006-2/0041-0,-,054216,RUA,-,COSTA AGUIAR,"1650 A, 1720,1720 FDS, 1660 A 1714",-,-,-,-,ENGELUX DESENVOLVIMENTO IMOBILIÁRIO LTDA,IPIRANGA,IPIRANGA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,ARCO TAMANDUATEÍ,-,-,ZM,ZM,-,R,R2v-1,E-HMP,-,-,-,-,-,-,"1,2",-,"0,4/0,6/0,8/0,9",-,-,-,4381.43,8320.92,-,-,-%,7311.05,15631.97,-,-,2631545.29,NÃO,1,"2,4956",2929.62,2576.83,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,27950-23-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45278,,,,,,,45553,2024
2214/16050/2024,2214,1020.2023/0012302-8,,325714.34838433,7392296.4367094,200,044,0317-5,-,033529,RUA,ENGENHEIRO,BIANOR,148,-,-,-,-,BIANOR EMPREENDIMENTO SPE LTDA,BUTANTÃ,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,nR1-3,nR1-6,-,-,-,"0,7","1,3","0,8/0,9/1,0","1,0",0,0,0,11456.4,2271.4499999999998,252.06,2.2001675919136904E-2,12149.65,23606.06,307113.15000000002,30544.02,337657.17,NÃO,1,"3,9989",3038.25,2563.9699999999998,1002.82,-,-,-,-,-,NÃO,-,COMPROMETIDO,APROVA DIGITAL,30003-23-SP-MOD,PROJ. MODIFICATIVO - APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,24/07/0204,,,,,,,45553,2024
2215/16050/2023,2215,1020.2022/0016251-0,,333669.59100193,7400851.2533007,072,086,0028-7,-,073270,RUA,-,FRANCISCA JÚLIA,"297, 329",-,-,-,-,FRANCISCA JULIA I EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA / CAITO PORTASIO CACCIA,SANTANA,SANTANA/TUCURUVI,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZC,ZC,-,R,R2v-2,-,-,-,-,-,-,-,"0,6",-,"1,0",-,-,-,2158.1799999999998,6865.94,-,-,-%,4773.9799999999996,11639.92,-,-,1940101.39,NÃO,1,"1,9887",2400.6,2979.52,-,-,215.2,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,17455-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45181,,,,,,,45554,2024
2216/16050/2023,2216,1020.2022/0010582-6,,335387.33994033,7401472.3661653,069,065,0011-2/0029-5/0037-6,-,132225,RUA,-,MARIA DO CARMO SENE,S/N,RUA,-,PEDRO CACUNDA,S/N,ASSOCIAÇÃO DE EDUCAÇÃO DE JOVENS E ADULTOS,SANTANA,SANTANA/TUCURUVI,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,-,-,-,-,-,"0,6",-,"0,8/0,9",-,-,-,4447.07,5677.72,-,-,-%,6348.16,12025.88,-,-,1241640.32,NÃO,1,"3,9700",1598.51,2184.84,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,13313-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45155,,,,,,,45554,2024
2217/16050/2024,2217,6068.2023/0008847-3,,328889.06648921,7380001.4345468,121,005,0015-4,-,655058,RUA,-,CENERINO BRANCO DE ARAUJO,58,-,-,-,-,INTERLAR INCORPORAÇÃO LTDA,CAMPO GRANDE,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,"0,6",-,"0,4/0,6",-,-,-,477.31,195.39,-,-,-%,877.31,1072.7,-,-,50369.97,NÃO,1,"2,1933",400,885.72,-,-,-,-,-,-,NÃO,-,QUITADO,SEI,2014/04798-00,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45525,,,,,,,45555,2024
