sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
2203102101,582519.98,2022-12-29,1.Compra e venda,itbi_1.xlsx
1081860046,1000000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1511770032,190000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
7034400806,250000.00,2023-01-18,12.Dação em pagamento por escritura pública,itbi_1.xlsx
2106302304,284955.30,2023-01-31,1.Compra e venda,itbi_1.xlsx
7203800911,1230000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1990160010,285000.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
2806900395,261253.55,2023-01-17,1.Compra e venda,itbi_1.xlsx
0901301922,430000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
2440230002,206513.82,2023-01-02,1.Compra e venda,itbi_1.xlsx
2702600255,240000.00,2023-01-26,1.Compra e venda,itbi_1.xlsx
7607602501,264000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
4115206314,1150000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
0405100817,380000.00,2024-12-20,1.Compra e venda,itbi_3.xlsx
3204601307,1629620.00,2023-02-06,1.Compra e venda,itbi_1.xlsx
0602005515,289786.49,2023-01-30,1.Compra e venda,itbi_1.xlsx
1183060192,58328.12,2023-01-24,2.Cessão de direitos relativos a compromisso de compra e venda,itbi_1.xlsx
5614901175,264000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
3808400374,427000.00,2023-01-26,1.Compra e venda,itbi_1.xlsx
9900201541,264000.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
1140640130,191280.12,2023-01-16,1.Compra e venda,itbi_1.xlsx
1393370023,201000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1611100119,9650000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1690880269,292000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
6210509258,610234.88,2023-02-01,1.Compra e venda,itbi_1.xlsx
1570030039,307000.00,2025-01-17,1.Compra e venda,itbi_3.xlsx
4717405366,402987.39,2023-01-17,1.Compra e venda,itbi_1.xlsx
1601730075,117302.00,2022-12-31,1.Compra e venda,itbi_1.xlsx
1601730204,22198.00,2022-12-31,1.Compra e venda,itbi_1.xlsx
7037801283,550000.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
8639010315,365000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1472820873,220000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1690620004,250000.00,2023-01-19,1.Compra e venda,itbi_1.xlsx
1904804691,360000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
8701100432,264632.50,2023-01-31,1.Compra e venda,itbi_1.xlsx
1710210303,300000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
