sql_mestre,area_terreno,area_construida,valor_m2_terreno,valor_m2_construcao,ano_construcao,fator_obsolescencia_oficial,tipo_terreno,esquinas_frentes,fracao_ideal,codlog,uso,padrao,endereco
1113540044,395,210,1240.00,1603.00,1967,0.22,Normal,0,1.0000,21759-0,"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",Residencial horizontal - padrão C,"R  JOSE LOPES RODRIGUES, 50"
1113540046,310,200,1263.00,1603.00,1984,0.52,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 415"
1113540047,372,118,1240.00,1557.00,1986,0.20,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão B,"R  JOSE LOPES RODRIGUES, 22"
1113540054,184,90,1263.00,1557.00,1970,0.20,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão B,"R REV JOAO EUCLIDES PEREIRA, 295"
1113540055,199,106,1263.00,1499.00,1970,0.20,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão A,"R REV JOAO EUCLIDES PEREIRA, 355"
1113540056,92,66,1263.00,1603.00,1984,0.52,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 409"
1113540057,68,70,1263.00,1603.00,1984,0.52,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 403"
1113540058,70,102,1263.00,1603.00,1992,0.64,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 399"
1113540059,69,70,1263.00,1603.00,1984,0.52,Normal,0,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 395"
1113540060,127,68,1263.00,1603.00,1984,0.52,De esquina,1,1.0000,63635-5,Residência,Residencial horizontal - padrão C,"R REV JOAO EUCLIDES PEREIRA, 383"
1113540062,129,91,1240.00,1603.00,1984,0.52,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão C,"R  JOSE LOPES RODRIGUES, 32"
1113540063,82,70,1240.00,1499.00,1984,0.20,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão A,"R  JOSE LOPES RODRIGUES, 26"
1113540064,76,70,1240.00,1499.00,1984,0.20,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão A,"R  JOSE LOPES RODRIGUES, 22"
1113540065,70,70,1240.00,1499.00,1984,0.20,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão A,"R  JOSE LOPES RODRIGUES, 20"
1113540066,72,67,1240.00,1499.00,1984,0.20,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão A,"R  JOSE LOPES RODRIGUES, 14"
1113540067,129,100,1240.00,1603.00,1984,0.52,Normal,0,1.0000,21759-0,Residência,Residencial horizontal - padrão C,"R  JOSE LOPES RODRIGUES, 10"
1113540068,2120,947,1263.00,1392.00,1999,0.74,Normal,0,1.0000,63635-5,Templo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão B,"R REV JOAO EUCLIDES PEREIRA, 449"
1113900012,244995,35682,1114.00,2078.00,1948,0.20,Lote encravado,0,1.0000,02429-5,Indústria,Indústria - padrão E,"R DR ASSIS RIBEIRO, "
1127050001,1110,1000,1574.00,1657.00,1970,0.28,De duas ou mais frentes,2,1.0000,00605-0,Templo,Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"PC PDE ALEIXO MONTEIRO MAFRA, 10"
1128490001,843705,123266,1028.00,2078.00,1951,0.20,De esquina,1,1.0000,10785-9,Indústria,Indústria - padrão E,"AV DR JOSE ARTUR NOVA, 951"
1140130001,1500,650,1033.00,2004.00,1998,0.73,De esquina,1,1.0000,04690-6,Loja,Comercial horizontal - padrão C,"R  CECILIA ITER, 310"
1140560001,10000,1665,562.00,1657.00,1944,0.20,De esquina,4,1.0000,17563-3,"Asilo, orfanato, creche, seminário ou convento",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R  SABBADO D'ANGELO, 657"
1140800005,3450,350,1837.00,1657.00,1959,0.20,De duas ou mais frentes,3,1.0000,09624-5,"Outras edificações de uso especial, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R  VICTORIO SANTIM, 44"
1140800015,4902,579,1837.00,1657.00,1959,0.20,De esquina,3,1.0000,13309-4,"Outras edificações de uso especial, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R  AMERICO SALVADOR NOVELLI, 541"
1161780001,19849,6567,1447.00,1996.00,1977,0.41,De esquina,1,1.0000,10503-1,"Asilo, orfanato, creche, seminário ou convento",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"AV  JOAO XXIII, 1071"
