sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
0330330015,333516.58,7392971.65,centroide_lote_cidadao,,ZM,ok_vigente_18177
0330350013,333768.95,7393105.42,centroide_lote_cidadao,,ZM,ok_vigente_18177
0330400006,334020.22,7393210.72,centroide_lote_cidadao,,ZC,ok_vigente_18177
0330410025,333989.99,7393100.67,centroide_lote_cidadao,,ZM,ok_vigente_18177
0340460085,334257.68,7393313.80,nominatim_v5,ZM-3b,,so_v3_ainda
0340680002,334183.21,7391631.24,centroide_lote_cidadao,,ZC,ok_vigente_18177
0350640004,335677.43,7391931.35,centroide_lote_cidadao,,ZM,ok_vigente_18177
0350640005,335689.93,7391926.22,centroide_lote_cidadao,,ZM,ok_vigente_18177
0360090001,331129.73,7390782.32,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0360450175,331553.50,7391380.51,centroide_lote_cidadao,,ZM,ok_vigente_18177
0370150129,332474.27,7391437.57,centroide_lote_cidadao,,ZEU,ok_vigente_18177
0370260018,332560.86,7390879.84,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370260019,332546.17,7390868.39,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370260020,332539.40,7390866.72,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370260021,332532.30,7390865.77,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370260022,332529.58,7390860.45,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370260032,332463.83,7390822.50,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340003,332643.38,7390839.81,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340004,332636.02,7390832.46,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340005,332626.90,7390829.29,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340006,332617.45,7390822.56,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340007,332609.09,7390818.47,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340008,332599.38,7390816.78,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340009,332590.81,7390811.59,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340011,332575.87,7390808.58,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340013,332564.41,7390801.56,centroide_lote_cidadao,,ZPR,ok_vigente_18177
0370340016,332539.03,7390791.51,centroide_lote_cidadao,,ZPR,ok_vigente_18177
