sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0260250070,ZEIS-3,"R  MARCOS ARRUDA, 164",45,,APROVADO,ponto a 45 m do centroide oficial do lote
0360020008,ZEU,"AV  PAULISTA, 393",45,,APROVADO,ponto a 45 m do centroide oficial do lote
0130360014,ZC,"R  TEODORO SAMPAIO, 972",44,,APROVADO,ponto a 44 m do centroide oficial do lote
0030340001,ZC,"R DA MOOCA, 93",42,,APROVADO,ponto a 42 m do centroide oficial do lote
0130360013,ZC,"R  TEODORO SAMPAIO, 972",42,,APROVADO,ponto a 42 m do centroide oficial do lote
0260250071,ZEIS-3,"R  MARCOS ARRUDA, 164",41,,APROVADO,ponto a 41 m do centroide oficial do lote
0260250072,ZEIS-3,"R  MARCOS ARRUDA, 164",41,,APROVADO,ponto a 41 m do centroide oficial do lote
0621290001,ZM,"AV  CELSO GARCIA, 4815",40,,APROVADO,ponto a 40 m do centroide oficial do lote
0130360012,ZC,"R  TEODORO SAMPAIO, 972",37,,APROVADO,ponto a 37 m do centroide oficial do lote
0030610002,ZM,"R DA MOOCA, 1415",35,,APROVADO,ponto a 35 m do centroide oficial do lote
0070430005,ZC,"AV  HIGIENOPOLIS, 436",35,,APROVADO,ponto a 35 m do centroide oficial do lote
0080020011,ZEM,"R  VITORINO CARMILO, 453",35,,APROVADO,ponto a 35 m do centroide oficial do lote
0080020012,ZEM,"R  VITORINO CARMILO, 453",34,,APROVADO,ponto a 34 m do centroide oficial do lote
0080020013,ZEM,"R  VITORINO CARMILO, 453",34,,APROVADO,ponto a 34 m do centroide oficial do lote
0080020014,ZEM,"R  VITORINO CARMILO, 453",34,,APROVADO,ponto a 34 m do centroide oficial do lote
0080020015,ZEM,"R  VITORINO CARMILO, 453",34,,APROVADO,ponto a 34 m do centroide oficial do lote
0080240001,ZEM,"AV  RIO BRANCO, 1289",34,,APROVADO,ponto a 34 m do centroide oficial do lote
