sql,nivel_preservacao,atos_tombamento,denominacao,endereco_secundario,endereco_oficial,subprefeitura,situacao,erro
"0010650007","TOMBADO","RES. 22/16 - TOMB. DO CONJUNTO IMOVEIS E LOGRADOUROS INTEGRANTES DA Z8-200 (ANEXO I - ITEM 217); RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (LISTADO COMO AREA DE INTERESSE ARQUEOLOGICO - VIDE ART 3º E COMO A.E - VIDE ART. 4º); A.E. DO SOB. RUA FLORENCIO DE ABREU (A.E. RES. SC 43/80 - SO CONDEPHAAT)","AREA DO CENTRO VELHO","VINTE E CINCO DE MARCO 858, 860, R. C/ ABDO SCHAHIN 219, 221, R. COMENDADOR","R VINTE E CINCO DE MARCO, 00858","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010410014","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA AREA DO ANHANGABAU","","FLORENCIO DE ABREU 470, 472, R.","R FLORENCIO DE ABREU, 00470","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010650005","TOMBADO","RES. 22/16 - TOMB. DO CONJUNTO IMOVEIS E LOGRADOUROS INTEGRANTES DA Z8-200 (ANEXO I - ITEM 217); RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (LISTADO COMO AREA DE INTERESSE ARQUEOLOGICO - VIDE ART 3º E COMO A.E - VIDE ART. 4º); A.E. DO SOB. RUA FLORENCIO DE ABREU (A.E. RES. SC 43/80 - SO CONDEPHAAT)","AREA DO CENTRO VELHO","VINTE E CINCO DE MARCO 205, 207, R. C/ ABDO SCHAHIN 846, R. COMENDADOR","R VINTE E CINCO DE MARCO, 00846","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010650008","TOMBADO","RES. 22/16 - TOMB. DO CONJUNTO IMOVEIS E LOGRADOUROS INTEGRANTES DA Z8-200; RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (LISTADO COMO AREA DE INTERESSE ARQUEOLOGICO - VIDE ART 3º E COMO A.E - VIDE ART. 4º); A.E. DO SOB. A RUA FLORENCIO DE ABREU (A.E. RES. 43/80 - SO CONDEPHAAT)","AREA DO CENTRO VELHO","VINTE E CINCO DE MARCO 864, 868, R. C/ ABDO SCHAHIN 229, 233, R. COMENDADOR","R VINTE E CINCO DE MARCO, 00864","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0010650004","TOMBADO","RES. 22/16 - TOMB. DO CONJUNTO IMOVEIS E LOGRADOUROS INTEGRANTES DA Z8-200 (ANEXO I - ITEM 217); RES. 17/07 - TOMB. DA AREA DO CENTRO VELHO (LISTADO COMO AREA DE INTERESSE ARQUEOLOGICO - VIDE ART 3º E COMO A.E - VIDE ART. 4º); A.E. DO SOB. RUA FLORENCIO DE ABREU (A.E. RES. SC 43/80 - SO CONDEPHAAT)","AREA DO CENTRO VELHO","VINTE E CINCO DE MARCO 836, R. C/ ABDO SCHAHIN 199, 203, R. COMENDADOR","R VINTE E CINCO DE MARCO, 00836","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050040080","TOMBADO","RES. 17/07 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO CENTRO VELHO; ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","ÁREA DO CENTRO VELHO","DIREITA 203, 207, 213, RUA C/ JOSÉ BONIFÁCIO 146, 148, 152, 154, 158, RUA","R DIREITA, 00203","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050030009","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO ANHANGABAÚ; ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DA IGREJA DE SANTO ANTÔNIO (RES. SC S/N/70), DA RESIDÊNCIA ELIAS PACHECO CHAVES (RES. SC 19/83) E DO EDIFÍCIO ALEXANDRE MACKENZIE (RES. SC 27/84); ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","","BENTO 67, RUA SÃO","R S BENTO, 00067","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050140030","TOMBADO","RES. 37/92 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO ANHANGABAÚ; ÁREA ENVOLTÓRIA, PELO CONPRESP E PELO CONDEPHAAT, DE BENS NO LARGO DE SÃO FRANCISCO (RES. 01/15 E RES. SC 22/15); ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DA IGREJA DE SANTO ANTÔNIO (RES. SC S/N/70) E DA RESIDÊNCIA ELIAS PACHECO CHAVES (RES. SC 19/83); ÁREA ENVOLTÓRIA, PELO IPHAN, DO CONJUNTO ARQUITETÔNICO DE SÃO FRANCISCO (PROC. IPHAN 0593-T-1959, SEI 01458.000278/2013-02)","ESCOLA DE COMÉRCIO ÁLVARES PENTEADO","FRANCISCO 19, LARGO SÃO C/ BENJAMIN CONSTANT S/N, RUA C/ FEIJÓ S/N, RUA SENADOR","LG S FRANCISCO, 00019","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0030060019","TOMBADO - PRESERVAÇÃO DE FACHADAS E VOLUMETRIA","RES. 17/07 - TOMBAMENTO, PELO CONPRESP, DA AREA DO CENTRO VELHO (EDIFICIOS, PRACAS, OBRAS DE ARTE E VIADUTOS); RES. 08/21 - REGULAMENTACAO, PELO CONPRESP, DA AREA ENVOLTORIA DA IGREJA DA BOA MORTE E DA IGREJA DO CARMO COM DIRETRIZES DE OCUPACAO DISCRIMINADAS NO ARTIGO 4º E ANEXO I (PUBLICACAO NO DOC DE 19/02/2022, PP. 19 E 20); RES. 11/02 - APT DA AREA DO CENTRO VELHO; A.E. DO QUARTEL DO 2º BATALHAO DE GUARDAS (TEO RES. 05/91); ; A.E. DA IGREJA DE NOSSA SENHORA DA BOA MORTE (A.E. RES. SC S/N/74 - CONDEPHAAT); A.E. DO QUARTEL DO 2º BATALHAO DE GUARDAS (A.E. RES. SC 33/81 - CONDEPHAAT); ETC","AREA DO CENTRO VELHO","CARMELITAS 150, R. DOS","R DOS CARMELITAS, 00150","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0060644368","TOMBADO","RES. 35/18 - TOMB. DO EDIFICIO LINNEU GOMES (ARTIGO 1º - ITEM 2); RES. 14/14 - CONSOLIDACAO-RETIFICACAO DOS TERMOS DA RES. 26/04; A.E. ED. CAETANO DE CAMPOS (A.E. RES. SC S/N/76 - SO CONDEPHAAT);","EDIFICIO COMANDANTE LINNEU GOMES - QUADRO 6","LUIS 84, 86, 94, AVENIDA SAO","AV S LUIS, 00084","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
