sql,nivel_preservacao,atos_tombamento,denominacao,endereco_secundario,endereco_oficial,subprefeitura,situacao,erro
"0200670033","TOMBADO","RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 11); RES. 11/11 - APT IMOVEIS NO BAIRRO DE PERDIZES","","CANDIDO ESPINHEIRA 445, 449, RUA DOUTOR","R DR CANDIDO ESPINHEIRA, 00445","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0200360016","TOMBADO","RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 4); RES. 23/16 - APT DOS IMOVEIS INDICADOS PELA POPULACAO COMO ZEPEC","","PARINTINS 120, R. C/ MARTA S/N, R.","R PARINTINS, 00120","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0210280059","TOMBADO","RES. 28/18 - TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ART. 1º - QUADRO I - ITEM 26); RES. 11/11 - ABERTURA DE PROCESSO DE TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ANEXO I - ITEM 21); RES. SC 25/96 - ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DO PARQUE DOUTOR FERNANDO COSTA OU PARQUE DA ÁGUA BRANCA, RESTAURADA POR LIMINAR JUDICIAL","CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES","GERMAINE BURCHARD 458, RUA DONA","R DONA GERMAINE BURCHARD, 00458","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190006","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 531); RES. 03/22 - AJUSTAMENTO E DETALHAMENTO DA RESOLUCAO 22/02 QUANTO AS DIRETRIZES RELATIVAS AOS MUROS E ENCOSTAS NA RUA ALMIRANTE MARQUES DE LEAO - INCLUI ALTERACOES NOS ARTIGOS 3º, 7º, 9º (PUBLICACAO NO DOC DE 25.06.2022, P. 22 e 23)","BAIRRO DA BELA VISTA","JOAQUIM EUGENIO DE LIMA 164, AL. C/ FRANCESES 518, R. DOS","AL JOAQUIM EUGENIO DE LIMA, 00164","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190033","TOMBADO - PRESERVAÇÃO TOTAL","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 528)","BAIRRO DA BELA VISTA","FRANCESES 324, R. DOS","R DOS FRANCESES, 00324","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090160031","SEM_DADO","","","","","","",""
"0090160032","SEM_DADO","","","","","","",""
"0090210039","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 610)","BAIRRO DA BELA VISTA","TREZE DE MAIO 734, R.","R TREZE DE MAIO, 00734","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090170056","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 448)","BAIRRO DA BELA VISTA","SILVIA 203 - CASA 4, R.","R SILVIA, 00203","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090210044","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 607)","BAIRRO DA BELA VISTA","TREZE DE MAIO 692, R.","R TREZE DE MAIO, 00692","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090200026","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 574)","BAIRRO DA BELA VISTA","INGLESES 150, R. DOS","R DOS INGLESES, 00150","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090220021","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 625)","BAIRRO DA BELA VISTA","TREZE DE MAIO 695, R.","R TREZE DE MAIO, 00695","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090210055","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 602)","BAIRRO DA BELA VISTA","TREZE DE MAIO 612, 614, 616, R.","R TREZE DE MAIO, 00612","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090420025","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 732)","BAIRRO DA BELA VISTA","LUIS ANTONIO 1278, AV. BRIGADEIRO","AV BRIG LUIS ANTONIO, 01278","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090220020","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 624)","BAIRRO DA BELA VISTA","TREZE DE MAIO 687, 689, 691, R.","R TREZE DE MAIO, 00687","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190067","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 495); RES. 03/22 - AJUSTAMENTO E DETALHAMENTO DA RESOLUCAO 22/02 QUANTO AS DIRETRIZES RELATIVAS AOS MUROS E ENCOSTAS NA RUA ALMIRANTE MARQUES DE LEAO - INCLUI ALTERACOES NOS ARTIGOS 3º, 7º, 9º (PUBLICACAO NO DOC DE 25.06.2022, P. 22 e 23)","BAIRRO DA BELA VISTA","MARQUES DE LEAO 723, R. ALMIRANTE","R ALM MARQUES DE LEAO, 00723","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030006","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890)","BAIRRO DA BELA VISTA","CARDIM 601 - CASA 1, R. MAESTRO","R MAEST CARDIM, 00601","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030007","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890)","BAIRRO DA BELA VISTA","CARDIM 601 - CASA 21, R. MAESTRO","R MAEST CARDIM, 00601","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030008","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890)","BAIRRO DA BELA VISTA","CARDIM 601 - CASA 3, R. MAESTRO","R MAEST CARDIM, 00601","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030010","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890)","BAIRRO DA BELA VISTA","CARDIM 601 - CASA S/N, R. MAESTRO","R MAEST CARDIM, 00601","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030012","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 891)","BAIRRO DA BELA VISTA","CARDIM 607, R. MAESTRO","R MAEST CARDIM, 00607","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030013","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 892)","BAIRRO DA BELA VISTA","CARDIM 609, 609-A, R. MAESTRO","R MAEST CARDIM, 00609","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380030009","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890)","BAIRRO DA BELA VISTA","CARDIM 601 - CASA 4, R. MAESTRO","R MAEST CARDIM, 00601","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0380020016","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 889)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 951, R.","R MARTINIANO DE CARVALHO, 00951","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0330080018","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 885); PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 325, R.","R MARTINIANO DE CARVALHO, 00325","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090080019","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 373); A.E.DO TEATRO OFICINA (TEO RES. 05/91); A.E. RES. SC 06/83; A.E. DO CASTELINHO DA BRIGADEIRO (A.E. RES. SC 12/84 - SO CONDEPHAAT); A.E DA CASA DE DONA YAYA (A.E. RES. SC 37/98; ETC.","BAIRRO DA BELA VISTA","DIOGO 580, 582, 588, R. MAJOR","R MAJ DIOGO, 00580","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090211482","SEM_DADO","","","","","","",""
"0090320447","TOMBADO - PRESERVAÇÃO TOTAL","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 653); A.E. DO CASTELINHO DA BRIGADEIRO LUIS ANTONIO (A.E. RES. SC 12/84 - SO CONDEPHAAT)","BAIRRO DA BELA VISTA / CONVENTO E IGREJA DO CARMO","MARTINIANO DE CARVALHO 114 A 170, R.","R MARTINIANO DE CARVALHO, 00114","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090990001","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 829)","BAIRRO DA BELA VISTA","CARRAO 640, RUA CONSELHEIRO C/ LOURENCO GRANATO S/N, RUA DOUTOR","R CONS CARRAO, 00640","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0330070003","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 8562); RES. SC 09/05 - TOMB., PELO CONDEPHAAT, DA VILA ITORORO; PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 247, 249, 253, R.","R MARTINIANO DE CARVALHO, 00247","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0330070004","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 855); RES. SC 09/05 - TOMB., PELO CONDEPHAAT, DA VILA ITORORO; PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 243, 245, R.","R MARTINIANO DE CARVALHO, 00243","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0330070005","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 854); RES. SC 09/05 - TOMB., PELO CONDEPHAAT, DA VILA ITORORO; PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 233, 233-BAIXOS, R.","R MARTINIANO DE CARVALHO, 00233","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090440018","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 744); A.E. RES. SC 09/05 (A.E. VILA ITORORO - SO CONDEPHAAT)","BAIRRO DA BELA VISTA","MARTINIANO DE CARVALHO 368, R.","R MARTINIANO DE CARVALHO, 00368","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090080023","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 375); A.E.DO TEATRO OFICINA (TEO RES. 05/91); A.E. RES. SC 06/83; A.E. DO CASTELINHO DA BRIGADEIRO (A.E. RES. SC 12/84 - SO CONDEPHAAT); A.E DA CASA DE DONA YAYA (A.E. RES. SC 37/98; ETC.","BAIRRO DA BELA VISTA","DIOGO 616, RUA MAJOR","R MAJ DIOGO, 00616","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090161113","TOMBADO - PRESERVAÇÃO DE FACHADAS E VOLUMETRIA","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (HALL, ESCADARIAS, CIRCULACAO, ESPACOS LIVRES) - (ANEXO I - ITEM 413)","FUNDACAO INSTITUTO DE FISICA TEORICA","PAMPLONA 145, R. C/ SILVIA S/N, R.","R PAMPLONA, 00145","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190024","TOMBADO - PRESERVAÇÃO TOTAL","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 530)","BAIRRO DA BELA VISTA","FRANCESES 518, R. DOS","R DOS FRANCESES, 00518","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090200025","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 575)","BAIRRO DA BELA VISTA","INGLESES 160, R. DOS","R DOS INGLESES, 00160","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090511589","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 747)","BAIRRO DA BELA VISTA","JOAQUIM EUGENIO DE LIMA 155, ALAMEDA","AL JOAQUIM EUGENIO DE LIMA, 00155","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090380079","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 658)","BAIRRO DA BELA VISTA","INGLESES 271, R. DOS","R DOS INGLESES, 00271","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190083","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 511)","BAIRRO DA BELA VISTA","MARQUES DE LEAO 815, R. ALMIRANTE","R ALM MARQUES DE LEAO, 00815","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0050350058","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA; A.E. DA IG. DE SAO GONCALO (A.E. RES. SC S/N/71 - SO CONDEPHAAT)","BAIRRO DA BELA VISTA","ASDRUBAL DO NASCIMENTO 450, 454, R.","R ASDRUBAL DO NASCIMENTO, 00450","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090410026","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 707)","BAIRRO DA BELA VISTA","LUIS ANTONIO 1424, 1426, 1430, 1432, AV. BRIGADEIRO","AV BRIG LUIS ANTONIO, 01424","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090410027","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 708)","BAIRRO DA BELA VISTA","LUIS ANTONIO 1434, 1438, 1440, 1444, AV. BRIGADEIRO","AV BRIG LUIS ANTONIO, 01434","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090180088","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 483)","BAIRRO DA BELA VISTA","SENG 52, R. DOUTOR","R DR SENG, 00052","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090180086","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 481)","BAIRRO DA BELA VISTA","SENG 42, R. DOUTOR","R DR SENG, 00042","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0080390048","TOMBADO","RES. 06/21 - TOMBAMENTO EX-OFFICIO, PELO CONPRESP, DA ESTAÇÃO JÚLIO PRESTES; RES. SC 27/99 - TOMBAMENTO, PELO CONDEPHAAT, DA ESTAÇÃO JÚLIO PRESTES; PROC. 1407-T-97, SEI 01458.000088/2016-20, TOMBAMENTO PELO IPHAN, DA ESTAÇÃO JÚLIO PRESTES; ÁREA ENVOLTÓRIA DO JARDIM DA LUZ (RES. 05/91 - PELO CONPRESP E RES. SC. 31/81 - PELO CONDEPHAAT); ÁREA ENVOLTÓRIA DA ESTAÇÃO DA LUZ (RES. 05/91 - PELO CONPRESP E RES. SC. 25/82 - PELO CONDEPHAAT); E ÁREA ENVOLTÓRIA DO EDIFÍCIO DO ANTIGO DOPS (RES. 05/21, PELO CONPRESP E RES. SC 28/99, PELO CONDEPHAAT","ESTAÇÃO JÚLIO PRESTES/ EDIFÍCIO DA ANTIGA ESTRADA DE FERRO SOROCABANA","JÚLIO PRESTES 148, 260, PRAÇA C/ MAUÁ 51, RUA","PC JULIO PRESTES, 00148","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0020470043","TOMBADO - PRESERVAÇÃO TOTAL","RES. 38/92 - TOMB. DO MOINHO MATARAZZO E FABRICA MARIANGELA","","ANDRADE 367, RUA MONSENHOR C/ FERNANDES SILVA 296, RUA","R FERNANDES SILVA, 00296","Subprefeitura da Mooca","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0030100055","TOMBADO","RES. 09/12 - TOMB. DO COMPLEXO INDUSTRIAL DO GASOMETRO DO BRAS; CONSTAVA DA RES. 19/91 REFERENTE A APT DOS BALOES DA COMGAS; RES. SC 20/10 - TOMB. COMPLEXO INDUSTRIAL DO ANTIGO GASOMETRO; A.E. 2o. BATALHAO DE GUARDAS (TEO RES. 05/91); A.E. RES. SC 33/81","COMPLEXO DO GASOMETRO / BALOES DA COMGAS","RANGEL PESTANA 842, 918, AV. C/ FAUSTINO LIMA 76, 86, 96, 104, R. CAPITAO C/ FIGUEIRA S/N, R. DA","R CAP FAUSTINO LIMA, 00134","Subprefeitura da Mooca","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0020400001","TOMBADO - PRESERVAÇÃO DE FACHADAS E VOLUMETRIA","RES. 38/92 - TOMB. DO MOINHO MATARAZZO E FABRICA MARIANGELA","","ANDRADE 640, RUA MONSENHOR C/ BUCOLISMO 77, RUA DO","R DO BUCOLISMO, 00077","Subprefeitura da Mooca","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0030450043","TOMBADO","RES. 22/17 - TOMB. DA ANT. FABRICA DE TECIDOS LABOR - COM ESTABELECIMENTO DE A.E.; RES. SC 101/14 - TOMB., PELO CONDEPHAAT, DA ANTIGA FABRICA DE TECIDOS LABOR - COM ESTABELECIMENTO DE A.E.","EDIFICIO INDUSTRIAL (ANTIGA FABRICA 5)/ ANTIGA FABRICA LABOR","MOOCA 775, 815, RUA DA C/ JAGUARA S/N, RUA BARAO C/ ALCANTARA MACHADO 720, AVENIDA","R DA MOOCA, 00775","Subprefeitura da Mooca","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0030450044","TOMBADO","RES. 22/17 - TOMB. DA ANT. FABRICA DE TECIDOS LABOR COM ESTABELECIMENTO DE A.E. C/ RESTRICAO DE GAB.; RES. SC 101/14 - TOMB., PELO CONDEPHAAT, DA ANTIGA FABRICA DE TECIDOS LABOR - COM ESTABElECIMENTO DE A.E.: GABARITO E RECUOS OBRIGATORIOS","","MOOCA 699, RUA DA","R DA MOOCA, 00699","Subprefeitura da Mooca","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"2000280018","TOMBADO","RES. 04/12- TOMBAMENTO DA RESIDENCIA BORIS FAUSTO; RES. 26/04 - APT DOS IMOVEIS PROPOSTOS COMO ZEPEC","RESIDENCIA BORIS FAUSTO - QUADRO 6","GASPAR MOREIRA 309, RUA C/ MOURA BRASIL S/N, RUA","R GASPAR MOREIRA, 00309","Subprefeitura de Butantã","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0100040062","TOMBADO","RES. 12/94 - TOMBAMENTO, PELO CONPRESP, DE ANTIGA RESIDÊNCIA À RUA MARANHÃO N° 341; RES. SC 45/03 - TOMBAMENTO, PELO CONDEPHAAT, DE ANTIGA RESIDÊNCIA À RUA MARANHÃO N° 341; RES. SC 19/15 - REGULAMENTAÇÃO DE ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DE ANTIGA RESIDÊNCIA À RUA MARANHÃO N° 341","ANTIGA RESIDÊNCIA À RUA MARANHÃO N° 341","MARANHÃO 341, RUA C/ ITACOLOMI, S/N, RUA","R MARANHAO, 00341","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0111440039","TOMBADO - PRESERVAÇÃO TOTAL","RES. 02/03 - TOMB. DO CONJ. ARQUITETONICO DO ANT. ASILO DOS EXPOSTOS (COMPLEXO SAMPAIO VIANA DA FEBEM); RES. SCTOMB.66/98 - TOMB., PELO CONDEPHAAT, DO CONJ. ARQUITETONICO; RES. 42/92 - TEO AMBIENTAL DOS BAIRROS PACAEMBU E PERDIZES; RES. SC 08/91 - TOMB.","COMPLEXO SAMPAIO VIANA DA FEBEM / ANT. ASILO DOS EXPOSTOS","ANGATUBA 756, R. C/ PAULO PASSALAQUA S/N, R. DESEMBARGADOR C/ PENAPOLIS S/N, R. C/ ITAETE S/N., R. C/ BAURU S/N, R.","R ANGATUBA, 00756","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0070460001","TOMBADO","RES. 15/17 - TOMB. DO COMP. HOSPITALAR DA SANTA CASA DE MISERICORDIA DE SAO PAULO; RES. SC 67/10 - TOMB. DA SANTA CASA DE MISERICORDIA; PROC. SCET 8.575/69 - APT DO MOBILIARIO DA SANTA SANTA CASA DE MISERICORDIA","COMPLEXO HOSPITALAR DA SANTA CASA DE MISERICORDIA DE SP","CESARIO MOTA JUNIOR 112, R. DOUTOR C/ ITU S/N, R. MARQUES DE C/ VERIDIANA S/N, R. C/ JAGUARIBE S/N, R.","R DR CESARIO MOTA JUNIOR, 00112","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0100140323","TOMBADO","RES. 12/15 - TOMBAMENTO, PELO CONPRESP, DO INSTITUTO SEDES SAPIENTIAE; RES. 12/02 - REGULAMENTAÇAO DE AREA ENVOLTÓRIA, PELO CONPRESP, DE PROTECAO DO IMOVEL A RUA MARQUÊS DE PARANAGUA, 124; RES. 23/04 - TOMBAMENTO, PELO CONPRESP, DA ÁREA DO ANTIGO COLÉGIO DES OISEAUX NA RUA MARQUÊS DE PARANAGUA 115 E RUA CAIO PRADO 232 (LISTADO COMO AREA ENVOLTORIA); RES. 68/10 - TOMBAMENTO, PELO CONDEPHAAT, DO INSTITUTO SEDES SAPIENTIAE","INSTITUTO SEDES SAPIENTIAE","PARANAGUA 111, R. MARQUES DE","R DE MARQ PARANAGUA, 00111","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0100030026","TOMBADO - PRESERVAÇÃO TOTAL","RES. 05/91 - TEO VILA PENTEADO / FAU MARANHAO; RES. SC S/N/78 - TOMB. DA VILA PENTEADO / FAU MARANHAO; RES. SC 55 - R.A.E. DO ED. DA VILA PENTEADO / FAU MARANHAO","VILA PENTEADO / FAU MARANHAO","MARANHAO 88, RUA","R MARANHAO, 00088","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0100500033","TOMBADO","RES. 06/24 - TOMBAMENTO, PELO CONPRESP, DA ANTIGA RESIDÊNCIA DE ANNA OSÓRIO E ALFREDO JOSÉ TEIXEIRA; RES. 23/16 - ABERTURA DE PROCESSO DE TOMBAMENTO, PELO CONPRESP, DE IMÓVEIS INDICADOS PELA POPULAÇÃO COMO ZEPEC","ANTIGA RESIDÊNCIA DE ANNA OSÓRIO E ALFREDO JOSÉ TEIXEIRA","BELA CINTRA 954, RUA","R BELA CINTRA, 00954","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0401990202","TOMBADO","RES. 06/07 - TOMB. CONJUNTO 12 INSTITUICOES REMANESCENTES DOS ANTIGOS INSTITUTOS ASSITENCIAIS E DE ENSINO; RES. 03/92 - APT INSTITUICOES ASSISTENCIAIS DO IPIRANGA","INSTITUTO CRISTOVAO COLOMBO / SEMINARIO JOAO XXIII","HUET BACELAR 643, R.","R HUET BACELAR, 00643","Subprefeitura do Ipiranga","Número do IPTU CANCELADO nos bancos de dados da PMSP.Informações corretas: Consulte o(s) IPTU(s) originário(s) do Desdobro ou Englobamento do IPTU pesquisado.",""
"0401990203","TOMBADO","RES. 06/07 - TOMB. CONJUNTO 12 INSTITUICOES REMANESCENTES DOS ANTIGOS INSTITUTOS ASSITENCIAIS E DE ENSINO; RES. 03/92 - APT INSTITUICOES ASSISTENCIAIS DO IPIRANGA","INSTITUTO CRISTOVAO COLOMBO / SEMINARIO JOAO XXIII","DURAO 661, R. FREI","R FREI DURAO, 00661","Subprefeitura do Ipiranga","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0401990204","TOMBADO","RES. 06/07 - TOMB. CONJUNTO 12 INSTITUICOES REMANESCENTES DOS ANTIGOS INSTITUTOS ASSITENCIAIS E DE ENSINO; RES. 03/92 - APT INSTITUICOES ASSISTENCIAIS DO IPIRANGA","INSTITUTO CRISTOVAO COLOMBO / SEMINARIO JOAO XXIII","CRUCAI 203, R.","R CRUCAI, 00203","Subprefeitura do Ipiranga","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
