tipo,numero,ano_provavel,ocorrencias,melhor_drive_id,n_chars_melhor,exemplo_nome,evidencia_conteudo
decreto,58028,2017,5,1jbGM0pRlP5LRRUmBW9VK9MvcDtnyav81,2821,DECRETO Nº 58.028 DE 11 DE DEZEMBRO DE 2017 « Catálogo de Legislação Municipal.p,OFICIAL(masthead): O Nº 58.028 DE 11 DE DEZEMBRO DE 2017 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,58094,2018,5,1h2wnBNOUg8qSA18ODb0S5XUMkegoQruh,2944,DECRETO Nº 58.094 DE 21 DE FEVEREIRO DE 2018 « Catálogo de Legislação Municipal.,OFICIAL(masthead): Nº 58.094 DE 21 DE FEVEREIRO DE 2018 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0;
decreto,58707,2019,5,1qd-n7dbX6LW16aFSwm0HXSt2ArHyRKTX,4358,DECRETO Nº 58.707 DE 8 DE ABRIL DE 2019 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): CRETO Nº 58.707 DE 8 DE ABRIL DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,59163,2019,5,1DoISNBZqgn9y7lAoT-0RBHYmGz1Snz2J,4023,DECRETO Nº 59.163 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal.p,OFICIAL(masthead): O Nº 59.163 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,59671,2020,5,1P6ePzXMuiUqbADByVsS_8ncJfZv4YX5C,3520,DECRETO Nº 59.671 DE 7 DE AGOSTO DE 2020 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): RETO Nº 59.671 DE 7 DE AGOSTO DE 2020 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,61137,2022,5,1EWC5D2n4qePIAkjeOIv-1yrtaCq1GPEo,3774,DECRETO Nº 61.137 DE 10 DE MARÇO DE 2022 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): RETO Nº 61.137 DE 10 DE MARÇO DE 2022 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,61218,2022,5,1ep-gZ0wMEbp1WlDTqgJr5UyklztvJo7V,2697,DECRETO Nº 61.218 DE 6 DE ABRIL DE 2022 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): CRETO Nº 61.218 DE 6 DE ABRIL DE 2022 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,62175,2023,5,1xiVk-Bdec_2GZtGruxVP8vW4SRZrCJ_R,2782,DECRETO Nº 62.175 DE 24 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal.,OFICIAL(masthead): Nº 62.175 DE 24 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0;
decreto,63437,2024,5,1zQd-w6B993VYn3DR_UYBkAsh57B1KP0h,2385,DECRETO Nº 63.437 DE 23 DE MAIO DE 2024 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): CRETO Nº 63.437 DE 23 DE MAIO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,64018,2025,5,1RxttP94l5bveafN3Vd1Pi9ILhj9Uvbex,2320,DECRETO Nº 64.018 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal.pd,OFICIAL(masthead): TO Nº 64.018 DE 30 DE JANEIRO DE 2025 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,15723,2013,5,1eOKwpsNRx01cIMvG4v_00j2Uwm5IkHXI,3608,LEI Nº 15.723 DE 24 DE ABRIL DE 2013 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): LEI Nº 15.723 DE 24 DE ABRIL DE 2013 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0;
lei,17217,2019,5,1ptRtMKioC9MlBIPyWDtM5Tjf-jd1y1nQ,2959,LEI Nº 17.217 DE 23 DE OUTUBRO DE 2019 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): EI Nº 17.217 DE 23 DE OUTUBRO DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,17734,2022,5,1R5M3IQTbE0MTE39d5ZcFx9JK9d-1kqV4,3190,LEI Nº 17.734 DE 11 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): EI Nº 17.734 DE 11 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,18209,2024,5,1wVR2Bz3p-qKbR_uIJJ7xoYZjU83qR3bk,2524,LEI Nº 18.209 DE 20 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): I Nº 18.209 DE 20 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,11774,,5,18TYSQ3jWf72cBb7KXH2CggtYkfV50Y9E,1045,OUAguaBranca31dez18_EstoqueGeralOutorga.pdf,"LLM(flash,alta): Controle oficial de estoque da Operação Urbana Água Branca, instituída pela Lei municipal 11.774/95."
decreto,57378,,4,1nlqIHAipLOYRb8pqiGWE9XlfJHH3fg4P,3706,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021.pdf,"LLM(flash,alta): Contém 'Fonte: SMUL | PMSP' e refere-se ao Anexo Único do Decreto Municipal 57.378/16."
decreto,52884,2011,3,1RoFTVn_Ql-19pAkcxwWrjjDhyOrRhF8e,2823,Anexo Único do Decreto 52.884_2011.pdf,"OFICIAL(norma articulada): xo Único a que se refere o artigo 1º do Decreto nº  52.884,   de  28  de  dezembro  de  2011 "
decreto,63698,2024,3,15V4yTjMCIhhy9YrSvQd-K8Kd7r9EaE9_,2509,DECRETO Nº 63.698 DE 27 DE AGOSTO DE 2024 « Catálogo de Legislação Municipal - C,OFICIAL(masthead): ETO Nº 63.698 DE 27 DE AGOSTO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,18298,2025,3,1F3GRc7Ed16WlfND-G1Ajif38upkXQHCw,2381,LEI Nº 18.298 DE 17 DE SETEMBRO DE 2025 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): I Nº 18.298 DE 17 DE SETEMBRO DE 2025 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,17719,,2,1L4IVHoiAO3cotgp7Ik5J-AjpObDyonel,2797,Anexo III da Lei nº 17.719_2021.pdf,"LLM(flash,alta): Contém o texto 'ANEXO III INTEGRANTE DA LEI Nº 17.719', indicando publicação legislativa municipal ofic"
lei,11154,1991,2,1XoWeFqkOB0-n5OMaYx_xkQCjOTuBzsUy,2296,LEI Nº 11.154 DE 30 DE DEZEMBRO DE 1991 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): I Nº 11.154 DE 30 DE DEZEMBRO DE 1991 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,14094,2005,2,1vjvZHE6hkqgCwNTBxQuZvfHz7KYQefSf,2819,LEI Nº 14.094 DE 6 DE DEZEMBRO DE 2005 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): EI Nº 14.094 DE 6 DE DEZEMBRO DE 2005 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,59263,2013,2,11PpRHVN8y0qEA4lCUG87coWpoZpjtIAB,4436,"decreto n.59.263, de 05.06.2013.pdf","OFICIAL(fonte gov): inhar cópia integral do procedimento ao Ministério Público, acompanhado de Informação Técnica conclu"
decreto,56954,2016,1,1kStSGMtKsCV2cO8NBo6ul1hB-Zejn4ZV,168,DECRETO Nº 56.954 de 28 de Abril de 2016.pdf,"LLM(flash,alta): Contém decreto municipal extraído do Catálogo de Legislação Municipal, caracterizando documento normati"
decreto,57770,2017,1,1EkAUMZDtLLg_MGpR4g_s8MnZerj4bUly,2612,DECRETO Nº 57.770 DE 3 DE JULHO DE 2017 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): CRETO Nº 57.770 DE 3 DE JULHO DE 2017 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,58592,2018,1,1e4S-qQme4VCW98IYdaknXXXWNsUsQJRk,171,DECRETO Nº 58.592 de 27 de Dezembro de 2018.pdf,"LLM(flash,alta): Contém 'Catálogo de Legislação Municipal' e 'DECRETO', indicando norma articulada de órgão público."
decreto,60939,2021,1,10bKo_aU3mnlPZSj0cLNCC62O1VN6-l-Z,4442,DECRETO Nº 60.939 DE 23 DE DEZEMBRO DE 2021 « Catálogo de Legislação Municipal.p,OFICIAL(masthead): O Nº 60.939 DE 23 DE DEZEMBRO DE 2021 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,63728,2024,1,1V_hyutPzD_jI2pePxH4DmuuVOe2QRozP,5675,DECRETO Nº 63.728 DE 10 DE SETEMBRO DE 2024 « Catálogo de Legislação Municipal.p,OFICIAL(masthead): O Nº 63.728 DE 10 DE SETEMBRO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,11308,1992,1,1aHz2itBCgjnTAtZWkiRBvsyFSjVd8KRb,166,LEI Nº 11.308 de 17 de Dezembro de 1992.pdf,"LLM(flash,alta): Texto cita 'LEI' e 'Catálogo de Legislação Municipal', caracterizando norma articulada de órgão público"
lei,11614,1994,1,1O0Lg5M9b29UHjdc6zaNliqF0Tob85uKJ,164,LEI Nº 11.614 de 13 de Julho de 1994.pdf,"LLM(flash,alta): Texto cita Lei Municipal e Catálogo de Legislação Municipal, caracterizando norma articulada oficial."
lei,13698,2003,1,1TnSeHiHKY1TfVEiyajaeP_wWPJ_7avDI,167,LEI Nº 13.698 de 24 de Dezembro de 2003.pdf,"LLM(flash,alta): Texto de lei municipal do Catálogo de Legislação Municipal, configurando norma articulada oficial."
lei,13776,2004,1,1J4iiIfJkLKH_7-XnUdcUWe3SCgggcR5R,168,LEI Nº 13.776 de 10 de Fevereiro de 2004.pdf,"LLM(flash,alta): Contém 'LEI Nº 13.776' e 'Catálogo de Legislação Municipal', indicando norma articulada de órgão públic"
lei,14089,2005,1,15ty6QJyfcyec941VC1PXaSCTB1YRcs4Z,167,LEI Nº 14.089 de 22 de Novembro de 2005.pdf,"LLM(flash,alta): Contém 'LEI Nº 14.089' e 'Catálogo de Legislação Municipal', caracterizando norma articulada de órgão p"
lei,17092,2019,1,1KbPT8BxPy32Jl-OqU4lSSOp3HxNS7N1o,163,LEI Nº 17.092 de 23 de Maio de 2019.pdf,"LLM(flash,alta): Texto de lei municipal do Catálogo de Legislação Municipal, caracterizando norma articulada oficial."
