uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,LEI,JURIDICO,OFICIAL,RAZÕES DO VETO AO PROJETO DE LEI Nº 272_2015; OFÍCIO DE 22 DE MARÇO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,14139,1OjzVUUiV-_2exCEV1pualiBiPFId8LQl
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.853 DE 29 DE NOVEMBRO DE 2022 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,5569,14Ab42FfP5Qv0QNXrrPMxjXkgZ2q3ykrz
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.999 DE 30 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,88210,1xnQrFzNiOffhTc_dsyDWg1HGnM_igQA9
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.521 DE 9 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,284774,1cr7N8-nI_QCaVWOR5kOLwSqOlzMs-Gzw
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.734 DE 11 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,01A_BRONZE_OFICIAL,372123,1pEoKbmA9lZuSQJwFiZ8vNA0e1zfLLAPl
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 59.163 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,17029,1B1JMkAWvYR_6yMd30uYGOU5GgTLWyUiC
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.975 DE 8 DE JULHO DE 2023 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,165106,19esel-ImJsFHVJC7HXKkL-M-MS_vycf2
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 16.402.md,01A_BRONZE_OFICIAL,203470,1nmikPteuqXFt_aJX4CFBOylQ5PHvrSvl
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.423 DE 21 DE MAIO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,13306,1lPRxlroj0anA6gBLCCmuJFjRFqywoiyY
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 16.050 DE 31 DE JULHO DE 2014 « Catálogo de Legislação Municipal (1).pdf,01A_BRONZE_OFICIAL,2656698,1HbjNzkr-3MvXSS2Tfzxf9k_CMiiCtGwg
