1tPU7B04DQECZPhBFMUcMnag4AST0P-Cj,,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,application/pdf,pdf,446996,2026-03-08T22:53:11.763Z,2026-03-08T07:18:54Z,GEO,PDF,OFICIAL,NAO,
1LpG4ItGnvs4ffqUOMhCXdqQn4LdnLTUq,,dicionario_geosampa_apas.ods,application/vnd.oasis.opendocument.spreadsheet,ods,5255,2026-03-08T22:56:58.986Z,2026-03-08T04:29:46Z,GEO,PLANILHA,OFICIAL,NAO,
1S3bg72iC_g0AlvH31ID7ROXnm15pe7fe,,geoportal_area_contaminada_reabilitada_svma.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,78472,2026-03-08T22:55:12.118Z,2026-03-08T04:32:00Z,OUTRO,PLANILHA,DESCONHECIDO,NAO,
1zSYbTxz3YtxfEqZ_9_KdBkwgBhMK7kM4,,ddf-12.25.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,71514,2026-03-08T22:54:41.320Z,2026-03-08T04:36:07Z,OUTRO,PLANILHA,DESCONHECIDO,NAO,
1p-AcAE-ArMbGDenYXrIvQiNMHdINQbRd,,ddf-01.26.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,50677,2026-03-08T22:53:36.705Z,2026-03-08T04:35:54Z,OUTRO,PLANILHA,DESCONHECIDO,NAO,
1eZPORObEaopViCbrJe3SxRnPrGm95IIN,,layer_geosampa_apas.gpkg,application/octet-stream,gpkg,270336,2026-03-08T22:53:23.364Z,2026-03-08T04:30:25Z,GEO,OUTRO,OFICIAL,NAO,
1M17DfCPOiYj5b8xhYxjk3s8KyVRT9jfI,,dic_area_potencial_e_suspeita_de_contaminacao-arquivo.csv,text/csv,csv,352,2026-03-08T22:54:07.419Z,2026-03-08T04:16:53Z,TDC,TABELA_DADO,DESCONHECIDO,NAO,
1Cb9EYgnzp3PA6qbp0uCL2az-Vr-WV0Rr,,dic_area_potencial_e_suspeita_de_contaminacao.ods,application/vnd.oasis.opendocument.spreadsheet,ods,5243,2026-03-08T22:54:07.515Z,2026-03-08T04:16:47Z,TDC,PLANILHA,DESCONHECIDO,NAO,
1Sw84lUwQsJVKYocha_GvvFYMI-H4vbXN,,dicionario_geosampa_apas_variaveis.csv,text/csv,csv,1549,2026-03-08T22:53:13.792Z,2026-03-08T04:30:03Z,GEO,TABELA_DADO,OFICIAL,NAO,
1qsdxCIcWgJjMpiFoMcLlDPiZKSqRt-LU,,metadados_area_potencial_e_suspeita_de_contaminacao.ods,application/vnd.oasis.opendocument.spreadsheet,ods,6197,2026-03-08T22:54:03.774Z,2026-03-08T04:17:19Z,TDC,PLANILHA,DESCONHECIDO,NAO,
1UrHzNOhh2ygsNx5UsEGMButyoBcHOa1D,,metadados_area_potencial_e_suspeita_de_contaminacao.xls,application/vnd.ms-excel,xls,41472,2026-03-08T22:54:03.071Z,2026-03-08T04:17:12Z,TDC,PLANILHA,DESCONHECIDO,NAO,
1qJMn-E3i396nlqcBQcM6hSMA4hTNWOt-,,area_potencial_e_suspeita_de_contaminacao.csv,text/csv,csv,956264,2026-03-08T22:53:47.648Z,2026-03-08T04:17:41Z,TDC,TABELA_DADO,DESCONHECIDO,NAO,
1MYeoYNRZICvgkC9vWrFwgxhae5rv3K_i,,area_potencial_e_suspeita_de_contaminacao.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,699694,2026-03-08T22:53:43.940Z,2026-03-08T04:17:57Z,TDC,PLANILHA,DESCONHECIDO,NAO,
1Id5BA39E22nvd3H3S13jjqeqRtQ-xFqv,,dic_area_potencial_e_suspeita_de_contaminacao.xls,application/vnd.ms-excel,xls,47104,2026-03-08T22:53:40.592Z,2026-03-08T04:16:35Z,TDC,PLANILHA,DESCONHECIDO,NAO,
1--eA7g5ofGVaO1eLz4AyUx7t_tZDZ-Cr,,MOTOR_3_CATALOGO_ESPACIAL.md,text/markdown,md,24934,2026-03-08T22:53:23.349Z,2026-03-08T03:28:37Z,GOVERNANCA,OUTRO,DESCONHECIDO,NAO,
1sQTb6pkSqvvdbJgyhpqlcacMuiAnrR8U,,Lcp 227.pdf,application/pdf,pdf,976839,2026-03-08T22:53:18.191Z,2026-03-08T03:12:36Z,OUTRO,PDF,DESCONHECIDO,NAO,
1JtyH5DXk0gILzqen40uyObGVrCuYAekR,,L6938.pdf,application/pdf,pdf,952736,2026-03-08T22:55:17.129Z,2026-03-08T02:28:58Z,OUTRO,PDF,DESCONHECIDO,NAO,
1RfniFxQNcW8PyWGaafV4fvrc8qgEUNeH,,13-25 - Complemento ao Arquivamento Parcial da Mancha D da Res. 11-23 - Página.md,text/markdown,md,5215,2026-03-08T22:55:29.606Z,2026-03-07T23:33:12Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1uqgPlOUknV9OqpNbrZCEHlH2qVdP5mMN,,05-25 - Arquivamento dos IDs 02 a 04 e IDs 07 e 08 da Res. 11-23 - Página.md,text/markdown,md,5004,2026-03-08T22:55:21.040Z,2026-03-07T23:33:10Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
