drive_id,nome,classe,ext,destino
1QWND-iWSvdFRzj6hyyNHRM9kIZ0EsLrA,7-QUADRO_3B_FINAL_95240e.doc,CRIADO,doc,90 — Material bruto (só ideias)
1m0oWkDomThhgwHiW77fh9FN34U6XQBdh,8-QUADRO_3C_FINAL.doc,CRIADO,doc,90 — Material bruto (só ideias)
1RXqM4Tbe7aKLsUtO6VcaB8vWh-V27Vrk,9-QUADRO_4_FINAL (1).doc,CRIADO,doc,90 — Material bruto (só ideias)
1C-1BXZM1n4xxPoZfbSG8LEq6Bv6hUsEr,9-QUADRO_4_FINAL.doc,CRIADO,doc,90 — Material bruto (só ideias)
1kaPmQ8w5FlPdv1ALAEflSl1DTIh1taWi,9-QUADRO_4_FINAL_d9499c.doc,CRIADO,doc,90 — Material bruto (só ideias)
1uhiyOH1DpkUl3M1ZV2hFZ496SKIr7V-3,ARQUIP _ DOSP - 105163385 - Decreto_Pagina_4_Tabela_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1ZDV2TddCG3c1sEZEXoWF3rAOHowfyWuK,Anexo I do Decreto 58_289_2018 (1)_PART_001.md,CRIADO,md,90 — Material bruto (só ideias)
1r2k_ePAZys0dgNt_9x8toXxmzhxyrgws,Anexo I do Decreto 58_289_2018 (1)_PART_004.md,CRIADO,md,90 — Material bruto (só ideias)
1kIS8oCyk2HUjcQYW7Wz1B8SvEPNBfxRM,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_100_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1gAwJdLELwhM0SatzbdFWUNuweIdv7YM7,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_101_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1zUgbqKfkx2xYLJpQxkHRYFcj6jS5tdnk,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_102_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1L9-MGtRPas6glSEcHokc4vWGV_RAxtDK,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_103_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1b3VJiIx2lpNqLITUtQvbX0tdLMWs9zyU,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_104_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
15oF_3H4UaQe41HHqjGYy-XgRdaL-47jb,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_105_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1Xx_kM2_SbewUK6pcQE3pZsHYrXHW79dr,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_106_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
1CTmWMC_ufeUMTO5DfxjwqLWhNhWfJNhf,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_107_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
15VLQTQUIHS9dKKAo2CWpVMynJ7XL5afE,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021_Pag_108_Tab_1.csv,CRIADO,csv,90 — Material bruto (só ideias)
