sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar,achou_geosampa,area_m2_geosampa,classe_final
0010510000,,sim,sim,nao,RECUPERAVEL,sim,1210.00,RECUPERAVEL_COM_AREA
0010400000,,sim,sim,nao,RECUPERAVEL,sim,1024.00,RECUPERAVEL_COM_AREA
0050280000,,sim,sim,nao,RECUPERAVEL,sim,170.00,RECUPERAVEL_COM_AREA
0010790000,,sim,sim,nao,RECUPERAVEL,sim,1251.00,RECUPERAVEL_COM_AREA
0010490000,,sim,sim,nao,RECUPERAVEL,sim,1867.00,RECUPERAVEL_COM_AREA
0010770000,,sim,sim,nao,RECUPERAVEL,sim,1210.00,RECUPERAVEL_COM_AREA
0050050000,,sim,sim,nao,RECUPERAVEL,sim,331.00,RECUPERAVEL_COM_AREA
0010710000,,sim,sim,nao,RECUPERAVEL,sim,636.00,RECUPERAVEL_COM_AREA
0010780000,,sim,sim,nao,RECUPERAVEL,sim,1275.00,RECUPERAVEL_COM_AREA
0050820000,,sim,sim,nao,RECUPERAVEL,sim,263.00,RECUPERAVEL_COM_AREA
0030000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0010670000,,sim,sim,nao,RECUPERAVEL,sim,886.00,RECUPERAVEL_COM_AREA
2229880000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
2209990000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0690000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
1310000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0641920000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0380920000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0370400000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421740000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421750000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421710000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421760000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421700000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421670000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421720001,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0421690000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0421680000,,sim,sim,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
0380690000,,sim,nao,nao,RECUPERAVEL,inconclusivo,,INCONCLUSIVO_REPASSAR
