sql_mestre,setor,quadra,lote,nome_bem,endereco_mestre,distrito,proprietario,fonte_dono,tipo_zepec,esfera,estado_venda,certeza,negociavel,motivo_negociavel,sinais_revisar,m2_ja_transferido,n_transferencias,valor_pecuniario_rs,status_fundurb,intercorrencia_fundurb,base_periodo_fundurb_rs,tem_declaracao,tem_certidao,esgotado,data_ref,origens,obs,area_terreno_m2,area_construida_m2,v_venal_m2_iptu,v_outorga_m2_q14,zona,ca_basico,pcpt_m2,preco_proxy_brl,uso_iptu,cobertura_oficial,memoria_calculo,pendencia_calculo
0060480042,006,048,0042,Bairro da Bela Vista,"Rua Abolição, 292",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,150,240,6031.00,3779.30,ZC,1,150.00,566895.00,Loja e residência (predominância comercial),IPTU2026+Q14+Zona,PCpt = Atc(150) × CAbas(1) × Fi(1) = 150.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060470114,006,047,0114,Bairro da Bela Vista,"Rua Conselheiro Ramalho, 169, 173",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,214,200,5932.00,3654.73,ZEPEC_APC,,,,Residência e outro uso (predominância residencial),IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0060160000,006,016,0000,Área do Anhangabaú / Edifício Glória,"Rua Barão de Itapetininga, 26, 209, 219",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,,,,,ZEIS-3,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0060480043,006,048,0043,Bairro da Bela Vista,"Rua Abolição, 290",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,150,240,6031.00,3779.30,ZC,1,150.00,566895.00,"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",IPTU2026+Q14+Zona,PCpt = Atc(150) × CAbas(1) × Fi(1) = 150.00 m²,OK (Atc+CAbás+V) — cálculo completo
0010580001,001,058,0001,Área do Anhangabaú / Edifício dos Correios e Telégrafos / Projeto Domiziano Rossi / Felisberto Ranzini/escritório Ramos de Azevedo/1922,"Rua Abelardo Pinto, 250, 31",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,4700,18846,8318.00,7399.95,ZC,1,4700.00,34779765.00,"Outras edificações de uso comercial, com utilização múltipla",IPTU2026+Q14+Zona,PCpt = Atc(4700) × CAbas(1) × Fi(1) = 4700.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060230000,006,023,0000,Área do Anhangabaú / Edifício Vicentina,"Rua Sete de Abril, 167, 177, 25, 65",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,,,,,ZC,1,,,,Zona,,Atc: SQL sem cadastro no IPTU
0070860016,007,086,0016,"Edifícios Bratke, Gibraltar e Major / Arquiteto Oswaldo Arthur Bratke 1950","Rua Major Sertório, 92, 96",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,2013-06-07,TOMBADO_CADASTRO,,151,872,8349.00,6114.33,ZEIS-5,1,151.00,923263.83,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(151) × CAbas(1) × Fi(1) = 151.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060250000,006,025,0000,Área do Anhangabaú,"Rua Coronel Xavier de Toledo, 88, 90, 98",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,,,,,ZEPEC_APC,,,,,Zona,,Atc: SQL sem cadastro no IPTU | CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
0070860015,007,086,0015,"Edifícios Bratke, Gibraltar e Major / Arquiteto Oswaldo Arthur Bratke 1950","Rua Major Sertório, 106, 110",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,2013-06-07,TOMBADO_CADASTRO,,136,1179,8349.00,6114.33,ZEIS-5,1,136.00,831548.88,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,PCpt = Atc(136) × CAbas(1) × Fi(1) = 136.00 m²,OK (Atc+CAbás+V) — cálculo completo
0070520000,007,052,0000,Edifício Arlinda / Projeto Franz Heep - 1959 / Condomínio 02 / Quadro 6,"Largo do Arouche, 76, 96",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,2019-05-30,TOMBADO_CADASTRO,,,,,,ZEPEC_APP,,,,,Zona,,Atc: SQL sem cadastro no IPTU | CAbás: zona ZEPEC_APP sem CA no Quadro 3 (overlay — resolver zona-base)
0060100048,006,010,0048,Área do Anhangabaú / Edifício Cineasta,"Avenida São João, 605, 609, 613, 617",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,600,3660,10950.00,8490.49,ZC,1,600.00,5094294.00,"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",IPTU2026+Q14+Zona,PCpt = Atc(600) × CAbas(1) × Fi(1) = 600.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060530059,006,053,0059,Bairro da Bela Vista,"Rua Genebra, 132",República,,,tombado,municipal,SO_ELEGIVEL,media,verificar,,nome de area/bairro,,,,,,,nao,nao,nao,2002-12-14,TOMBADO_CADASTRO,,178,180,8793.00,3787.52,ZC,1,178.00,674178.56,Residência,IPTU2026+Q14+Zona,PCpt = Atc(178) × CAbas(1) × Fi(1) = 178.00 m²,OK (Atc+CAbás+V) — cálculo completo
0060150001,006,015,0001,Área do Anhangabaú / Edifício Jaraguá,"Rua Barão de Itapetininga, 87, 93, 99",República,,,tombado,municipal,SO_ELEGIVEL,media,sim,"lote identificavel, sem sinal contrario",,,,,,,,nao,nao,nao,1992-12-09,TOMBADO_CADASTRO,,824,6240,10078.00,7852.38,ZEPEC_APC,,,,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",IPTU2026+Q14+Zona,,CAbás: zona ZEPEC_APC sem CA no Quadro 3 (overlay — resolver zona-base)
