sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar
0360780000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
3000090033,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
3000750001,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0280370000,,sim,sim,nao,RECUPERAVEL
0311080000,,sim,sim,nao,RECUPERAVEL
0310620000,,sim,nao,nao,RECUPERAVEL
0311020000,,sim,sim,nao,RECUPERAVEL
2820060000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2769920000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2829990000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2779780000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2879980000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2919980000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2749980000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2879920000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0170660035,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0170000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0611430000,,sim,sim,nao,RECUPERAVEL
0610520001,,sim,sim,nao,RECUPERAVEL
0610000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0210440042,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0210530000,,sim,sim,nao,RECUPERAVEL
0210820000,,sim,nao,nao,RECUPERAVEL
2110000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
1870000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
1870070001,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2059990000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0150340000,,sim,nao,nao,RECUPERAVEL
0150190000,,sim,sim,nao,RECUPERAVEL
0150330000,,sim,sim,nao,RECUPERAVEL
0150270000,,sim,sim,nao,RECUPERAVEL
0150280000,,sim,sim,nao,RECUPERAVEL
0150200000,,sim,nao,nao,RECUPERAVEL
0150180000,,sim,sim,nao,RECUPERAVEL
0150320000,,sim,sim,nao,RECUPERAVEL
0150210000,,sim,sim,nao,RECUPERAVEL
0150420000,,sim,sim,nao,RECUPERAVEL
0150150000,,sim,sim,nao,RECUPERAVEL
0150120000,,sim,sim,nao,RECUPERAVEL
0782490000,,sim,sim,nao,RECUPERAVEL
0780050000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2010000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050160000,,sim,sim,nao,RECUPERAVEL
0060240000,,sim,sim,nao,RECUPERAVEL
0060100000,,sim,sim,nao,RECUPERAVEL
0010570000,,sim,sim,nao,RECUPERAVEL
0060390000,,sim,sim,nao,RECUPERAVEL
0060150000,,sim,sim,nao,RECUPERAVEL
0010530000,,sim,sim,nao,RECUPERAVEL
0060380000,,sim,sim,nao,RECUPERAVEL
0070000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900028,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900027,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0070620000,,sim,sim,nao,RECUPERAVEL
0080900029,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080930000,,sim,sim,nao,RECUPERAVEL
0080900032,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900008,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900041,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900017,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900043,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900031,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010440000,,sim,sim,nao,RECUPERAVEL
0080810000,,sim,sim,nao,RECUPERAVEL
0010530026,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080650000,,sim,sim,nao,RECUPERAVEL
0080880000,,sim,sim,nao,RECUPERAVEL
0080930059,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900007,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010190037,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010530036,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080940000,,sim,sim,nao,RECUPERAVEL
0010360000,,sim,sim,nao,RECUPERAVEL
0010270000,,sim,sim,nao,RECUPERAVEL
0010440050,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080730000,,sim,sim,nao,RECUPERAVEL
0080900011,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080890000,,sim,sim,nao,RECUPERAVEL
0010460000,,sim,sim,nao,RECUPERAVEL
0080730124,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900006,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010440051,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080590000,,sim,sim,nao,RECUPERAVEL
0080940122,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080900030,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080830000,,sim,sim,nao,RECUPERAVEL
0010530025,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0070700000,,sim,sim,nao,RECUPERAVEL
0050350000,,sim,sim,nao,RECUPERAVEL
