sql,endereco,distrito,zona,tipo_zepec,esfera,nome_bem,area_terreno_m2,pcpt_m2,saldo_vendavel_m2,parcelas_anuais,valor_ref_art128_brl,valor_bruto_brl,valor_teto_art128_brl,base_vencedora_art128,estado_venda,ja_transferido_m2,n_transferencias,data_declaracao,data_certidao,data_referencia,renovacao_70pct_10anos_art129,renovacao_100pct_15anos_art129,conservacao_art129,negociavel,indicio_processo,proprietario,fonte
0200670033,"Rua Dr Cândido Espinheira, 449",Barra Funda,ZM,BIR/tombado,municipal,"Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 445, 449",378,453.60,453.60,,1201064.76,4804259.04,,,INTACTO,,,2019-06-12,,2019-06-12,2029-06-12,2034-06-12,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0200360016,"Rua Parintins, 120",Barra Funda,ZM,BIR/tombado,municipal,Bairro de Perdizes / Edificação Na Rua Parintins,161,193.20,193.20,,191874.65,767498.59,,,INTACTO,,,2023-10-09,,2023-10-09,2033-10-09,2038-10-09,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0210280059,"Rua Dona Germanie Burchard, 458",Barra Funda,ZEU,BIR/tombado,municipal,Bairro de Perdizes / Edificação Na Rua Dona Germaine Burchard 458,335,402.00,402.00,,461014.61,1844058.42,,,INTACTO,,,2023-06-13,,2023-06-13,2033-06-13,2038-06-13,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090190006,"Alameda Joaquim Eugênio de Lima, 164",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,1336,1336.00,1336.00,,2854758.12,11419032.48,,,INTACTO,,,2014-07-29,,2014-07-29,2024-07-29,2029-07-29,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090190033,"Rua dos Franceses, 324",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,1270,1270.00,1270.00,,2713729.65,10854918.60,,,INTACTO,,,2016-04-20,,2016-04-20,2026-04-20,2031-04-20,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090160031,"Alameda Rio Claro, 191",Bela Vista,,BIR,,,,,,,,,,,INTACTO,,,2025-01-17,,2025-01-17,2035-01-17,2040-01-17,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090160032,"Alameda Rio Claro, 191",Bela Vista,,BIR,,,,,,,,,,,INTACTO,,,2025-01-17,,2025-01-17,2035-01-17,2040-01-17,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090210039,"Rua Treze de Maio, 734",Bela Vista,ZM,BIR/tombado,municipal,Bairro da Bela Vista,218,261.60,261.60,,465408.64,1861634.54,,,INTACTO,,,2017-01-13,,2017-01-13,2027-01-13,2032-01-13,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090170056,"Rua Silvia, 203, 4",Bela Vista,ZM,BIR/tombado,municipal,Bairro da Bela Vista,60,72.00,72.00,,96354.18,385416.72,,,INTACTO,,,2018-07-28,,2018-07-28,2028-07-28,2033-07-28,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090210044,"Rua Treze de Maio, 692",Bela Vista,ZM,BIR/tombado,municipal,Bairro da Bela Vista,210,252.00,252.00,,448329.42,1793317.68,,,INTACTO,,,2019-09-11,,2019-09-11,2029-09-11,2034-09-11,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090200026,"Rua dos Ingleses, 150",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,334,400.80,400.80,,875862.23,3503448.91,,,INTACTO,,,2019-09-28,,2019-09-28,2029-09-28,2034-09-28,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090220021,"Rua Treze de Maio, 695",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,283,339.60,339.60,,381968.50,1527873.98,,,INTACTO,,,2019-09-10,,2019-09-10,2029-09-10,2034-09-10,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090210055,"Rua Treze de Maio, 612, 614, 616",Bela Vista,ZM,BIR/tombado,municipal,Bairro da Bela Vista,508,508.00,508.00,,903775.18,3615100.72,,,INTACTO,,,2020-01-09,,2020-01-09,2030-01-09,2035-01-09,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090420025,"Avenida Brigadeiro Luís Antônio, 1278",Bela Vista,ZEIS-5,BIR/tombado,municipal,Bairro da Bela Vista,477,572.40,572.40,,981940.75,3927763.01,,,INTACTO,,,2019-12-14,,2019-12-14,2029-12-14,2034-12-14,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090220020,"Rua Treze de Maio, 681, 689, 691",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,366,439.20,439.20,,493994.59,1975978.37,,,INTACTO,,,2020-01-18,,2020-01-18,2030-01-18,2035-01-18,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090190067,"Rua Almirante Marques de Leão, 723",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,116,139.20,139.20,,297441.87,1189767.46,,,INTACTO,,,2020-02-01,,2020-02-01,2030-02-01,2035-02-01,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030006,"Rua Maestro Cardim, 601, 01, 01A",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,69,82.80,82.80,,190171.32,760685.26,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030007,"Rua Maestro Cardim, 601, 02, 02A",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,69,82.80,82.80,,190171.32,760685.26,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030008,"Rua Maestro Cardim, 601, 03, 03A",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,69,82.80,82.80,,190171.32,760685.26,,,INTACTO,,,2020-07-29,,2020-07-29,2030-07-29,2035-07-29,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030010,"Rua Maestro Cardim, 601, 05",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,57,68.40,68.40,,157098.04,628392.17,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030012,"Rua Maestro Cardim, 607",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,220,264.00,264.00,,606343.32,2425373.28,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030013,"Rua Maestro Cardim, 609",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,270,324.00,324.00,,744148.62,2976594.48,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380030009,"Rua Maestro Cardim, 601, 04, 04A",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,73,87.60,87.60,,201195.74,804782.95,,,INTACTO,,,2020-03-31,,2020-03-31,2030-03-31,2035-03-31,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0380020016,"Rua Martiniano de Carvalho, 951",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,800,1600.00,1600.00,,3491420.00,13965680.00,,,INTACTO,,,2020-04-01,,2020-04-01,2030-04-01,2035-04-01,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330080018,"Rua Martiniano de Carvalho, 325",Bela Vista,ZEU,BIR/tombado,municipal+estadual,Bairro da Bela Vista,182,218.40,218.40,,330441.93,1321767.72,,,INTACTO,,,2023-11-28,,2023-11-28,2033-11-28,2038-11-28,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090080019,"Rua Major Diogo, 580, 582, 588",Bela Vista,ZEIS-3,BIR/tombado,municipal,Bairro da Bela Vista,380,456.00,456.00,,492932.58,1971730.32,,,INTACTO,,,2020-08-15,,2020-08-15,2030-08-15,2035-08-15,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090211482,"Rua Treze de Maio, 724",Bela Vista,,BIR,,,,,,,,,,,INTACTO,,,2024-01-17,,2024-01-17,2034-01-17,2039-01-17,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090320447,"Rua Martiniano de Carvalho, 60, 114, 156, 170",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,5401,3780.70,3780.70,,7690482.55,30761930.20,,,INTACTO,,,2024-02-01,,2024-02-01,2034-02-01,2039-02-01,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090990001,"Rua Conselheiro Carrão, 640",Bela Vista,ZEIS-3,BIR/tombado,municipal,Bairro da Bela Vista,266,319.20,319.20,,370884.07,1483536.26,,,INTACTO,,,2023-10-30,,2023-10-30,2033-10-30,2038-10-30,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330070003,"Rua Martiniano de Carvalho, 247, 249, 253",Bela Vista,ZEU,BIR/tombado,municipal+estadual,Bairro da Bela Vista,228,273.60,273.60,,367868.88,1471475.52,,,INTACTO,,,2022-03-10,,2022-03-10,2032-03-10,2037-03-10,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330070004,"Rua Martiniano de Carvalho, 243, 245",Bela Vista,ZEU,BIR/tombado,municipal+estadual,Bairro da Bela Vista,219,262.80,262.80,,353347.74,1413390.96,,,INTACTO,,,2022-03-10,,2022-03-10,2032-03-10,2037-03-10,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330070005,"Rua Martiniano de Carvalho, 233",Bela Vista,ZEU,BIR/tombado,municipal+estadual,Bairro da Bela Vista,222,266.40,266.40,,358188.12,1432752.48,,,INTACTO,,,2022-03-10,,2022-03-10,2032-03-10,2037-03-10,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090440018,"Rua Martiniano de Carvalho, 368",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,65,78.00,78.00,,168069.92,672279.66,,,INTACTO,,,2023-05-09,,2023-05-09,2033-05-09,2038-05-09,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090080023,"Rua Major Diogo, 616",Bela Vista,ZEIS-3,BIR/tombado,municipal,Bairro da Bela Vista,237,284.40,284.40,,307434.27,1229737.07,,,INTACTO,,,2023-11-01,,2023-11-01,2033-11-01,2038-11-01,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090161113,"Rua Pamplona, 145",Bela Vista,,BIR,,,6582,,,,,,,,INTACTO,,,2024-04-29,,2024-04-29,2034-04-29,2039-04-29,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090190024,"Rua dos Franceses, 518",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,1024,1024.00,1024.00,,2188078.08,8752312.32,,,INTACTO,,,2023-10-06,,2023-10-06,2033-10-06,2038-10-06,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090200025,"Rua dos Ingleses, 160",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,348,417.60,417.60,,912575.02,3650300.06,,,INTACTO,,,2023-10-30,,2023-10-30,2033-10-30,2038-10-30,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090511589,"Alameda Joaquim Eugenio de Lima, 155",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,993,993.00,993.00,,2402623.08,9610492.32,,,INTACTO,,,2024-05-14,,2024-05-14,2034-05-14,2039-05-14,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090380079,"Rua dos Ingleses, 267",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,277,332.40,332.40,,561119.46,2244477.82,,,INTACTO,,,2024-06-07,,2024-06-07,2034-06-07,2039-06-07,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090190083,"Rua Almirante Marques de Leão, 815",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,119,142.80,142.80,,305134.33,1220537.30,,,INTACTO,,,2024-06-19,,2024-06-19,2034-06-19,2039-06-19,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050350058,"Rua Asdrubal do Nascimento, 450, 454",Bela Vista,ZC,BIR/tombado,municipal,Bairro da Bela Vista,180,216.00,216.00,,379182.06,1516728.24,,,INTACTO,,,2024-08-23,,2024-08-23,2034-08-23,2039-08-23,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090410026,"Avenida Brigadeiro Luis Antônio, 1424, 1432",Bela Vista,ZEIS-5,BIR/tombado,municipal,Bairro da Bela Vista,370,444.00,444.00,,717354.15,2869416.60,,,INTACTO,,,2024-10-14,,2024-10-14,2034-10-14,2039-10-14,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090410027,"Avenida Brigadeiro Luis Antônio, 1434, 1444",Bela Vista,ZEIS-5,BIR/tombado,municipal,Bairro da Bela Vista,444,532.80,532.80,,860824.98,3443299.92,,,INTACTO,,,2024-10-25,,2024-10-25,2034-10-25,2039-10-25,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090180088,"Rua Doutor Seng, 52",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,124,148.80,148.80,,198522.64,794090.54,,,INTACTO,,,2025-02-12,,2025-02-12,2035-02-12,2040-02-12,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0090180086,"Rua Doutor Seng, 42",Bela Vista,ZEU,BIR/tombado,municipal,Bairro da Bela Vista,107,128.40,128.40,,171305.82,685223.29,,,INTACTO,,,2025-03-19,,2025-03-19,2035-03-19,2040-03-19,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0080390048,"Rua Mauá, 51",Bom Retiro,ZEIS-5,BIR/tombado,municipal+estadual+federal,Estação Júlio Prestes,38990,7798.00,7798.00,,26238983.33,104955933.32,,,INTACTO,,,2000-05-17,,2000-05-17,2010-05-17,2015-05-17,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0020470043,"Rua Monsenhor de Andrade, 399",Brás,ZC,BIR/tombado,municipal+estadual,Moinho Matarazzo e Tecelagem Mariângela,29378,5875.60,5875.60,,4014782.79,16059131.16,,,INTACTO,,,2023-10-09,,2023-10-09,2033-10-09,2038-10-09,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0030100055,"Rua Capitão Faustino de Lima, 134",Brás,,BIR/tombado,municipal+estadual,Balões da Comgás / Complexo do Antigo Gasômetro,25200,,,,,,,,INTACTO,,,2016-07-23,,2016-07-23,2026-07-23,2031-07-23,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0020400001,"Rua do Bucolismo, 77",Brás,ZC,BIR/tombado,municipal+estadual,Antigo Moinho Matarazzo,15035,7517.50,7517.50,,3813439.81,15253759.25,,,INTACTO,,,2016-07-23,,2016-07-23,2026-07-23,2031-07-23,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0030450043,"Rua da Mooca, 775, 669, 815",Brás,ZC,BIR/tombado,municipal+estadual,Fábrica Labor,,,,,,,,,INTACTO,,,2020-03-12,,2020-03-12,2030-03-12,2035-03-12,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0030450044,"Rua da Mooca, 775, 669, 815",Brás,ZEIS-3,BIR/tombado,municipal+estadual,Fábrica Labor,,,,,,,,,INTACTO,,,2020-03-12,,2020-03-12,2030-03-12,2035-03-12,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
2000280018,"Rua Gaspar Moreira, 309",Butantã,ZER-1,BIR/tombado,municipal,Residência Boris Fausto / Sérgio Ferro / 1961,662,662.00,662.00,,425450.85,1701803.40,,,INTACTO,,,2016-06-10,,2016-06-10,2026-06-10,2031-06-10,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
