sql,endereco,distrito,zona,tipo_zepec,esfera,nome_bem,area_terreno_m2,pcpt_m2,saldo_vendavel_m2,parcelas_anuais,valor_ref_art128_brl,valor_bruto_brl,valor_teto_art128_brl,base_vencedora_art128,estado_venda,ja_transferido_m2,n_transferencias,data_declaracao,data_certidao,data_referencia,renovacao_70pct_10anos_art129,renovacao_100pct_15anos_art129,conservacao_art129,negociavel,indicio_processo,proprietario,fonte
0050870004,"Avenida da Liberdade, 470, 472",Liberdade,ZEU,tombado,municipal,Imóveis Enquadrados Como Z8-200 - Anexo I - Item 83,280,336.00,336.00,,823022.76,3292091.04,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0050720051,"Rua Mituto Mizumoto, 275",Liberdade,ZC,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,238,285.60,285.60,,189214.29,756857.14,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190018,"Rua Taguá, 67",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,94,112.80,112.80,,118597.08,474388.30,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330190017,"Rua Taguá, 65",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,94,112.80,112.80,,118597.08,474388.30,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330390353,"Rua do Lavapés, 582, 606",Liberdade,ZC,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,,,,,,,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330390128,"Rua Diogo Vaz, 208, 212",Liberdade,ZM,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,94,112.80,112.80,,101619.27,406477.06,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330200003,"Rua José Ferreira Rocha, 45",Liberdade,ZM,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,84,100.80,100.80,,64940.40,259761.60,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330390033,"Rua do Lavapés, 318, 320",Liberdade,ZC,tombado,municipal,Caminho Histórico Glória-lavapés / Igepac Liberdade 2,300,360.00,360.00,,324316.80,1297267.20,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210068,"Rua Taguá, 115",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,77,92.40,92.40,,92202.73,368810.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
0330210067,"Rua Taguá, 107",Liberdade,ZEU,tombado,municipal,Vila da Rua José Ferreira Rocha e Rua Taguá / Liberdade,73,87.60,87.60,,87412.98,349651.90,,,SO_ELEGIVEL,,,,,,,,SEM_ATESTADO,sim,(PENDENTE-ACESSO: e-SAJ/TJSP + SEI — processo em andamento),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)",IPTU 2026 + ZEPEC/DEUSO + Quadro 14 + FUNDURB (recortes oficiais)
