bucket,titulo,drive_id,tamanho
geo-shapefiles,18-24 - Arquivamento da Mancha M e ID 27 a 41 da Res.11-23 - Página.pdf,12lspu2zPVyrCdmIePUX_b4hEEbPoJ9vu,0.1 MB
geo-shapefiles,19-24 - Arquivamento das Manchas A e B e ID 9 a 11 da Res.11-23 - Página.pdf,1phTX_GrgTKcO7i90bqpBLG3IZraRE3Tn,0.2 MB
geo-shapefiles,2-QUADRO_2_FINAL.docx,1Wau0Qz12UhHBLm_fmy1ol6ioKaAyWTqN,0.0 MB
geo-shapefiles,20-24 - Arquivamento Parcial da Mancha D e ID 18 a 20 da Res.11-23 - Página.pdf,1_iYp9NPgXaeOaf9ovb3vMfexTvqMohqw,0.2 MB
geo-shapefiles,2017_36_Sao-Paulo_RAE-Residencias-da-Familia-Ramos-de-Azevedo_1753284677017.pdf,1Y6gUIlu-igGfHg5SSF5godPWX3quiNHi,0.1 MB
geo-shapefiles,2017_61_Sao-Paulo_Praca-da-Se-e-Catedral-Metropolitana_1753284675356.pdf,1PdQwejB_21xcMqQXLsIkZfzOEuOUljOF,1.3 MB
geo-shapefiles,2017_62_Sao-Paulo_Colegio-Dante-Alighieri-–-Edificios-Leonardo-Da-Vinci-e-Colmeia-incluindo-patio_1753284675510.pdf,1I9rdpMfs1WVS481rTTQdhX4H6ljTGHRo,0.3 MB
geo-shapefiles,2018_102_Sao-Paulo_Moinho-Matarazzo_1753238762358.pdf,180wOKhNsh3VRZJmf8NVHcUBupDPdYCEB,0.4 MB
geo-shapefiles,2018_103_Sao-Paulo_Parque-Estadual-Fontes-do-Ipiranga_1753238783798.pdf,1W4w6BTM4KrjaICjFBedBoGms85T044_S,0.4 MB
geo-shapefiles,2018_105_Sao-Paulo_Hospital-Psiquiatrico-Philippe-Pinel_1753238856743.pdf,1gtexvyF0vg57O4ZveHJg-KmYWJh2izlL,0.5 MB
geo-shapefiles,2018_129_Sao-Paulo_Vila-dos-Ingleses_1753239240017.pdf,1ifzSPK-H48cyTFCs2_J9RMUvD9gIqJS7,0.8 MB
geo-shapefiles,2018_131_Diversos_Retificacao_1753239292359.pdf,13w2XTIXF-amaud_RtBfdeAv3fc5xD97x,0.8 MB
geo-shapefiles,2018_24_Sao-Paulo_Casa-a-Rua-Ceara_1753238584741.pdf,1MT0Dg5a-VKTcLesn-EyBqPLgj8Wpls27,0.3 MB
geo-shapefiles,2018_30_Sao-Paulo_Tecelagem-de-Seda-Italo-Brasileira_1753238709931.pdf,16IXaCcbh2Ex5kRg3FV6Bfb-8SoHelTRU,0.4 MB
geo-shapefiles,2019_31_Sao-Paulo_Equipamentos-de-Saude-no-Bairro-Cerqueira-Cesar_1753237602814.pdf,1VmFNTIlKb8s3ZpS4KbjDhTiG2VLRTk4M,0.4 MB
geo-shapefiles,2019_35_Sao-Paulo_Terreiro-Santa-Barbara_1753237911022.pdf,1NphTqP2q0NGxokvWQsW19L85j860wBx2,0.8 MB
