
,"Conforme o §5° do art. 6º do Decreto Municipal nº 57.536 de 15 de dezembro de 2016 a Coordenadoria de Legislação de Uso e Ocupação do Solo (DEUSO) disponibiliza a lista a seguir contém as declarações de potencial cosntrutivo passíveis de transferência disponíveis. Estas são as Declarações emitidas e disponíveis para utilização da transferência de potencial construtivo mediante a solicitação de emissão de Certidão de Potencial Construtivo Passível de transferência e , portanto são consideradas válidas e disponíveis até emissão do despacho dessa Coordenadoria, para os devidos fins, conforme consolidadação efetuada em Agosto de 2025.",,,,,,,,,
,EXTRATO INFORMATIVO DECLARAÇÕES DE POTENCIAL CONSTRUTIVO PASSÍVEIS DE TRANSFERÊNCIA EMITIDAS,,,,,,,,,
,N. processo,SQ,Lote,Endereço,Distrito,N. Declaração,Data publicação,Ano publicação,Situação,Status Declaração
,10-011.610-86*63,002059,0054-2,"Páteo do Colégio, 34",Sé,0001,32477,1988,DOCUMENTAL,DISPONÍVEL.T
,,,,,,,,,,
,13-000.152-96*12,005046,0099-0,"Pç Dr Mário Margarido, 34",Sé,0002,35390,1996,DOCUMENTAL,DISPONÍVEL
,13-000.152-96*12,005046,0096-6,"Vila Suíça, 2A",Sé,0003,35390,1996,DOCUMENTAL,DISPONÍVEL
,,,,,,,,,,
,,,,,,,,,,
,6068.2021/0010710-5,001049,0235-3,"Largo São Bento , s/nº",Sé,0004G/18 2ª via,44991,2023,DOCUMENTAL,DISPONÍVEL.T
,7810.2018/0000558-2,005003,0003-8,"Pç do Patriarca, 49",Sé,0005A,43427,2018,DOCUMENTAL,DISPONÍVEL.T
,,,,,,,,,,
,6068.2024/0000564-2,001049,0235-3,"Largo São Bento , s/nº",Sé,0549/24,45477,2024,DOCUMENTAL,DISPONÍVEL
,,,,,,,,,,
,6068.2021/0011444-6,001082,0015-9,"R Quinze de Novembro, 275 e 289",Sé,0007/21 2ª via,44588,2022,DOCUMENTAL,DISPONÍVEL
,1998-0.084.005-2,006021,0675-3,"R Major Quedinho, 28, 44, 76",República,0008A,37726,2003,DOCUMENTAL,DISPONÍVEL.T
,,,,,,,,,,
,,,,,,,,,,
