zep_enquad,zep_proces,zep_endere,zep_nome,zep_conpre,zep_link,zep_obs,zep_public,zep_status
2025,6025.2023/0003531-6; 6025.2023/0012442-4; 6025.2024/0026675,"RUA AUGUSTA, 1470",TERRITÓRIO AUGUSTA DE CINEMA,07/2025 (E),https://capital.sp.gov.br/documents/d/cultura/07-25-enquadramento-como-zepec-apc-do-territorio-augusta-de-cinema-pagina-pdf,,"30/05/2025, p. 68 e 69",E
2023,6025.2023/0017665-3,"RUA HORACIO LANE, 21 C/ R CARDEAL ARCOVERDE, 1502 E 1504",BAR Ó DO BOROGODÓ,13/2023 (APE),https://capital.sp.gov.br/documents/d/cultura/resolucao-secretaria-municipal-de-cultura-smc_conpresp-n-13-de-13-de-novembro-de-2023,,"17/11/2023, p. 55",APE
2025,6025.2021/0019862-9,"AVENIDA SANTA MARINA, 883",SANTA MARINA ATLÉTICO CLUBE,11/2025 (E),https://prefeitura.sp.gov.br/documents/d/cultura/11-25-enquandramento-como-zepec-apc-do-santa-marina-atletico-clube-pagina-pdf,,"03/09/2025, p. 74",E
2025,6025.2023/0003531-6; 6025.2023/0012442-4; 6025.2024/0026675,"RUA AUGUSTA, 1475",TERRITÓRIO AUGUSTA DE CINEMA,07/2025 (E),https://capital.sp.gov.br/documents/d/cultura/07-25-enquadramento-como-zepec-apc-do-territorio-augusta-de-cinema-pagina-pdf,,"30/05/2025, p. 68 e 69",E
2016,2011-0.009.424-1,"RUA DA CONSOLACAO, 2423",CINE BELAS ARTES,33/2016 (APE),https://www.prefeitura.sp.gov.br/cidade/upload/Re3316ZEPECAPCBelas%20ArtesPDF_1480344918.pdf,,"26/11/2016, p. 58",APE
