bp_nome,bp_setor,bp_quadra,bp_lote,bp_cond,bp_compres,bp_condeph,bp_iphan,bp_enderec,bp_link,bp_uso,bp_loteobs,bp_zepec,bp_tombant,bp_dia_mun,bp_ano_mun,bp_dia_est,bp_ano_est,bp_dia_uni,bp_ano_uni,bp_tipo,bp_tpcateg,bp_categor,bp_status,bp_distrit,bp_subpref,bp_proconp,bp_procond,bp_proipha,bp_obscomp
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 576",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 14",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,033,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 386",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,033,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 10",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 12",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 490",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 512",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 13",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 11",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
BAIRRO DA BELA VISTA,005,035,0058,00,RES. 22/02,não consta,não consta,"R ASDRUBAL DO NASCIMENTO, 450",https://www.prefeitura.sp.gov.br/cidade/upload/Re2202TBairroBelaVistaPDF_1405029597.pdf,CONJUNTO,,,P2,"DOC de 14/12/2002, pág. 10 a 14",2002,,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,REPÚBLICA,SÉ,1990-0.004.514-2,,não consta,
