sql,ano_arquivo,data,natureza,valor_transacao,valor_venal_ref
"00901910120","2006","2006-01-10","1.Compra e venda","30000.0",""
"02006207024","2006","2006-01-05","1.Compra e venda","175000.0",""
"00806601108","2006","2006-01-05","15.Permuta por escritura pública","236000.0",""
"03800202069","2006","2006-01-02","1.Compra e venda","238639.06",""
"00704303981","2006","2006-01-05","1.Compra e venda","20000.0",""
"00704303329","2006","2006-01-05","1.Compra e venda","90000.0",""
"02107408602","2006","2005-12-27","1.Compra e venda","130000.0",""
"00601307658","2006","2006-01-05","1.Compra e venda","31000.0",""
"00502405491","2006","2006-01-30","1.Compra e venda","55000.0",""
"00908001525","2006","2006-01-06","1.Compra e venda","220000.0",""
"00101901607","2006","2006-01-05","1.Compra e venda","360000.0",""
"00604003536","2006","2006-01-05","1.Compra e venda","35000.0",""
"00502406690","2006","2006-01-30","1.Compra e venda","10000.0",""
"01505600928","2006","2006-01-05","1.Compra e venda","35000.0",""
"00502406690","2006","2006-01-30","1.Compra e venda","10000.0",""
"00606421297","2006","2006-01-05","1.Compra e venda","150000.0",""
"00606421319","2006","2006-01-05","1.Compra e venda","150000.0",""
"00603205941","2006","2005-12-29","1.Compra e venda","45000.0",""
"00502405643","2006","2006-01-30","1.Compra e venda","25000.0",""
"02003504079","2006","2005-12-23","1.Compra e venda","85000.0",""
"00404803091","2006","2006-01-05","1.Compra e venda","68000.0",""
"00601506960","2006","2006-01-31","1.Compra e venda","58000.0",""
"01006707409","2006","2006-01-31","1.Compra e venda","199504.51",""
"00600802663","2006","2006-01-06","1.Compra e venda","31000.0",""
"02009502574","2006","2006-01-06","1.Compra e venda","155000.0",""
"00601105621","2006","2006-01-06","1.Compra e venda","63074.99",""
"00601106253","2006","2006-01-06","1.Compra e venda","25615.99",""
"02004101611","2006","2006-01-06","1.Compra e venda","59000.0",""
"03303703906","2006","2006-01-06","1.Compra e venda","60000.0",""
"00907001262","2006","2006-01-06","1.Compra e venda","135000.0",""
"00900701412","2006","2006-01-06","1.Compra e venda","48000.0",""
"00606416609","2006","2006-01-06","1.Compra e venda","37000.0",""
"01110100949","2006","2006-01-06","1.Compra e venda","220000.0",""
"00603801196","2006","2006-01-05","1.Compra e venda","65000.0",""
"00904102122","2006","2006-01-06","1.Compra e venda","34000.0",""
"00606422080","2006","2006-01-06","1.Compra e venda","22000.0",""
"03304604510","2006","2006-01-06","1.Compra e venda","60000.0",""
"00605315639","2006","2006-01-06","1.Compra e venda","110000.0",""
"00101903286","2006","2006-01-06","1.Compra e venda","53000.0",""
"03604512468","2006","2005-12-28","5.Excesso de meação ou quinhão na partil","164199.99",""
"02103500806","2006","2006-01-06","1.Compra e venda","185000.0",""
"00901807958","2006","2006-01-05","1.Compra e venda","70000.0",""
"00807000817","2006","2005-11-11","4.Arrematação (em leilão ou hasta públic","24800.0",""
"00705300684","2006","2006-01-09","1.Compra e venda","180000.0",""
"00902200331","2006","2006-01-30","1.Compra e venda","100000.0",""
"00105100153","2006","2006-01-30","1.Compra e venda","120000.0",""
"03301508774","2006","2006-01-09","1.Compra e venda","12500.0",""
"03301506305","2006","2006-01-09","1.Compra e venda","37500.0",""
"00404806198","2006","2006-01-06","1.Compra e venda","72000.0",""
"00606405704","2006","2006-01-11","1.Compra e venda","100000.0",""
"00301501531","2006","2006-01-09","1.Compra e venda","36000.0",""
"02005500879","2006","2006-01-09","1.Compra e venda","33400.0",""
"08706400329","2006","2006-01-09","1.Compra e venda","55000.0",""
"02007303795","2006","2006-01-11","1.Compra e venda","75000.0",""
"03110800381","2006","2006-01-09","1.Compra e venda","27000.0",""
"03702601643","2006","2006-01-09","1.Compra e venda","80000.0",""
"03702601716","2006","2006-01-09","1.Compra e venda","15000.0",""
"00306101092","2006","2006-01-09","1.Compra e venda","55000.0",""
"05303302555","2006","2006-01-06","1.Compra e venda","90000.0",""
"00606409211","2006","2006-01-10","1.Compra e venda","140000.0",""
"03303501548","2006","2006-01-12","1.Compra e venda","28500.0",""
"00205901281","2006","2006-01-10","1.Compra e venda","6500.0",""
"08737405616","2006","2006-01-10","2.Cessão de direitos relativos a comprom","46000.0",""
"08737405616","2006","2006-01-10","1.Compra e venda","83915.96",""
"08737405608","2006","2006-01-10","2.Cessão de direitos relativos a comprom","46000.0",""
"08737405608","2006","2006-01-10","1.Compra e venda","83915.96",""
"00500200556","2006","2006-01-10","1.Compra e venda","36000.0",""
"03703602821","2006","2006-01-10","1.Compra e venda","80000.0",""
"00901809357","2006","2005-12-28","1.Compra e venda","80079.99",""
"03303704627","2006","2006-01-10","1.Compra e venda","129000.0",""
"02006410555","2006","2006-01-10","1.Compra e venda","36000.0",""
"00501706461","2006","2006-01-31","1.Compra e venda","34800.0",""
"00602000203","2006","2006-01-10","1.Compra e venda","65500.0",""
"03303708851","2006","2006-01-10","1.Compra e venda","145000.0",""
"00902600877","2006","2006-01-10","1.Compra e venda","58714.0",""
"02105300146","2006","2006-01-06","1.Compra e venda","207000.0",""
"02006407589","2006","2006-01-03","1.Compra e venda","17462.99",""
"00902601067","2006","2006-01-10","1.Compra e venda","141685.0",""
"00902601083","2006","2006-01-10","1.Compra e venda","38433.0",""
"00700100881","2006","2006-01-05","1.Compra e venda","65000.0",""
"00902600869","2006","2006-01-10","1.Compra e venda","11168.0",""
"02006305018","2006","2006-01-11","1.Compra e venda","235200.0",""
"00605315280","2006","2006-01-16","1.Compra e venda","10000.0",""
"04019900302","2006","2006-01-31","1.Compra e venda","60000.0",""
"02008001733","2006","2006-01-13","1.Compra e venda","155000.0",""
"00605315280","2006","2006-01-16","1.Compra e venda","32000.0",""
"02005001562","2006","2006-01-30","1.Compra e venda","70000.0",""
"00900800267","2006","2006-01-12","12.Dação em pagamento por escritura públ","1100000.0",""
"03304606947","2006","2006-01-11","1.Compra e venda","0.01",""
"02006410660","2006","2006-01-11","1.Compra e venda","35000.0",""
"04007700532","2006","2006-01-12","1.Compra e venda","68000.0",""
"17231208605","2006","2006-01-11","1.Compra e venda","68000.0",""
"00601210603","2006","2006-01-11","1.Compra e venda","65000.0",""
"00501300252","2006","2006-01-30","1.Compra e venda","60000.0",""
"06916312009","2006","2006-01-11","1.Compra e venda","130000.0",""
"00606423443","2006","2006-01-11","1.Compra e venda","31000.0",""
"06916312459","2006","2006-01-11","1.Compra e venda","16000.0",""
"00601101340","2006","2006-01-11","1.Compra e venda","34000.0",""
"06916312173","2006","2006-01-11","1.Compra e venda","8206.0",""
"02006202413","2006","2006-01-30","1.Compra e venda","150000.0",""
"00904902579","2006","2006-01-12","1.Compra e venda","145000.0",""
"00906402786","2006","2006-01-13","1.Compra e venda","115000.0",""
"02006402153","2006","2006-01-12","1.Compra e venda","36000.0",""
"00901705497","2006","2006-01-12","1.Compra e venda","50000.0",""
"00901706728","2006","2006-01-12","1.Compra e venda","10000.0",""
"00601003632","2006","2006-01-12","1.Compra e venda","39000.0",""
"08612800201","2006","2006-01-30","1.Compra e venda","355000.0",""
"19601813720","2006","2006-01-12","1.Compra e venda","72600.0",""
"00601320174","2006","2006-01-12","1.Compra e venda","46000.0",""
"01302904108","2006","2001-01-24","1.Compra e venda","16667.0",""
"06107500057","2006","2006-01-12","1.Compra e venda","80000.0",""
"00601319230","2006","2006-01-12","1.Compra e venda","1000.0",""
"03708304632","2006","2006-01-20","1.Compra e venda","325000.0",""
"00907003761","2006","2006-01-17","1.Compra e venda","135000.0",""
"04317900335","2006","2006-01-16","1.Compra e venda","100000.0",""
"00606430695","2006","2006-01-12","1.Compra e venda","50000.0",""
"03301514243","2006","2006-01-12","1.Compra e venda","65000.0",""
"04204701991","2006","2006-01-16","1.Compra e venda","102000.0",""
"00606436758","2006","2006-01-12","1.Compra e venda","25000.0",""
"00908005857","2006","2006-01-31","1.Compra e venda","0.01",""
"00600900398","2006","2006-01-12","1.Compra e venda","250000.0",""
"00800402952","2006","2006-01-12","1.Compra e venda","185000.0",""
"02009407938","2006","2006-01-13","1.Compra e venda","285000.0",""
"00605106622","2006","2006-01-12","1.Compra e venda","72000.0",""
"00901905801","2006","2006-01-13","1.Compra e venda","450000.0",""
"00901914606","2006","2006-01-13","1.Compra e venda","50000.0",""
"00605601569","2006","2006-01-13","1.Compra e venda","55000.0",""
"00705200329","2006","2006-01-13","1.Compra e venda","39500.0",""
"02006601288","2006","2006-01-13","1.Compra e venda","80000.0",""
"00908005156","2006","2006-01-30","1.Compra e venda","90000.0",""
"00902001159","2006","2006-01-31","1.Compra e venda","200000.0",""
"00901417025","2006","2006-01-13","1.Compra e venda","80000.0",""
"02008100715","2006","2006-01-13","1.Compra e venda","150000.0",""
"00901425826","2006","2006-01-13","1.Compra e venda","125000.0",""
"00504603329","2006","2006-01-13","1.Compra e venda","13000.0",""
"00504602756","2006","2006-01-13","1.Compra e venda","40000.0",""
"02001704216","2006","2006-01-13","1.Compra e venda","60000.0",""
"00901417025","2006","2006-01-13","1.Compra e venda","10000.0",""
"00806100044","2006","2006-01-13","1.Compra e venda","45000.0",""
"00601500474","2006","2006-01-13","1.Compra e venda","30000.0",""
"00706105427","2006","2006-01-13","1.Compra e venda","40000.0",""
"01300301597","2006","2006-01-17","1.Compra e venda","50000.0",""
"00700201971","2006","2006-01-13","1.Compra e venda","60000.0",""
"00202200744","2006","2006-01-13","1.Compra e venda","21000.0",""
"00504807161","2006","2006-01-13","1.Compra e venda","100000.0",""
"01005006695","2006","2006-01-31","1.Compra e venda","51410.0","1.0"
"01005006709","2006","2006-01-31","1.Compra e venda","51410.0","1.0"
"02105306845","2006","2006-01-13","1.Compra e venda","247000.0",""
"02105309755","2006","2006-01-13","1.Compra e venda","15000.0",""
"02105309763","2006","2006-01-13","1.Compra e venda","15000.0",""
"02109101504","2006","2006-01-31","1.Compra e venda","57000.0",""
"00105300187","2006","2006-01-16","1.Compra e venda","150000.0","107113115.0"
"08737401998","2006","2006-01-16","1.Compra e venda","902500.0","4.0"
"00507621840","2006","2006-01-16","1.Compra e venda","52500.0",""
"00104801875","2006","2006-01-16","1.Compra e venda","35000.0",""
"00605109214","2006","2006-01-30","1.Compra e venda","15000.0",""
"00604006640","2006","2006-01-16","1.Compra e venda","30000.0",""
"00706900928","2006","2006-01-16","1.Compra e venda","20000.0",""
"00604012713","2006","2006-01-16","1.Compra e venda","10000.0",""
"00904804021","2006","2006-01-16","1.Compra e venda","155000.0",""
"00606416730","2006","2006-01-16","1.Compra e venda","35000.0",""
"00907001432","2006","2006-01-16","1.Compra e venda","20000.0",""
"00404800580","2006","2006-01-16","1.Compra e venda","71000.0",""
"03800300605","2006","2006-01-31","1.Compra e venda","20000.0",""
"00909501432","2006","2005-10-10","4.Arrematação (em leilão ou hasta públic","42000.0",""
"02301203379","2006","2006-01-30","1.Compra e venda","43000.0",""
"08737405721","2006","2006-01-17","2.Cessão de direitos relativos a comprom","67200.0",""
"08737405721","2006","2006-01-30","1.Compra e venda","83915.96",""
"01006705015","2006","2006-01-31","1.Compra e venda","128640.0",""
"08737405731","2006","2006-01-17","2.Cessão de direitos relativos a comprom","67200.0",""
"08737405731","2006","2006-01-30","1.Compra e venda","83915.96",""
"08737405748","2006","2006-01-17","2.Cessão de direitos relativos a comprom","67200.0",""
"08737405748","2006","2006-01-30","1.Compra e venda","83915.96",""
"01006705031","2006","2006-01-31","1.Compra e venda","128640.0",""
"01006705041","2006","2006-01-31","1.Compra e venda","128640.0",""
"03806905363","2006","2006-01-31","1.Compra e venda","66919.65",""
"02004200820","2006","2006-01-17","1.Compra e venda","72000.0",""
"00909400989","2006","2006-01-17","1.Compra e venda","33000.0",""
"01000902307","2006","2006-01-17","1.Compra e venda","260000.0",""
"02006702424","2006","2006-01-09","1.Compra e venda","220000.0",""
"00504604538","2006","2006-01-17","1.Compra e venda","56171.32",""
"02007304392","2006","2006-01-18","1.Compra e venda","50000.0",""
"00902602209","2006","2006-01-30","1.Compra e venda","11000.0",""
"00502401265","2006","2006-01-30","15.Permuta por escritura pública","30000.0",""
"00502401249","2006","2006-01-30","15.Permuta por escritura pública","30000.0",""
"00105300187","2006","2006-01-17","1.Compra e venda","100000.0","107113115.0"
"02006605534","2006","2006-01-18","1.Compra e venda","52000.0",""
"05604801267","2006","2006-01-18","1.Compra e venda","80000.0",""
"01302901680","2006","2006-01-17","1.Compra e venda","138000.0",""
"03301600697","2006","2006-01-31","1.Compra e venda","85500.0",""
"00603600352","2006","2005-12-19","4.Arrematação (em leilão ou hasta públic","700000.0",""
"02008007553","2006","2006-01-18","1.Compra e venda","280000.0",""
"00907107478","2006","2006-01-18","1.Compra e venda","85000.0",""
"00904804135","2006","2006-01-18","1.Compra e venda","150000.0",""
"00601004371","2006","2006-01-18","1.Compra e venda","37000.0",""
"03506401106","2006","2006-01-18","1.Compra e venda","58000.0",""
"02006400053","2006","2006-01-17","1.Compra e venda","70000.0",""
"01005008566","2006","2006-01-18","1.Compra e venda","58000.0","1.0"
"00800900685","2006","2006-01-31","1.Compra e venda","0.01",""
"01005009473","2006","2006-01-18","1.Compra e venda","58000.0","1.0"
"00800900685","2006","2006-01-31","2.Cessão de direitos relativos a comprom","0.01",""
"00107100371","2006","2006-01-19","1.Compra e venda","230000.0",""
"00807804312","2006","2006-01-19","1.Compra e venda","48000.0",""
"04205302053","2006","2006-01-20","1.Compra e venda","90000.0",""
"00108300447","2006","2006-01-20","1.Compra e venda","45000.0",""
"00102001510","2006","2006-01-18","1.Compra e venda","34900.0",""
"02003505873","2006","2006-01-18","1.Compra e venda","98115.0",""
"00901908381","2006","2006-01-19","1.Compra e venda","100000.0",""
"00901913995","2006","2006-01-19","1.Compra e venda","20000.0",""
"00602401747","2006","2006-01-20","1.Compra e venda","37500.0",""
"03600207199","2006","2006-01-19","1.Compra e venda","14200000.0",""
"00906700698","2006","2006-01-23","1.Compra e venda","280000.0",""
"00701308321","2006","2006-01-30","1.Compra e venda","61000.0",""
"00601101219","2006","2006-01-19","1.Compra e venda","35000.0",""
"03301501680","2006","2006-01-19","1.Compra e venda","12000.0",""
"00102303762","2006","2006-01-31","1.Compra e venda","43000.0",""
"00508700922","2006","2006-01-20","1.Compra e venda","40000.0",""
"04317901668","2006","2006-01-19","1.Compra e venda","120000.0",""
"00605108269","2006","2006-01-31","1.Compra e venda","15000.0",""
"02009501667","2006","2006-01-16","1.Compra e venda","150000.0",""
"00506604217","2006","2006-01-30","1.Compra e venda","25000.0",""
"00506602737","2006","2006-01-30","1.Compra e venda","2703.0",""
"03302310862","2006","2006-01-31","1.Compra e venda","14.91",""
"00300300662","2006","2006-01-20","1.Compra e venda","35000.0",""
"02109106182","2006","2006-01-20","1.Compra e venda","120000.0",""
"00704401101","2006","2006-01-20","1.Compra e venda","200000.0",""
"00704401584","2006","2006-01-20","1.Compra e venda","30000.0",""
"03800203669","2006","2006-01-11","1.Compra e venda","258307.0",""
"05303302296","2006","2006-01-10","1.Compra e venda","79000.0",""
"02006301748","2006","2006-01-20","1.Compra e venda","65000.0",""
"00509200613","2006","2006-01-20","1.Compra e venda","38000.0",""
"00503907588","2006","2006-01-20","1.Compra e venda","5000.0",""
"02005201227","2006","2006-01-20","1.Compra e venda","60000.0",""
