sql,codlog,zona,dono,endereco,V_m2_brl,ca_max,area_adicional,oodc_brl,memoria,citacao
001004,038121,ZM,(a resolver via socios.csv),(via IPTU_2026),"2.803,00",2,1000,1681800.000,(1000 / 2) × 1.2 × 1.0 × 2803.00 = 1681800.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
001003,061565,ZM,(a resolver via socios.csv),(via IPTU_2026),"1.599,00",2,1000,959400.000,(1000 / 2) × 1.2 × 1.0 × 1599.00 = 959400.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
001003,038121,ZEU,(a resolver via socios.csv),(via IPTU_2026),"3.106,00",4,1000,931800.000,(1000 / 4) × 1.2 × 1.0 × 3106.00 = 931800.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
001003,104850,ZC,(a resolver via socios.csv),(via IPTU_2026),"1.381,00",2,1000,828600.000,(1000 / 2) × 1.2 × 1.0 × 1381.00 = 828600.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
001003,189936,ZEIS-2,(a resolver via socios.csv),(via IPTU_2026),"1.844,00",4,1000,553200.000,(1000 / 4) × 1.2 × 1.0 × 1844.00 = 553200.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
001004,016730,ZEU,(a resolver via socios.csv),(via IPTU_2026),"1.343,00",4,1000,402900.000,(1000 / 4) × 1.2 × 1.0 × 1343.00 = 402900.000,"Outorga Onerosa do Direito de Construir (PDE/LPUOS) | V=Quadro 14 (PDE) por SQ+Codlog, CA_max=Quadro 3 (LPUOS) por zona — tabelas/ reais, não ilustrativo"
